red_fighter,blue_fighter,open_blue,close1_blue,close2_blue,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Alex Pereira,Ciryl Gane,-185,-125,-103,+160,-121,+105,2026-06-15,Ciryl Gane,Alex Pereira
Alexa Grasso,Maycee Barber,-130,-117,-110,+110,-111,-103,2021-02-13,Maycee Barber,Alexa Grasso
Amanda Lemos,Gillian Robertson,-250,-205,-188,+210,+140,+170,2026-03-14,Gillian Robertson,Amanda Lemos
Amanda Lemos,Gillian Robertson,-110,-205,-188,-110,+150,+175,2025-12-14,Gillian Robertson,Amanda Lemos
Andre Fili,Jose Delgado,-260,-325,-275,+220,+200,+275,2026-03-14,Jose Delgado,Andre Fili
Bia Mesquita,Montserrat Rendon,+375,+300,+420,-500,-550,-450,2026-03-14,Montse Rendon,Bia Mesquita
Bo Nickal,Kyle Daukaus,+250,+205,+285,-300,-350,-265,2026-06-15,Kyle Daukaus,
Bolaji Oki,Manoel Sousa,-200,-350,-300,+170,+225,+265,2026-03-14,Manoel Sousa,
Brad Tavares,Eryk Anders,+160,+105,+115,-185,-140,-130,2026-03-14,Eryk Anders,Brad Tavares
Charles Johnson,Bruno Silva,+130,+150,+175,-150,-220,-200,2026-03-14,Bruno Silva,Charles Johnson
Chris Curtis,Myktybek Orolbai,-250,-260,-225,+210,+163,+220,2026-03-14,Myktybek Orolbai,Chris Curtis
Curtis Blaydes,Jairzinho Rozenstruik,+198,+240,+290,-240,-380,-300,2021-09-25,Josh Hokit,Curtis Blaydes
Diego Lopes,Steve Garcia,+190,+143,+162,-225,-210,-180,2026-06-15,Steve Garcia,Diego Lopes
Elijah Smith,Suyoung You,+210,+150,+164,-250,-225,-175,2026-03-14,SuYoung You,Elijah Smith
Ilia Topuria,Justin Gaethje,+385,+350,+425,-500,-600,-520,2026-06-15,Justin Gaethje,Ilia Topuria
Ion Cutelaba,Oumar Sy,-200,-220,-188,+170,+140,+175,2026-03-14,Oumar Sy,Ion Cutelaba
Israel Adesanya,Joe Pyfer,-110,-120,-110,-110,-112,-105,2026-03-29,Joe Pyfer,Israel Adesanya
Iwo Baraniewski,Austen Lane,+350,+240,+310,-450,-400,-350,2026-03-21,Austen Lane,
Jack Della Maddalena,Carlos Prates,-175,-102,+110,+150,-130,-125,2026-05-02,Carlos Prates,Jack Della Maddalena
Jiri Prochazka,Carlos Ulberg,-170,-105,+116,+145,-146,-120,2026-04-11,Carlos Ulberg,Jiri Prochazka
Josh Emmett,Kevin Vallejos,-500,-650,-450,+375,+300,+475,2026-03-14,Kevin Vallejos,Josh Emmett
Joshua van,Tatsuro Taira,-150,-195,-177,+130,+145,+155,,Tatsuro Taira,Joshua Van
Kurtis Campbell,Danny Silva,+105,+110,+145,-125,-165,-150,2026-03-21,Danny Silva,Kurtis Campbell
Louie Sutherland,Brando Pericic,+145,-260,-188,-170,+140,+220,2026-03-21,Brando Pericic,Louie Sutherland
Luan Lacerda,Hecher Sosa,-200,-250,-210,+170,+175,+195,2026-03-14,Hecher Sosa,Luan Lacerda
Luan Lacerda,Darmon Blackshear,-230,+111,+132,+195,-163,-131,2023-06-03,Hecher Sosa,Luan Lacerda
Luke Riley,Michael Aswell,+130,+140,+190,-150,-230,-188,2026-03-21,Michael Aswell Jr.,Luke Riley
Mantas Kondratavicius,Antonio Trocoli,+300,+350,+400,-400,-550,-549,2026-03-21,Antonio Trocoli,
Mario Pinto,Felipe Franco,+250,+350,+400,-300,-550,-549,2026-03-21,Felipe Franco,Mario Pinto
Marwan Rahiki,Harry Hardwick,+170,+175,+230,-200,-280,-250,2026-03-14,Harry Hardwick,Marwan Rahiki
Mason Jones,Axel Sola,+185,-110,+100,-220,-120,-110,2026-03-21,Axel Sola,Mason Jones
Mauricio Ruffy,Michael Chandler,+500,+330,+475,-700,-650,-480,2026-06-15,Michael Chandler,Mauricio Ruffy
Melissa Mullins,Luana Carolina,-110,-120,-110,-110,-110,+100,2026-03-21,Luana Carolina,Melissa Mullins
Michael Page,Sam Patterson,+135,+163,+195,-155,-230,-225,2026-03-21,Sam Patterson,Michael Page
Movsar Evloev,Lerone Murphy,+210,+175,+225,-250,-290,-250,2026-03-21,Lerone Murphy,Movsar Evloev
Nathaniel Wood,Losene Keita,-150,-180,-175,+130,+130,+155,2026-03-21,Losene Keita,Nathaniel Wood
Piera Rodriguez,Sam Hughes,+120,+105,+120,-140,-140,-132,2026-03-14,Sam Hughes,Piera Rodriguez
Piera Rodriguez,Sam Hughes,+190,+135,+155,-230,-180,-167,2022-10-15,Sam Hughes,Piera Rodriguez
Roman Dolidze,Christian Leroy Duncan,-250,-350,-330,+210,+225,+275,2026-03-21,Christian Leroy Duncan,Roman Dolidze
Shanelle Dyer,Ravena Oliveira,+170,+200,+255,-200,-305,-275,2026-03-21,Ravena Oliveira,Shanelle Dyer
Shem Rock,Abdul-Kareem Al-Selwady,-185,-125,-120,+160,-110,+105,2026-03-21,Abdul-Kareem Al-Selwady,Shem Rock
Vitor Petrino,Steven Asplund,+205,+163,+205,-240,-250,-225,2026-03-14,Steven Asplund,Vitor Petrino
Vitor Petrino,Austen Lane,+275,+420,+460,-400,-670,-649,2025-07-13,Steven Asplund,Vitor Petrino
