proba_fair_close1_diff,proba_fair_open_diff,reach_diff,sub_att_pm_red,sub_att_pm_blue,ratio_control_diff,td_landed_pm_diff,ratio_td_diff,adjusted_td_red,adjusted_td_blue,sig_str_absorbed_total_diff,sig_str_accuracy_pct_diff,sig_str_defense_pct_diff,adjusted_sig_str_blue,adjusted_sig_str_red,win_pct_red,win_pct_blue,win_streak_diff,lose_streak_diff,elo_red,elo_blue,elo_pred,age_red,age_blue,dec_fair_close1_red,dec_fair_close1_blue,dec_close1_red,dec_close1_blue,fighter_red,fighter_blue,winner,date,open_red,open_blue,close1_red,close1_blue,close2_red,close2_blue,num_wins_red,num_wins_blue,num_losses_red,num_losses_blue,source_index,walk_forward_month,proba_red,proba_blue,risk_proba_red,risk_proba_blue,proba_se,pred_winner,best_mdd,best_N,best_z,best_moneyline_min_american,best_moneyline_max_american,best_alpha,best_heavy_parlay_mdd,best_mdd_parlay,best_N_parlay,best_heavy_favorite_cutoff,best_heavy_parlay_max_legs
-0.3653125065238526,-0.2445856420687711,-5.0,0.0,0.0,0.6752904996965164,-0.0812372077293872,-0.3274258070371967,-3.210947612733062,-2.0291979790153345,-184.0,-0.0658057488984624,0.0065073532129028,1.4982345230102752,-0.466700260756451,0.6153846153846154,0.7142857142857143,-2.0,2.0,1579.96092195689,1650.9439492749584,0,30.0,34.0,3.151157097875229,1.4648660950833083,2.75,1.4,tai tuivasa,alexander volkov,0.0,2023-09-09,140.0,-188.0,175.0,-250.0,195.0,-210.0,8.0,10.0,5.0,4.0,3700,2023-09,0.3355597276612927,0.6644402723387073,0.3307534513753279,0.6692465486246721,0.03680833873944674,0,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.3083138054794584,0.3239971587675256,-6.0,0.0,0.0,0.0691320010819829,0.0,-0.703107088303255,-4.0762475855281135,-3.3742804651245764,224.0,0.0299530915877097,-0.0242268113266239,-0.9102263289151776,-0.0903144862205735,0.4285714285714285,0.0,0.0,0.0,1425.0753695687856,1583.1510072857006,0,29.0,35.0,1.5286852371530688,2.8914846296539816,1.4651162790697674,2.6,justin tafa,austen lane,1.0,2023-09-09,-225.0,163.0,-215.0,160.0,-190.0,170.0,3.0,0.0,4.0,1.0,3701,2023-09,0.5516592642163539,0.4483407357836461,0.5420557391374244,0.45794426086257556,0.04514496912843432,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.4817080943760706,0.4141340520411515,-1.0,0.0,0.0254486120794263,-0.5098510231051405,-0.2409602540601553,-0.2189796685236422,-1.552952559755794,-0.950927441079746,-122.0,0.1359739333202548,-0.0859782523683524,-0.6624913090100335,0.5804079066883695,0.8,0.5714285714285714,4.0,-2.0,1581.9062585359593,1590.470757056636,0,32.0,29.0,1.3497935305821327,3.858829316642256,1.2857142857142856,3.1,carlos ulberg,da woon jung,1.0,2023-09-09,-275.0,200.0,-350.0,210.0,-260.0,275.0,4.0,4.0,1.0,3.0,3702,2023-09,0.7137324105872168,0.2862675894127832,0.7103289362077411,0.28967106379225893,0.03201090376844222,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.7098742986899337,0.5803358417227492,4.0,0.0270888902806753,0.0189143449429833,-0.2492485750276719,-0.1513859447248239,-0.7793467081552752,-3.1611313526441585,-0.5935355562677312,-382.0,0.0619642208795608,-0.0568502091785737,2.697893682848784,1.7097253116826057,0.8666666666666667,0.7368421052631579,-1.0,0.0,1751.1967992304776,1670.5914011751097,1,34.0,32.0,1.169676625663275,6.893563689700614,1.12987012987013,4.5,israel adesanya,sean strickland,0.0,2023-09-09,-430.0,300.0,-770.0,350.0,-450.0,540.0,13.0,14.0,2.0,5.0,3703,2023-09,0.7864595370745573,0.2135404629254427,0.78312638575671,0.21687361424329,0.02760455843258978,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
-0.0448516393142113,0.1730963365998946,1.0,0.0,0.0,-0.6991986461921642,-3.645769822934252,-2.8601654578976574,1.0491315690651395,2.551093414927066,349.0,-0.0316077071647715,0.0478299194677878,-0.578631439128708,2.0524089178188256,0.3333333333333333,0.0,0.0,2.0,1449.9291417742663,1473.0002356043071,0,30.0,33.0,2.0939155447683717,1.9141473533148687,1.9523809523809523,1.8,shane young,gabriel miranda,0.0,2023-09-09,-155.0,128.0,-105.0,-125.0,105.0,-115.0,2.0,0.0,4.0,1.0,3704,2023-09,0.3287464127426612,0.6712535872573389,0.31795768428752375,0.6820423157124762,0.10389481822389365,0,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.3264378614845746,0.3239971587675256,-1.0,0.0,0.2,-0.4238543019297105,-0.3194725838323912,-0.3063924457011291,3.935347887138155,7.0,56.0,0.0148939268569236,-0.034930795822553,2.448384187182071,1.5893213344761057,1.0,1.0,1.0,0.0,1552.117862623839,1529.3812202722877,1,29.0,30.0,1.5077977326141472,2.9692880368960903,1.4444444444444444,2.65,jack jenkins,chepe mariscal,0.0,2023-09-09,-225.0,163.0,-225.0,165.0,-200.0,188.0,2.0,1.0,0.0,0.0,3705,2023-09,0.7381872087221341,0.26181279127786594,0.742281892376006,0.25771810762399405,0.030322494566769224,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.4441999417122228,0.2445856420687711,6.0,0.0221808020516281,0.0,1.586311518499105,0.5733855943705061,3.382550675950451,0.3706715156276178,-3.1509238006936675,-574.0,-0.0210552386279893,0.0018095190992204,1.932534845103136,0.650910994382817,0.5,0.5789473684210527,0.0,0.0,1512.5776997784542,1545.263749821935,0,29.0,38.0,1.384849799695206,3.5984163192808767,1.3333333333333333,3.1,jamie mullarkey,john makdessi,1.0,2023-09-09,-188.0,140.0,-300.0,210.0,-265.0,245.0,4.0,11.0,4.0,8.0,3706,2023-09,0.8317748907692419,0.16822510923075806,0.8366895321797805,0.16331046782021952,0.022158103823472514,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.4520045128816536,0.3547671864940525,6.0,0.0,0.0690898774983507,-0.3746272850775806,-0.5203428575853851,-0.6044393959683808,-3.575726252068405,-0.1467095896241126,-175.0,-0.0554624307557593,0.0165477224826666,-0.5836850850142578,0.6361649526941882,0.5,0.5,0.0,0.0,1498.3568167196536,1517.8146105425103,0,24.0,33.0,1.3774061872788483,3.649665092165395,1.3333333333333333,3.2,daniel zellhuber,christos giagos,1.0,2023-09-16,-240.0,175.0,-300.0,220.0,-270.0,250.0,1.0,6.0,1.0,6.0,3707,2023-09,0.747910494719263,0.25208950528073704,0.7502827152342909,0.2497172847657091,0.025996275738167256,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.6258144715252674,0.3547671864940525,-1.0,0.0,0.3805603680562957,-1.187537152472892,-0.0552399473663384,-0.0762317088184505,-1.779621153410229,-2.0485126928273782,132.0,0.0533446236792822,0.0271001137437357,-0.3226988915227264,1.1937300040441488,0.6,0.5,1.0,0.0,1538.748233931802,1498.824051294897,1,32.0,29.0,1.230152661960063,5.344942141809883,1.1694915254237288,3.55,roman kopylov,josh fremd,1.0,2023-09-16,-240.0,175.0,-590.0,255.0,-320.0,400.0,3.0,2.0,2.0,2.0,3708,2023-09,0.7746121225784615,0.22538787742153854,0.778158990073818,0.22184100992618205,0.023499385673292912,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
0.7446757189594448,0.291727721701522,-7.0,0.3724518067663082,0.0,0.6509724679953102,0.3269279463404713,0.4766291973313323,6.136340788590095,2.872929840075208,15.0,-0.0212954589445222,0.0348763878793132,-1.4686467530718772,-2.5318930510085025,0.5,0.0,0.0,0.0,1494.2069978941952,1476.7541870340604,1,18.0,33.0,1.1463448354705337,7.833175880684549,1.1197604790419162,5.5,raul rosas jr,terrence mitchell,1.0,2023-09-16,-198.0,164.0,-835.0,450.0,-700.0,550.0,1.0,0.0,1.0,1.0,3709,2023-09,0.8613931905419601,0.13860680945803994,0.8628462457039896,0.1371537542960104,0.026484519804209527,1,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
