date,expected_return_pct,stake_fraction,uncertainty_multiplier,n_fights,mean_absolute_decimal_change,movement_pct,pct_opening_ev
2024-05-11,1.066159573002805,0.28996089430134897,0.7783542678292399,4,0.0,0,18.6872900404499
2024-05-18,11.162520172331595,0.8520989956417833,0.8056965593842429,9,0.0,0,81.91660733316647
2024-06-01,7.793250030798282,0.967617275150345,0.8447398569588234,10,0.0,0,72.31940897507026
2024-06-08,9.067100880936433,0.8873250679450887,0.8148091097112296,13,0.0,0,81.8931890550814
2024-06-15,2.2854995830715907,0.39059101822290765,0.8092802398994647,7,0.0,0,24.864177854451604
2024-06-22,0.24229061489539938,0.260531969775453,0.6359788285865763,7,0.0,0,12.543537865771027
2024-06-29,5.761802476402307,0.47464764725256847,0.8359423161808243,11,0.0,0,56.07128313012417
2024-07-13,3.762432641588643,0.31926627183145884,0.8091141695094136,10,0.0,0,66.88624852770012
2024-07-20,7.964460396125839,0.7426919538269711,0.8162866913176726,7,0.0,0,75.34115696827945
2024-07-27,5.077834885455641,0.6349017910453157,0.8416844130229505,10,0.0,0,48.19498771341576
2024-08-03,9.466535324226076,0.959347614878338,0.8066430258535272,11,0.0,0,71.65583459894553
2024-08-10,0.6843399236039389,0.19928112312209964,0.7014617544929026,5,0.0,0,15.618253316615318
2024-08-17,10.645910024053098,0.6475970396691176,0.8719625432315772,10,0.0,0,63.17733034269378
2024-08-24,0.6442436167473792,0.3282408211735144,0.6354063555564102,5,0.0,0,9.489138127807074
2024-09-07,6.313538762969966,0.6268702538475771,0.8517583406127724,7,0.0,0,91.99612767919972
2024-09-14,4.303154333269654,0.6686701504359494,0.7413809911662561,10,0.0,0,49.36561510823119
2024-09-28,3.1907355754737146,0.29683763311331907,0.8163449145239727,10,0.0,0,90.52490696767606
2024-10-05,14.53770012297458,0.9999999999999999,0.8541719578451034,12,0.0,0,91.2067735974078
2024-10-12,9.826476562240416,1.0,0.8528348309713978,8,0.0,0,68.40136610172254
2024-10-19,5.336406212369494,0.39171852282611774,0.7920817893449696,9,0.0,0,54.030468304059134
2024-10-26,8.837466784593918,0.9999999999999999,0.8208220011074197,9,0.0,0,49.784987395308185
2024-11-02,3.3196010059334307,0.5433794469480863,0.7605922399966343,10,0.0,0,39.45687622169271
2024-11-09,3.7151727812085507,0.4148498836858486,0.7669221916254712,6,0.0,0,58.51115248010806
2024-11-16,2.2966570223950753,0.5596770117063535,0.7229350968758589,11,0.0,0,25.462369586921323
2024-11-23,0.0,0.0,0.0,3,0.0,0,
2024-12-07,9.0546246950372,0.8471222474292864,0.814359116347486,13,0.0,0,102.14459439311688
2024-12-14,5.608867061359853,0.620076927652459,0.8618455680376375,10,0.0,0,51.26764540379028
2025-01-11,0.21971188850554635,0.20873107026127813,0.591094134288837,9,0.0,0,19.543637829639714
2025-01-18,3.998066513157008,0.5074061595711287,0.7922229952226786,10,0.0,0,51.74010209967734
2025-02-01,9.603205801286045,0.7726393143687316,0.7960783851060543,9,0.0,0,69.21868223367944
2025-02-08,6.511251640015081,0.42307285356743707,0.856462217215422,5,0.0,0,63.96883584566518
2025-02-15,6.168935445883689,0.9077064728073337,0.7859223375715116,10,0.0,0,46.208320899883745
2025-02-22,2.378871538929226,0.3473651979698026,0.7230975793697204,8,0.0,0,44.06048762511465
2025-03-01,5.203957292801146,0.4309089171542639,0.8532342602212645,7,0.0,0,67.33075718250083
2025-03-08,6.715955682871992,0.32562294058917124,0.885237602554976,8,0.0,0,70.46297212152245
2025-03-15,12.270821495093834,0.8416304248350462,0.8513052256048612,8,0.0,0,90.03203346499168
2025-03-22,1.5469075244802164,0.31177220187912985,0.7709855836099921,8,0.0,0,35.03084155560305
2025-03-29,9.298840597454836,0.9872583112053565,0.8638342046885508,10,0.0,0,76.40495105059212
2025-04-05,1.6655982058111256,0.2709763755120714,0.8271408037737743,5,0.0,0,63.62436385059997
2025-04-12,4.136969146159524,0.7347093802729171,0.792707607162127,11,0.0,0,39.075819132591675
2025-04-26,0.1749792435350304,0.23923382466543688,0.6002733608069192,10,0.0,0,7.0716355702884774
2025-05-03,4.643438853566318,0.6623588246897829,0.7784306863021868,11,0.0,0,43.62831576135539
2025-05-10,3.812057365651008,0.6834577961794813,0.7327627181009606,12,0.0,0,84.20672158759935
2025-05-17,3.6279112749954336,0.45171558082565805,0.822341265810284,8,0.0,0,57.7794787214539
2025-05-31,1.0702846601765694,0.2622467440340225,0.6719253098238307,6,0.0,0,49.06330246920275
2025-06-07,4.33242849963288,0.6227242799369659,0.7965122680750985,8,0.0,0,52.53586467750491
2025-06-14,4.082054693050178,0.6669059348450906,0.8352552945531786,10,0.0,0,46.19664433585297
2025-06-21,5.8465884844217575,0.5987462026812002,0.8047817677382659,8,0.0,0,66.11695417042228
2025-06-28,4.10153222077374,0.7906465613571778,0.7754224060535112,10,0.0,0,41.09208033413707
2025-07-12,3.9810396149939025,0.6809981431070926,0.7360913551801938,11,0.0,0,67.39584468391045
2025-07-19,0.09644022915917892,0.04421223880298289,0.46713372234523076,2,0.0,0,30.525631623299056
2025-07-26,5.756214607471583,0.6396030436385501,0.7956656775215374,10,0.0,0,114.93899322965694
2025-08-02,7.435687895117063,0.7974145219341907,0.8210154748538415,11,0.0,0,66.49780357309672
2025-08-09,13.473759662382069,0.8612529315772088,0.9040982016195892,11,0.0,0,72.78291858975453
2025-08-16,2.4410702628546663,0.5151834367816445,0.8223288528927152,9,0.0,0,54.67396820669563
2025-08-23,9.20600922193556,0.6339867360756518,0.8398147220948138,9,0.0,0,83.80777358187413
2025-09-06,2.037745278242661,0.3574530815588217,0.6847994126013661,8,0.0,0,58.96101421942047
2025-09-13,16.823917856348523,0.918903738851846,0.8918293402236924,9,0.0,0,78.97019212761923
2025-09-27,2.300356180947776,0.6490854873637121,0.6723226144376938,8,0.0,0,47.0544880063199
2025-10-04,7.472551145825997,0.9999999999999999,0.8290765418526603,9,0.0,0,86.89159016297873
2025-10-11,4.9752690780452875,0.73943487870837,0.8287507749855919,11,0.0,0,42.33960344592888
2025-10-18,2.2045607933682496,0.4626500194231729,0.7113597391629797,10,0.0,0,99.49506940777161
2025-10-25,7.122735581538945,0.9829269916221246,0.7722160710430108,11,0.0,0,59.21199982165952
2025-11-01,6.992688470111181,0.8339619780006103,0.824528283696133,11,0.0,0,56.02034435746217
2025-11-08,8.904830549000781,0.8858421190467656,0.828723520752637,10,0.0,0,119.86527466551189
2025-11-15,2.082657355688851,0.5955533497530893,0.7382664771512341,10,0.0,0,42.16713791320991
2025-11-22,5.336407699056,0.776616175602252,0.8142024705643349,8,0.0,0,56.87891445098064
2025-12-06,7.41848626541058,0.964060606204034,0.794236351135252,12,0.0,0,57.24785283081802
2025-12-13,2.3704251339366325,0.3506908182629602,0.8082033463539572,5,0.0,0,64.46537913426366
2026-01-24,2.0092257292131257,0.4764689262782796,0.7455413460346875,7,0.0,0,30.632650180173837
2026-01-31,1.4029473478999623,0.4437919359424231,0.6680482893255375,10,0.0,0,38.45834166560806
2026-02-07,16.160825347082508,0.9999999999999998,0.8643255942541599,10,0.0,0,115.7030214975769
2026-02-21,13.334809703372654,0.9999999999999999,0.8713373738570075,11,0.0,0,59.093347329876956
2024-05-11,1.0868027749858664,0.29054166773920287,0.7788649606310115,4,0.0015301687830682753,1,19.04911721209416
2024-05-18,11.23879679848298,0.8544097293236917,0.8058032614838968,9,0.0035527096950247225,1,82.47636644998576
2024-06-01,7.827033492590429,0.9680584545546674,0.8449195623551892,10,0.0023608986480597614,1,72.6329110416387
2024-06-08,9.097272534315822,0.8879561497555577,0.8148634665261432,13,0.0022508693917489765,1,82.16569654636756
2024-06-15,2.315215524368019,0.3911682697571587,0.8096766980857684,7,0.0028202243060568843,1,25.18746054283164
2024-06-22,0.25332742189288715,0.26191772703435917,0.6373473958959702,7,0.001888524370646746,1,13.1149203212985
2024-06-29,5.815284053531616,0.4734342726092156,0.8361437215616773,11,0.005872278372506579,1,56.59174190422215
2024-07-13,3.785625994054741,0.3194832612376858,0.809162828555258,10,0.002998699514004599,1,67.2985658992034
2024-07-20,8.018518688055899,0.7433973278973267,0.8164911590773644,7,0.002175258800257072,1,75.85253050209988
2024-07-27,5.165902318505763,0.6345345838293784,0.8421565247107815,10,0.00442627522386616,1,49.03085751807598
2024-08-03,9.519453884850627,0.9597747103215862,0.8067141252167243,11,0.0020133230114108935,1,72.05639546915357
2024-08-10,0.7031995836898627,0.20034725279165178,0.7028856779489356,5,0.004463475214247748,1,16.048675302133862
2024-08-17,10.711870929614765,0.6477056479507396,0.8719444231503657,10,0.00239967829267268,1,63.56877023942007
2024-08-24,0.6977588817009742,0.3325634942795781,0.6390881068041955,5,0.008027846267637417,1,10.27737060367494
2024-09-07,6.240421403715425,0.6960708423290849,0.8390282015688659,7,0.007011399569734574,1,90.93071663634703
2024-09-14,4.356172839041854,0.6732431252037134,0.7414845758755229,10,0.003978381975750645,1,49.97384129461927
2024-09-28,3.1988023401751784,0.29654405488367014,0.8163465127135608,10,0.0026137016438781526,1,90.75377053435432
2024-10-05,14.596808340298539,1.0,0.8542363386771565,12,0.004028031816344683,1,91.57760734343431
2024-10-12,9.88284103416935,1.0,0.853042417307946,8,0.0020919545648268867,1,68.79371496197996
2024-10-19,5.382041012254097,0.39112717249403123,0.7921805034432264,9,0.0031765112229937952,1,54.49251514056342
2024-10-26,8.96128399790598,0.9999999999999999,0.8212874262579081,9,0.004316877128192126,1,50.48249931295512
2024-11-02,3.5143783735859606,0.5554112552289269,0.7623159141829758,10,0.0034242731325649146,1,41.772005802782836
2024-11-09,3.735760362773841,0.4164687686759096,0.7671619696005949,6,0.002851930745724207,1,58.83539126928532
2024-11-16,2.3663918975713027,0.5639308092422829,0.7243772889080774,11,0.004626262508309927,1,26.235499900904042
2024-11-23,0.0,0.0,0.0,3,0.0049295782041884895,1,
2024-12-07,9.080614769312433,0.8464418325753624,0.8143901572508211,13,0.0029775147302642736,1,102.43778662189537
2024-12-14,5.663457823776235,0.621789878924308,0.8619394006165747,10,0.0044661652603244836,1,51.76663028242405
2025-01-11,0.2244443495500626,0.20891682210155665,0.5912414282033701,9,0.004046508633626865,1,19.964595954964686
2025-01-18,4.0270248628644305,0.5085211821883611,0.792046571082243,10,0.005907643596724332,1,52.11486023978568
2025-02-01,9.743096609585594,0.7737878128233048,0.7963902553046585,9,0.004332918260152264,1,70.22699733256053
2025-02-08,6.555119066407777,0.42236758170426336,0.8565883837419227,5,0.0029748702506762646,1,64.39980493625308
2025-02-15,6.306346519029968,0.9103099092835916,0.7871133610654577,10,0.005227043374181628,1,47.237596537283615
2025-02-22,2.4191028958675322,0.3486101412291208,0.7242070482384109,8,0.002161125766511479,1,44.80563639650216
2025-03-01,5.233353482913469,0.43052442167074534,0.8534267420973912,7,0.002661439384002841,1,67.711096149018
2025-03-08,6.739814982826198,0.32513419494766754,0.8852346588713618,8,0.002181233974821964,1,70.71330093054064
2025-03-15,12.293466982960593,0.842061521134353,0.8512975881792832,8,0.00216746587116029,1,90.1981852847591
2025-03-22,1.5840348561634423,0.3122621228339085,0.7715578644017502,8,0.0023248725598027514,1,35.87161687862336
2025-03-29,9.337555627931584,0.9867384465294294,0.8640672595208476,10,0.0034228474837576075,1,76.7230573755148
2025-04-05,1.6759896976666733,0.2710816927082243,0.8272347370512096,5,0.006216341364975686,1,64.02130955843108
2025-04-12,4.238277629477862,0.7381636813214345,0.7934960435454022,11,0.004295767091668638,1,40.03273029892694
2025-04-26,0.3312487131283689,0.2679985891947735,0.6329728120837469,10,0.006618006886614414,1,13.387131725151738
2025-05-03,4.658230512268987,0.6628775838694484,0.778543844027159,11,0.0030196538680859826,1,43.76729361308668
2025-05-10,3.8227495103434714,0.6838694097225754,0.7328863668871177,12,0.0017559226800076544,1,84.44290650428117
2025-05-17,3.66365881806498,0.4519343816076587,0.822532978477858,8,0.002789866215422515,1,58.3488075301177
2025-05-31,1.0814056870806175,0.2629192568534856,0.6726080592510355,6,0.0022545342639500587,1,49.573105446918454
2025-06-07,4.373982447127968,0.6258637528340539,0.7969234760424094,8,0.003562284072624808,1,53.03975586984729
2025-06-14,4.1162973810871915,0.6686158140066051,0.8356672634688667,10,0.0033783474353042964,1,46.58416909955658
2025-06-21,5.875055280881308,0.5989480181795983,0.8048759069660064,8,0.002418828306482851,1,66.43887487373667
2025-06-28,4.1587015199899895,0.7913553925578928,0.7754646145981059,10,0.0018404192366467508,1,41.6648432211728
2025-07-12,3.992647505102434,0.6828399753095445,0.7360403380042475,11,0.003152020371868135,1,67.59235706120909
2025-07-19,0.09849958698800353,0.04426488491888342,0.467594321048505,2,0.0006033761320646258,1,31.177467470344773
2025-07-26,5.770076566477606,0.6394529733191399,0.795709267404355,10,0.0007797979552045864,1,115.21578617797317
2025-08-02,7.463133546826725,0.7995793862016768,0.8209204764680762,11,0.0019454232980221642,1,66.74325168523752
2025-08-09,13.532453478598072,0.8606625038418718,0.904239476631541,11,0.0030336747343771915,1,73.09997243028712
2025-08-16,2.4722317720341627,0.5160390392702888,0.8227972448524858,9,0.0025321551567577044,1,55.371909346726575
