date,target_pct_opening_ev,opening_expected_return_pct,starting_pct_opening_ev,required_movement_pct,achieved_pct_opening_ev,mean_absolute_decimal_change,status
2024-05-11,50,5.705265828780047,18.6872900404499,29.0,69.97672286151888,0.04437489470897918,reached_on_grid
2024-05-11,60,5.705265828780047,18.6872900404499,29.0,69.97672286151888,0.04437489470897918,reached_on_grid
2024-05-11,70,5.705265828780047,18.6872900404499,30.0,70.41659819789741,0.04590506349204751,reached_on_grid
2024-05-11,80,5.705265828780047,18.6872900404499,52.0,80.02666654822524,0.07956877671954893,reached_on_grid
2024-05-11,90,5.705265828780047,18.6872900404499,76.0,90.22169520430208,0.11629282751318687,reached_on_grid
2024-05-11,100,5.705265828780047,18.6872900404499,100.0,99.99999999999999,0.1530168783068249,reached_on_grid
2024-05-18,50,13.626687598196103,81.91660733316647,0.0,81.91660733316647,0.0,already_met
2024-05-18,60,13.626687598196103,81.91660733316647,0.0,81.91660733316647,0.0,already_met
2024-05-18,70,13.626687598196103,81.91660733316647,0.0,81.91660733316647,0.0,already_met
2024-05-18,80,13.626687598196103,81.91660733316647,0.0,81.91660733316647,0.0,already_met
2024-05-18,90,13.626687598196103,81.91660733316647,18.0,90.43446786873668,0.06394877451044478,reached_on_grid
2024-05-18,100,13.626687598196103,81.91660733316647,100.0,100.00000000000001,0.35527096950247106,reached_on_grid
2024-06-01,50,10.7761528215541,72.31940897507026,0.0,72.31940897507026,0.0,already_met
2024-06-01,60,10.7761528215541,72.31940897507026,0.0,72.31940897507026,0.0,already_met
2024-06-01,70,10.7761528215541,72.31940897507026,0.0,72.31940897507026,0.0,already_met
2024-06-01,80,10.7761528215541,72.31940897507026,44.0,80.10137415113273,0.10387954051463111,reached_on_grid
2024-06-01,90,10.7761528215541,72.31940897507026,72.0,90.7026669524068,0.16998470266030555,reached_on_grid
2024-06-01,100,10.7761528215541,72.31940897507026,100.0,100.0,0.23608986480597985,reached_on_grid
2024-06-08,50,11.071862001659134,81.8931890550814,0.0,81.8931890550814,0.0,already_met
2024-06-08,60,11.071862001659134,81.8931890550814,0.0,81.8931890550814,0.0,already_met
2024-06-08,70,11.071862001659134,81.8931890550814,0.0,81.8931890550814,0.0,already_met
2024-06-08,80,11.071862001659134,81.8931890550814,0.0,81.8931890550814,0.0,already_met
2024-06-08,90,11.071862001659134,81.8931890550814,33.0,90.03535909244712,0.07427868992771666,reached_on_grid
2024-06-08,100,11.071862001659134,81.8931890550814,100.0,100.00000000000001,0.225086939174899,reached_on_grid
2024-06-15,50,9.191937076907621,24.864177854451604,79.0,50.123829091014635,0.2227977201784961,reached_on_grid
2024-06-15,60,9.191937076907621,24.864177854451604,96.0,98.34083262714105,0.2707415333814637,reached_on_grid
2024-06-15,70,9.191937076907621,24.864177854451604,96.0,98.34083262714105,0.2707415333814637,reached_on_grid
2024-06-15,80,9.191937076907621,24.864177854451604,96.0,98.34083262714105,0.2707415333814637,reached_on_grid
2024-06-15,90,9.191937076907621,24.864177854451604,96.0,98.34083262714105,0.2707415333814637,reached_on_grid
2024-06-15,100,9.191937076907621,24.864177854451604,100.0,100.0,0.28202243060569127,reached_on_grid
2024-06-22,50,1.9315971099076061,12.543537865771027,44.0,50.00862672266947,0.08309507230845821,reached_on_grid
2024-06-22,60,1.9315971099076061,12.543537865771027,55.0,60.5468481611453,0.10386884038557274,reached_on_grid
2024-06-22,70,1.9315971099076061,12.543537865771027,66.0,70.90744374187969,0.12464260846268725,reached_on_grid
2024-06-22,80,1.9315971099076061,12.543537865771027,76.0,80.02799890056926,0.14352785216915503,reached_on_grid
2024-06-22,90,1.9315971099076061,12.543537865771027,88.0,90.41744224477983,0.16619014461691634,reached_on_grid
2024-06-22,100,1.9315971099076061,12.543537865771027,100.0,100.0,0.18885243706467766,reached_on_grid
2024-06-29,50,10.275852726663913,56.07128313012417,0.0,56.07128313012417,0.0,already_met
2024-06-29,60,10.275852726663913,56.07128313012417,10.0,60.256328612643905,0.058722783725065786,reached_on_grid
2024-06-29,70,10.275852726663913,56.07128313012417,30.0,70.15520780745598,0.17616835117519744,reached_on_grid
2024-06-29,80,10.275852726663913,56.07128313012417,43.0,86.40129980505148,0.25250797001778297,reached_on_grid
2024-06-29,90,10.275852726663913,56.07128313012417,52.0,90.1424317427916,0.30535847537034216,reached_on_grid
2024-06-29,100,10.275852726663913,56.07128313012417,100.0,100.0,0.5872278372506581,reached_on_grid
2024-07-13,50,5.625121343186826,66.88624852770012,0.0,66.88624852770012,0.0,already_met
2024-07-13,60,5.625121343186826,66.88624852770012,0.0,66.88624852770012,0.0,already_met
2024-07-13,70,5.625121343186826,66.88624852770012,13.0,70.23121485607398,0.03898309368205989,reached_on_grid
2024-07-13,80,5.625121343186826,66.88624852770012,44.0,80.2741444729586,0.13194277861620268,reached_on_grid
2024-07-13,90,5.625121343186826,66.88624852770012,68.0,90.02518283106322,0.20391156695231327,reached_on_grid
2024-07-13,100,5.625121343186826,66.88624852770012,100.0,100.0,0.29986995140046063,reached_on_grid
2024-07-20,50,10.5711947050124,75.34115696827945,0.0,75.34115696827945,0.0,already_met
2024-07-20,60,10.5711947050124,75.34115696827945,0.0,75.34115696827945,0.0,already_met
2024-07-20,70,10.5711947050124,75.34115696827945,0.0,75.34115696827945,0.0,already_met
2024-07-20,80,10.5711947050124,75.34115696827945,10.0,80.23028754933493,0.02175258800257096,reached_on_grid
2024-07-20,90,10.5711947050124,75.34115696827945,37.0,90.21764113726373,0.0804845756095126,reached_on_grid
2024-07-20,100,10.5711947050124,75.34115696827945,84.0,100.00674364350097,0.18272173922159615,reached_on_grid
2024-07-27,50,10.536022782390198,48.19498771341576,3.0,50.665229607495796,0.013278825671598538,reached_on_grid
