date,target_pct_opening_ev,candidate_count,qualifying_unique_combinations,opening_ev_pct,tolerance_pp,status,achieved_ev_ratio_min,achieved_ev_ratio_max,scenario_realized_return_min_pct,scenario_realized_return_max_pct
2024-05-11,50,50000,124,5.705265828780047,1.0,qualified,49.02211778257446,50.97779212755642,18.306052822201078,19.728189035348535
2024-05-11,60,50000,189,5.705265828780047,1.0,qualified,59.0505324412497,60.99192234668639,1.283280833849223,1.7068154446137167
2024-05-11,70,50000,1294,5.705265828780047,1.0,qualified,69.00239220133525,70.99998619506981,0.9568001922294311,3.273274293219127
2024-05-11,80,50000,1980,5.705265828780047,1.0,qualified,79.00025800524163,80.99999818908667,2.4500176721758518,4.798798218351063
2024-05-11,90,50000,2256,5.705265828780047,1.0,qualified,89.00099891148503,90.99888167991763,4.027217700240795,6.242479212413956
2024-05-11,100,50000,941,5.705265828780047,1.0,qualified,99.0060427376372,100.0,5.558651092327055,5.817326023870382
2024-05-18,50,50000,0,13.626687598196103,1.0,no_sampled_match_no_bet,,,,
2024-05-18,60,50000,0,13.626687598196103,1.0,no_sampled_match_no_bet,,,,
2024-05-18,70,50000,0,13.626687598196103,1.0,no_sampled_match_no_bet,,,,
2024-05-18,80,50000,102,13.626687598196103,1.0,qualified,79.01610465781972,80.99415157978142,-23.53874677419504,-7.985197372190863
2024-05-18,90,50000,4242,13.626687598196103,1.0,qualified,89.00001505033079,90.9995245840712,-23.539079489803,-1.8357551705202404
2024-05-18,100,50000,6989,13.626687598196103,1.0,qualified,99.00103554171464,100.99854062617253,-23.1774744363953,-0.37457131013600675
2024-06-01,50,50000,0,10.7761528215541,1.0,no_sampled_match_no_bet,,,,
2024-06-01,60,50000,0,10.7761528215541,1.0,no_sampled_match_no_bet,,,,
2024-06-01,70,50000,565,10.7761528215541,1.0,qualified,69.00210421867588,70.99900604878016,30.758571230877298,31.980584302846015
2024-06-01,80,50000,3769,10.7761528215541,1.0,qualified,79.00044911920737,80.99964028196558,31.56575592288849,35.32726642761854
2024-06-01,90,50000,2680,10.7761528215541,1.0,qualified,89.0002215173766,90.9998917474212,34.026943495387904,37.21805745998527
2024-06-01,100,50000,2210,10.7761528215541,1.0,qualified,99.00082371855507,100.97875825229747,36.04290080757142,39.03071927579102
2024-06-08,50,50000,0,11.071862001659133,1.0,no_sampled_match_no_bet,,,,
2024-06-08,60,50000,0,11.071862001659133,1.0,no_sampled_match_no_bet,,,,
2024-06-08,70,50000,0,11.071862001659133,1.0,no_sampled_match_no_bet,,,,
2024-06-08,80,50000,0,11.071862001659133,1.0,no_sampled_match_no_bet,,,,
