,fight_payout,choice_fstar,net_odds,choice_ev,choice_juice,choice_decimal_odds,parlay_net,parlay_net_odds,pct_bankroll_gain_per,pct_bankroll_gain_parlay,pct_bankroll_gain_total,event_payout_per_fight,bankroll_postevent,sigma_portfolio_scaled,beta_post,event_net_odds,portfolio_fscaled,portfolio_sigma,mu_portfolio,sharpe_portfolio,choice_bet_sharpe,choice_bet_sigma,k,date,fighter_red,fighter_blue,choice_proba,red_proba,blue_proba,pred_winner,winner,choice_idx,open_red,open_blue,kelly_edge,real_odds_blue,real_odds_red,fstar_net,juice_open_red,juice_open_blue,juice_close1_red,juice_close1_blue,juice_close2_red,juice_close2_blue,close1_red,close1_blue,close2_red,close2_blue,red_accuracy,blue_accuracy,red_total,blue_total,red_correct,blue_correct,red_incorrect,blue_incorrect,choice_accuracy,choice_correct,choice_incorrect
0,0.0,0.004121676835218253,0.0,-0.05642748259864555,0.0318698323703832,1.6666666666666663,-576.604959731623,-1.0,0.0,-0.1153209919463246,-0.1222119639907066,-34.45486022191005,4388.940180046467,0.038471904104092104,1,0.1454118261323587,0.0008844883766881117,0.17927737676590066,0.06185999748588438,0.34505188887642413,-0.06826615783868596,0.0034068981653559436,0.21459430519405964,2023-06-17,armen petrosyan,christian leroy duncan,0.5661435104408128,0.4338564895591872,0.5661435104408128,0,1.0,0,110.0,-150.0,0.004121676835218253,1.6666666666666663,2.1,0.03548364920312498,0.0405383694346594,0.0356521067558167,0.0555522423714084,0.0440646158661395,0.0042913419262347,0.0035517953286672,125.0,-190.0,150.0,-155.0,100.0,0.0,2,0,2,0,0,0,0.0,0,0
1,138.78580527994887,0.05218346278526078,0.5319148936170213,0.08761973655197919,0.0318698323703832,1.5319148936170213,-576.604959731623,-1.0,0.027757161055989774,-0.1153209919463246,-0.1222119639907066,-34.45486022191005,4388.940180046467,0.038471904104092104,1,0.1454118261323587,0.04981605219032163,0.17927737676590066,0.06185999748588438,0.34505188887642413,0.11777924542308542,0.17269680005327134,0.21459430519405964,2023-06-17,pat sabatini,lucas almeida,0.7099739946936531,0.7099739946936531,0.2900260053063469,1,1.0,1,-188.0,140.0,0.23214060664504824,2.4,1.5319148936170213,0.03548364920312498,0.0304849567433922,0.0389594877010522,0.0287452808578468,0.0379213858088197,0.0101145842337774,0.0129706955054947,-200.0,150.0,-180.0,163.0,50.0,0.0,4,0,2,0,2,0,50.0,2,2
2,142.44698030346026,0.04643771557892805,0.6134969325153374,0.022805093462779202,0.0318698323703832,1.6134969325153374,-576.604959731623,-1.0,0.028489396060692052,-0.1153209919463246,-0.1222119639907066,-34.45486022191005,4388.940180046467,0.038471904104092104,1,0.1454118261323587,0.024926866010104305,0.17927737676590066,0.06185999748588438,0.34505188887642413,0.028592969699157613,0.09264501990904306,0.21459430519405964,2023-06-17,manuel torres,nikolas motta,0.6339058183818745,0.6339058183818745,0.3660941816181254,1,1.0,1,-163.0,120.0,0.11615809649544384,2.2,1.6134969325153374,0.03548364920312498,0.0339796305551364,0.0403376871081888,0.0330335874677767,0.0443857673709329,0.0055380849517432,0.0072210857021642,-210.0,150.0,-185.0,175.0,0.0,100.0,0,1,0,1,0,0,0.0,0,0
3,-315.6876458053192,0.06313752916106384,-1.0,0.22933222921851049,0.0318698323703832,1.5,-576.604959731623,-1.0,-0.06313752916106384,-0.1153209919463246,-0.1222119639907066,-34.45486022191005,4388.940180046467,0.038471904104092104,1,0.1454118261323587,0.10682678808728308,0.17927737676590066,0.06185999748588438,0.34505188887642413,0.32585789935979736,0.3503473342036603,0.21459430519405964,2023-06-17,marvin vettori,jared cannonier,0.819554819479007,0.819554819479007,0.180445180520993,1,0.0,1,-200.0,154.0,0.4978081221245765,2.54,1.5,0.03548364920312498,0.0259818775864164,0.034385576481825,0.0398469652052378,0.0434863681280953,0.0038771838960715,0.0042396992208115,-140.0,100.0,-124.0,120.0,100.0,50.0,12,12,12,6,0,6,100.0,12,0
4,0.0,0.0,0.0,-0.05887856703570116,0.0318698323703832,1.7246376811594204,-576.604959731623,-1.0,0.0,-0.1153209919463246,-0.1222119639907066,-34.45486022191005,4388.940180046467,0.038471904104092104,1,0.1454118261323587,0.0,0.17927737676590066,0.06185999748588438,0.34505188887642413,0.0,0.0,0.21459430519405964,2023-06-17,carlos hernandez,denys bondar,0.5456922594498875,0.5456922594498875,0.4543077405501124,1,1.0,1,-138.0,110.0,0.0,2.1,1.7246376811594204,0.03548364920312498,0.0265680525498327,0.0294543564137525,0.0533421634075115,0.0454898222169268,-0.0018768289272079,-0.0016245716330162,110.0,-165.0,140.0,-138.0,100.0,0.0,1,0,1,0,0,0,100.0,1,0
5,0.0,0.0,0.0,-0.12723971782071197,0.0318698323703832,1.5714285714285714,-576.604959731623,-1.0,0.0,-0.1153209919463246,-0.1222119639907066,-34.45486022191005,4388.940180046467,0.038471904104092104,1,0.1454118261323587,0.0,0.17927737676590066,0.06185999748588438,0.34505188887642413,0.0,0.0,0.21459430519405964,2023-06-17,zac pauga,modestas bukauskas,0.5553929068413651,0.4446070931586349,0.5553929068413651,0,0.0,0,130.0,-175.0,0.0,1.5714285714285714,2.3,0.03548364920312498,0.0392764126889053,0.0318698323703832,0.0443857673709329,0.0330335874677767,0.0106887601538178,0.0081200172756494,150.0,-210.0,175.0,-190.0,100.0,50.0,1,2,1,1,0,1,50.0,1,1
6,0.0,0.0,0.0,-0.10192588156151927,0.0339796305551364,1.4,-493.17995479726056,-1.0,0.0,-0.11236880307446778,-0.12952430219705027,-75.2944594078542,3820.4657658413516,0.038471904104092104,1,-0.09090909090909127,0.0,0.12308016550158615,0.035904969843266424,0.29172019469541344,0.0,0.0,0.31257598612504556,2023-06-24,randy brown,wellington turman,0.6414815131703434,0.6414815131703434,0.3585184868296566,1,1.0,1,-250.0,175.0,0.0,2.75,1.4,0.04317747510013865,0.0316294610237879,0.0462926168982899,0.0332802337799202,0.0509302925358691,0.0074719514802815,0.0109104014608949,-275.0,185.0,-240.0,220.0,61.53846153846154,33.33333333333333,13,6,8,2,5,4,61.53846153846154,8,5
7,150.4795378350678,0.03771468391643063,0.9090909090909087,0.022801757314936888,0.0339796305551364,1.9090909090909087,-493.17995479726056,-1.0,0.0342860762876642,-0.11236880307446778,-0.12952430219705027,-75.2944594078542,3820.4657658413516,0.038471904104092104,1,-0.09090909090909127,0.02871207593273779,0.12308016550158615,0.035904969843266424,0.29172019469541344,0.0237871100836354,0.08805126922043016,0.31257598612504556,2023-06-24,cody brundage,sedriques dumas,0.5357533014506813,0.4642466985493186,0.5357533014506813,0,0.0,0,-120.0,-110.0,0.09185630760915704,1.9090909090909087,1.8333333333333333,0.04317747510013865,0.0342505339758,0.0350135352882691,0.0449744276338792,0.0543521716927199,-0.007676698264367,-0.0089899684022995,-175.0,116.0,-140.0,150.0,100.0,0.0,2,0,2,0,0,0,0.0,0,0
8,0.0,0.0530527857347881,0.0,-0.014202244253447904,0.0339796305551364,1.7246376811594204,-493.17995479726056,-1.0,0.0,-0.11236880307446778,-0.12952430219705027,-75.2944594078542,3820.4657658413516,0.038471904104092104,1,-0.09090909090909127,0.01658302681773214,0.12308016550158615,0.035904969843266424,0.29172019469541344,-0.016508068342271028,0.04564244620928447,0.31257598612504556,2023-06-24,tabatha ricci,gillian robertson,0.5715970180379167,0.5715970180379167,0.4284029819620832,1,1.0,1,-138.0,105.0,0.0530527857347881,2.05,1.7246376811594204,0.04317747510013865,0.0322362225882545,0.0354005882336351,0.0398469652052378,0.0434863681280953,0.0143385228481075,0.0154233819137972,-140.0,100.0,-124.0,110.0,100.0,75.0,2,8,2,6,0,2,100.0,2,0
9,-225.83337128148736,0.05145510351410085,-1.0,0.06535937964471383,0.0339796305551364,1.5319148936170213,-493.17995479726056,-1.0,-0.05145510351410085,-0.11236880307446778,-0.12952430219705027,-75.2944594078542,3820.4657658413516,0.038471904104092104,1,-0.09090909090909127,0.06053622544605171,0.12308016550158615,0.035904969843266424,0.29172019469541344,0.08778706778269663,0.14419065233402115,0.31257598612504556,2023-06-24,jamall emmers,jack jenkins,0.6954429283791882,0.6954429283791882,0.3045570716208118,1,0.0,1,-188.0,140.0,0.19366882976683397,2.4,1.5319148936170213,0.04317747510013865,0.0304849567433922,0.0389594877010522,0.0296199858307136,0.0399562317530939,0.0081200172756494,0.0106887601538178,-210.0,155.0,-190.0,175.0,0.0,0.0,1,0,0,0,1,0,0.0,0,1
