,fight_payout,choice_fstar,net_odds,choice_ev,choice_juice,choice_decimal_odds,parlay_net,parlay_net_odds,bankroll_pct_change,bankroll_postevent,vegas_acc_choice,event_payout_money_line,event_ml_net_odds,kelly_edge,choice_bet_sharpe,choice_bet_sigma,choice_idx,choice_edge,avg_choice_edge,date,fighter_red,fighter_blue,pred_winner,winner,red_proba,blue_proba,choice_proba,open_red,open_blue,real_odds_blue,real_odds_red,beta_post,sigma_portfolio_scaled,portfolio_fscaled,portfolio_sigma,mu_portfolio,sharpe_portfolio,k,juice_open_red,juice_open_blue,juice_close1_red,juice_close1_blue,juice_close2_red,juice_close2_blue,close1_red,close1_blue,close2_red,close2_blue
0,0.0,0.0,0.0,-0.09600840926671544,0.0193403204872646,1.434782608695652,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.0,"[0, 0, np.float64(-0.03560963825183076), np.float64(0.08598138564967524), 0, np.float64(-0.0005749370216179489), np.float64(0.0983687543870089), np.float64(0.0265117403226221), 0, 0]","[0.         0.         0.01258171 0.15176628 0.         0.07108452
 0.17626128 0.08285369 0.         0.        ]",0,-0.029081743690377193,0.07167898638723602,2024-05-04,joaquim silva,drakkar klose,0,0.0,0.3699452549434682,0.6300547450565317,0.6300547450565317,120.0,-142.0,1.434782608695652,2.54,1,0.04856484043179151,0.0,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0219819935623222,0.0193403204872646,0.0528372761484838,0.037833208222788,0.0100702480417933,0.0074736116073294,154.0,-230.0,185.0,-200.0
1,0.0,0.0,0.0,-0.10045991554715214,0.0191618095781445,1.359712230215827,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.0,,,0,-0.049026393787076517,0.07167898638723602,2024-05-04,elves brener,myktybek orolbai,0,0.0,0.3384334828627202,0.6615665171372798,0.6615665171372798,142.0,-170.0,1.359712230215827,3.05,1,0.04856484043179151,0.0,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0236909605473527,0.0191618095781445,0.0384617633833727,0.0248568245253791,0.0106261171426896,0.0072111180858498,205.0,-278.0,225.0,-245.0
2,0.0,0.029358993868480596,0.0,-0.015260399186095036,0.0137953429848293,1.1666666666666667,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.029358993868480596,,,1,0.004716643576306745,0.07167898638723602,2024-05-04,ismael bonfim,vinc pichel,1,1.0,0.8440625149833471,0.1559374850166529,0.8440625149833471,-500.0,380.0,5.0,1.1666666666666667,1,0.04856484043179151,0.029358993868480596,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0137953429848293,0.0278713236818374,0.0177969857358167,0.0393458714070402,0.0111750940163172,0.0234209463360391,-600.0,400.0,-549.0,430.0
3,-30.455431832962205,0.06091086366592441,-1.0,0.08831329640120622,0.0215932116349099,2.05,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.14775889699474468,,,0,0.08133377215941373,0.07167898638723602,2024-05-04,alessandro costa,kevin borjas,0,1.0,0.4691154651701432,0.5308845348298568,0.5308845348298568,-130.0,110.0,2.05,1.7092198581560285,1,0.04856484043179151,0.14775889699474468,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0198146558599141,0.0215932116349099,0.0346130033343434,0.0382541153783375,0.0048194573325072,0.0052815527685029,-141.0,105.0,-125.0,120.0
4,0.0,0.0,0.0,-0.061093706563537825,0.0179466280570474,1.1538461538461535,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.0,,,1,-0.026280108107178846,0.07167898638723602,2024-05-04,michel pereira,ihor potieria,1,1.0,0.8137187876449341,0.1862812123550659,0.8137187876449341,-420.0,310.0,4.5,1.1538461538461535,1,0.04856484043179151,0.0,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0179466280570474,0.0336481186596504,0.0266677709145538,0.062221117974335,0.0010086190232103,0.0019642535148795,-650.0,350.0,-485.0,475.0
5,0.0,0.15550822577580953,0.0,-0.0002628100503346553,0.0159258302766661,1.181818181818182,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.15550822577580953,,,0,0.02837081985323553,0.07167898638723602,2024-05-04,anthony smith,vitor petrino,0,1.0,0.1540685315810526,0.8459314684189474,0.8459314684189474,260.0,-325.0,1.181818181818182,4.1,1,0.04856484043179151,0.15550822577580953,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0265578298540526,0.0159258302766661,0.0614630875901021,0.0285931975881342,-0.0026143101763705,-0.0014673224766905,310.0,-550.0,400.0,-390.0
6,-42.91604347890782,0.08583208695781563,-1.0,0.07539472268600195,0.0277298173240821,1.5555555555555556,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.22997104050970588,,,0,0.092186493663173,0.07167898638723602,2024-05-04,jose aldo,jonathan martinez,0,1.0,0.3086748211304273,0.6913251788695727,0.6913251788695727,-107.0,-117.0,1.5555555555555556,2.2,1,0.04856484043179151,0.22997104050970588,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0283489021487466,0.0277298173240821,0.0536841397518541,0.0437184576507431,-8.8484775062625e-14,8.8484775062625e-14,120.0,-180.0,150.0,-150.0
7,22.498167585793237,0.08999267034317295,0.5,0.019157118721911615,0.0169990228350114,1.5,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.11466209743390197,,,1,0.041516693339121336,0.07167898638723602,2024-05-04,alexandre pantoja,steve erceg,1,1.0,0.6794380791479411,0.3205619208520589,0.6794380791479411,-250.0,205.0,2.5,1.5,1,0.04856484043179151,0.11466209743390197,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0169990228350114,0.0251555439097192,0.0287452808578468,0.0379213858088197,0.0088508769065202,0.0113647565166603,-200.0,150.0,-180.0,165.0
8,0.0,0.0,0.0,-0.1619528339052964,0.0232290461519004,1.4444444444444444,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.0,,,0,-0.08181207977973737,0.07167898638723602,2024-05-04,jack shore,joanderson brito,0,0.0,0.4198135003959743,0.5801864996040256,0.5801864996040256,-120.0,100.0,1.4444444444444444,2.63,1,0.04856484043179151,0.0,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0222254993026449,0.0232290461519004,0.042226716265892,0.0303091129239294,0.0100702480417933,0.0074736116073294,163.0,-225.0,185.0,-200.0
9,0.0,0.0,0.0,-0.1085163144093562,0.0187287731158957,1.1538461538461535,-21.35591728941025,-1.0,-0.14445845003097407,427.77077498451297,0.6666666666666666,-50.87330772607679,-1.5,0.0,,,0,-0.0726908831648847,0.07167898638723602,2024-05-04,paul craig,caio borralho,0,0.0,0.2273808058214418,0.7726191941785582,0.7726191941785582,154.0,-185.0,1.1538461538461535,4.9,1,0.04856484043179151,0.0,0.04856484043179151,0.006147850544024289,0.12659056406576358,1.0,0.0240948213032229,0.0187287731158957,0.0493917099965039,0.021356589323224,0.0066491425724469,0.0033294746763058,390.0,-650.0,475.0,-510.0
