,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge,fstar_net,choice_decimal_odds
6,jonathan martinez,0.27637936703813004,-1.0,0.12063096041690781,0.25093214475577896,1.8547008547008548,2024-05-04,1.0,0,0.6744657186010421,0.5747331167629889,0.39394508069603296,0.1113601420616131,-0.12063096041690781,1.8547008547008548
5,vitor petrino,0.27637936703813004,-1.0,0.18917590907229923,0.11432509472220381,1.3076923076923077,2024-05-04,1.0,0,0.8521309547875676,0.5747331167629889,0.39394508069603296,0.1113601420616131,-0.18917590907229923,1.3076923076923077
0,chase hooper,0.1186229465994029,-1.0,0.07668681751489494,0.3573855944053428,2.64,2024-05-11,1.0,1,0.5141612100020237,0.26008690612055674,0.620445459893517,0.10874575933762406,0.07668681751489494,2.64
6,rodrigo nascimento,0.1186229465994029,-1.0,0.09585315782863575,0.1937989224082034,2.3600000000000003,2024-05-11,1.0,0,0.5058470010204251,0.26008690612055674,0.620445459893517,0.10874575933762406,-0.09585315782863575,2.3600000000000003
0,luana pinheiro,0.22189358801320622,-1.0,0.11044560091904919,0.4302326137858441,2.2,2024-05-18,0.0,1,0.65010573353902,0.4148125331338989,0.6730772169733921,0.14408753431178709,-0.11044560091904919,2.2
6,piera rodriguez,0.22189358801320622,-1.0,0.13598978299872236,0.1697937809883493,1.8333333333333333,2024-05-18,0.0,1,0.6380693350845542,0.4148125331338989,0.6730772169733921,0.14408753431178709,-0.13598978299872236,1.8333333333333333
8,randy brown,0.31563893985533875,1.0168711656441718,0.14482709047824463,0.19459645688838528,1.6134969325153374,2024-06-01,1.0,1,0.7403772717597217,0.654957123288281,0.32096413669338886,0.10261579811132854,0.14482709047824463,1.6134969325153374
0,islam makhachev,0.31563893985533875,1.0168711656441718,0.21480590010459924,0.10578273447600767,1.25,2024-06-01,1.0,1,0.8846261875808061,0.654957123288281,0.32096413669338886,0.10261579811132854,0.21480590010459924,1.25
10,nassourdine imavov,0.16867059033848406,2.3,0.11415373568860575,0.21233965480151906,1.8,2024-06-08,0.0,0,0.6735220304452884,0.42058859326621617,0.38794235777851327,0.09848672648506746,0.11415373568860575,1.8
12,zachary reese,0.16867059033848406,2.3,0.11359079644843063,0.14484612648073736,1.8333333333333333,2024-06-08,0.0,0,0.6244615235349477,0.42058859326621617,0.38794235777851327,0.09848672648506746,0.11359079644843063,1.8333333333333333
3,brady hiestand,0.1536529998271609,3.129411764705883,0.07115106804772696,0.3058811931063433,2.6,2024-06-15,1.0,1,0.5022619973485936,0.35860882607984274,0.48084350534146836,0.10100227962744945,0.07115106804772696,2.6
4,tatsuro taira,0.1536529998271609,3.129411764705883,0.13427197640729593,0.13398026800503687,1.5882352941176472,2024-06-15,0.0,0,0.7139875761513195,0.35860882607984274,0.48084350534146836,0.10100227962744945,0.13427197640729593,1.5882352941176472
0,rinat fakhretdinov,0.07719170910036183,1.6173913043478256,0.13799431749137345,0.06074541476158246,1.4,2024-06-22,1.0,1,0.7576752962582732,0.4297596607729811,0.12484919906667202,0.037857043586033645,0.13799431749137345,1.4
