,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds
3,kevin borjas,0.03811617018142735,0.167945976625685,2.2,-1.0,0,0.5308845348298568,0.3670138460003406,0.345717435334582,2024-05-04,1.0,-0.03811617018142735,2.2
6,jonathan martinez,0.03811617018142735,0.15220863144928753,1.6666666666666663,-1.0,0,0.6913251788695727,0.3670138460003406,0.345717435334582,2024-05-04,1.0,-0.03811617018142735,1.6666666666666663
0,chase hooper,0.03866191139857278,0.17474290566269568,2.1,2.6000000000000005,1,0.5594013836489027,0.37265171013185877,0.3415461564746918,2024-05-11,1.0,0.03866191139857278,2.1
2,tabatha ricci,0.03866191139857278,0.1419912816735837,1.7142857142857144,2.6000000000000005,1,0.6661615809762571,0.37265171013185877,0.3415461564746918,2024-05-11,1.0,0.03866191139857278,1.7142857142857144
0,luana pinheiro,0.03409476252581531,0.2877854249098465,2.23,-1.0,1,0.5774822533228011,0.39285147363465245,0.5941397585046806,2024-05-18,0.0,-0.03409476252581531,2.23
4,themba gorimbo,0.03409476252581531,0.23789237528937013,1.819672131147541,-1.0,1,0.6802831972310953,0.39285147363465245,0.5941397585046806,2024-05-18,1.0,-0.03409476252581531,1.819672131147541
8,randy brown,0.0694927368717532,0.1680963079581823,1.5681818181818183,0.9602272727272729,1,0.7448730079733336,0.6448957853386486,0.264142306487692,2024-06-01,1.0,0.0694927368717532,1.5681818181818183
0,islam makhachev,0.0694927368717532,0.08222438327657822,1.25,0.9602272727272729,1,0.8657795066212626,0.6448957853386486,0.264142306487692,2024-06-01,1.0,0.0694927368717532,1.25
12,zachary reese,0.03326138488077058,0.2591888020580986,2.35,3.3083333333333336,0,0.5358250221523824,0.33791515691028834,0.455851134355159,2024-06-08,0.0,0.03326138488077058,2.35
10,nassourdine imavov,0.03326138488077058,0.15618176716281384,1.8333333333333333,3.3083333333333336,0,0.6306446002706257,0.33791515691028834,0.455851134355159,2024-06-08,0.0,0.03326138488077058,1.8333333333333333
0,melquizael costa,0.06077041516593785,0.08421694948832603,1.5,1.1666666666666665,1,0.722811299658884,0.5401377800971106,0.17029852354373953,2024-06-15,1.0,0.06077041516593785,1.5
4,tatsuro taira,0.06077041516593785,0.07939515619640325,1.4444444444444444,1.1666666666666665,0,0.747273569674433,0.5401377800971106,0.17029852354373953,2024-06-15,0.0,0.06077041516593785,1.4444444444444444
4,johnny walker,0.041461392993617494,0.07618320712875709,1.8,-1.0,1,0.5978795595159762,0.3346068264871172,0.14983073101936606,2024-06-22,0.0,-0.041461392993617494,1.8
5,robert whittaker,0.041461392993617494,0.06843400213156992,1.9090909090909087,-1.0,1,0.5596559058784415,0.3346068264871172,0.14983073101936606,2024-06-22,1.0,-0.041461392993617494,1.9090909090909087
5,ian machado garry,0.043653833817156026,0.18962226682756755,1.5494505494505495,-1.0,1,0.7677703991582173,0.4237854039628061,0.31326905403858607,2024-06-29,1.0,-0.043653833817156026,1.5494505494505495
4,mayra bueno silva,0.043653833817156026,0.1039378554511714,2.0,-1.0,1,0.5519689277255857,0.4237854039628061,0.31326905403858607,2024-06-29,0.0,-0.043653833817156026,2.0
7,montel jackson,0.04459126803866524,0.15776754931849613,1.9523809523809523,-1.0,1,0.5930028911143517,0.3939328633857445,0.20859674412905282,2024-07-13,1.0,-0.04459126803866524,1.9523809523809523
2,santiago ponzinibbio,0.04459126803866524,0.0439027634178179,1.5714285714285714,-1.0,1,0.6643017585386114,0.3939328633857445,0.20859674412905282,2024-07-13,0.0,-0.04459126803866524,1.5714285714285714
4,cody durden,0.0305249607563207,0.3194035874087412,2.26,-1.0,1,0.5838068970835139,0.32783834864782074,0.5559208026825571,2024-07-20,0.0,-0.0305249607563207,2.26
3,thomas petersen,0.0305249607563207,0.17926070349583234,2.1,-1.0,0,0.5615527159503964,0.32783834864782074,0.5559208026825571,2024-07-20,0.0,-0.0305249607563207,2.1
6,muhammad mokaev,0.07134889418497005,0.10071003271466522,1.5,0.875,1,0.7338066884764435,0.618279476552329,0.15927401853561673,2024-07-27,1.0,0.07134889418497005,1.5
8,nathaniel wood,0.07134889418497005,0.053205643703016,1.25,0.875,1,0.8425645149624128,0.618279476552329,0.15927401853561673,2024-07-27,1.0,0.07134889418497005,1.25
7,rolando bedoya,0.04198354067228634,0.25050525270409973,2.05,-1.0,0,0.6100025622946829,0.43023246634239537,0.38596315943157355,2024-08-03,1.0,-0.04198354067228634,2.05
6,viktoriia dudakova,0.04198354067228634,0.10832254117650353,1.5714285714285714,-1.0,1,0.7052961625668659,0.43023246634239537,0.38596315943157355,2024-08-03,0.0,-0.04198354067228634,1.5714285714285714
0,yana santos,0.04887206292271944,0.09632969990605572,1.6896551724137931,-1.0,1,0.6488481897403187,0.43243181485617416,0.1873235606180299,2024-08-10,1.0,-0.04887206292271944,1.6896551724137931
1,karl williams,0.04887206292271944,0.08299862780308831,1.625,-1.0,0,0.6664606940326697,0.43243181485617416,0.1873235606180299,2024-08-10,1.0,-0.04887206292271944,1.625
0,valter walker,0.03501532375162806,0.3413981884292374,1.9433962264150944,2.8867924528301887,0,0.6902340192888309,0.43306164256512775,0.6832207239323833,2024-08-17,0.0,0.03501532375162806,1.9433962264150944
9,dricus du plessis,0.03501532375162806,0.2548255532560517,2.0,2.8867924528301887,1,0.6274127766280259,0.43306164256512775,0.6832207239323833,2024-08-17,1.0,0.03501532375162806,2.0
2,francis marshall,0.06332732668405473,0.07239329414156015,1.5714285714285714,-1.0,0,0.6824320962719019,0.529520229679101,0.09626296983451055,2024-08-24,0.0,-0.06332732668405473,1.5714285714285714
4,edmen shahbazyan,0.06332732668405473,0.02225832241151579,1.3174603174603174,-1.0,1,0.7759310158063313,0.529520229679101,0.09626296983451055,2024-08-24,0.0,-0.06332732668405473,1.3174603174603174
1,jaqueline amorim,0.04692005020690547,0.1830536588571372,1.3875968992248062,-1.0,1,0.8525917429752553,0.4666182977918448,0.32733011143191826,2024-09-07,1.0,-0.04692005020690547,1.3875968992248062
0,trevor peek,0.04692005020690547,0.12195258557769562,2.05,-1.0,1,0.5472939441842418,0.4666182977918448,0.32733011143191826,2024-09-07,0.0,-0.04692005020690547,2.05
3,merab dvalishvili,0.035668665130192956,0.26621339865316695,2.05,2.9136363636363627,0,0.61766507251374,0.3728819718870271,0.45932444452150123,2024-09-14,0.0,0.035668665130192956,2.05
8,norma dumont,0.035668665130192956,0.15251066374257338,1.9090909090909087,2.9136363636363627,0,0.6036960619603957,0.3728819718870271,0.45932444452150123,2024-09-14,0.0,0.035668665130192956,1.9090909090909087
8,fares ziam,0.05557089641115781,0.09374651015770297,1.8333333333333333,1.3805970149253728,1,0.5965890055405653,0.4650961787189648,0.10720657471156536,2024-09-28,1.0,0.05557089641115781,1.8333333333333333
6,taylor lapilus,0.05557089641115781,0.012306384001098875,1.2985074626865671,1.3805970149253728,1,0.7795922727364785,0.4650961787189648,0.10720657471156536,2024-09-28,1.0,0.05557089641115781,1.2985074626865671
10,carla esparza,0.030564381536723684,0.4047193819103555,2.55,-1.0,1,0.5508703458471983,0.345515554834484,0.6152852188512126,2024-10-05,0.0,-0.030564381536723684,2.55
8,mario bautista,0.030564381536723684,0.14989886211614512,1.8333333333333333,-1.0,0,0.627217561154261,0.345515554834484,0.6152852188512126,2024-10-05,0.0,-0.030564381536723684,1.8333333333333333
5,julia polastri,0.04455092097783059,0.1490894942729497,1.925925925925926,-1.0,1,0.5966426220263392,0.4316922022038975,0.30649703524142513,2024-10-12,1.0,-0.04455092097783059,1.925925925925926
1,jonathan pearce,0.04455092097783059,0.1369845793151822,1.5714285714285714,-1.0,1,0.7235356413823887,0.4316922022038975,0.30649703524142513,2024-10-12,0.0,-0.04455092097783059,1.5714285714285714
7,anthony hernandez,0.04703642627204198,0.17502172983502035,1.6896551724137931,1.8313140726933832,1,0.69542102377991,0.48558559685338804,0.3748453338682134,2024-10-19,1.0,0.04703642627204198,1.6896551724137931
2,darren elkins,0.04703642627204198,0.17005949673905119,1.6756756756756757,1.8313140726933832,1,0.698261312570079,0.48558559685338804,0.3748453338682134,2024-10-19,1.0,0.04703642627204198,1.6756756756756757
7,ismail naurdiev,0.05787918689658765,0.13292408700607206,1.6756756756756757,1.2850122850122854,1,0.6760998583745914,0.5479088353507877,0.2519784198433235,2024-10-26,1.0,0.05787918689658765,1.6756756756756757
2,lerone murphy,0.05787918689658765,0.10508588722115614,1.3636363636363638,1.2850122850122854,1,0.8103963172955144,0.5479088353507877,0.2519784198433235,2024-10-26,1.0,0.05787918689658765,1.3636363636363638
8,charles jourdain,0.04835645349561958,0.14733517676307423,1.7246376811594204,1.7698726394378568,1,0.6652615730811102,0.4412048390534164,0.22208121208164133,2024-11-02,1.0,0.04835645349561958,1.7246376811594204
1,brandon moreno,0.04835645349561958,0.06514751472141278,1.606060606060606,1.7698726394378568,1,0.663205056335974,0.4412048390534164,0.22208121208164133,2024-11-02,1.0,0.04835645349561958,1.606060606060606
1,denise gomes,0.0,0.005170883938162313,1.1821493624772312,0.6550091074681237,0,0.8502909326379833,0.6012497059103645,-0.004926260855815712,2024-11-09,0.0,0.0,1.1821493624772312
4,damon blackshear,0.0,-0.010045202219167437,1.4,0.6550091074681237,0,0.7071105698434519,0.6012497059103645,-0.004926260855815712,2024-11-09,0.0,0.0,1.4
3,jonathan martinez,0.0351924510753894,0.14049934249674978,2.1,-1.0,1,0.5430949249984522,0.3010695847989493,0.26449225615558714,2024-11-16,0.0,-0.0351924510753894,2.1
7,marcin tybura,0.0351924510753894,0.10871809306561753,2.0,-1.0,1,0.5543590465328088,0.3010695847989493,0.26449225615558714,2024-11-16,1.0,-0.0351924510753894,2.0
2,carlos ulberg,0.0,-0.011222478042833772,1.3773584905660377,0.887491264849755,0,0.7178795707360248,0.5071734067570268,-0.042714624982020166,2024-11-23,0.0,0.0,1.3773584905660377
1,petr yan,0.0,-0.03184957813042849,1.3703703703703702,0.887491264849755,1,0.7064881456886063,0.5071734067570268,-0.042714624982020166,2024-11-23,1.0,0.0,1.3703703703703702
12,chris weidman,0.04826141133954061,0.18077701789413192,1.9090909090909087,-1.0,1,0.6185022474683549,0.47817431230872004,0.31860189151798535,2024-12-07,0.0,-0.04826141133954061,1.9090909090909087
9,movsar evloev,0.04826141133954061,0.1167238788824485,1.4444444444444444,-1.0,1,0.7731165315340028,0.47817431230872004,0.31860189151798535,2024-12-07,1.0,-0.04826141133954061,1.4444444444444444
1,vitor petrino,0.0694927588370246,0.14763152553849795,1.3278688524590163,-1.0,1,0.8642657167635602,0.607160385858691,0.16455352697486636,2024-12-14,0.0,-0.0694927588370246,1.3278688524590163
0,daniel marcos,0.0694927588370246,0.014745152132717931,1.4444444444444444,-1.0,0,0.7025158745534201,0.607160385858691,0.16455352697486636,2024-12-14,0.0,-0.0694927588370246,1.4444444444444444
8,jose johnson,0.0451132234150073,0.040453272858046785,1.6756756756756757,-1.0,1,0.6209156628346408,0.4566744134794629,0.059560593436758014,2025-01-11,0.0,-0.0451132234150073,1.6756756756756757
7,cesar almeida,0.0451132234150073,0.018364419697796563,1.3846153846153846,-1.0,1,0.7354854142261864,0.4566744134794629,0.059560593436758014,2025-01-11,1.0,-0.0451132234150073,1.3846153846153846
1,grant dawson,0.07525517499666863,0.16080943359674266,1.4081632653061225,0.8310351167494023,1,0.8243429311049332,0.6684832201597449,0.22401625107021506,2025-01-18,1.0,0.07525517499666863,1.4081632653061225
3,tagir ulanbekov,0.07525517499666863,0.05445064077195458,1.3003003003003002,0.8310351167494023,1,0.8109285528338589,0.6684832201597449,0.22401625107021506,2025-01-18,1.0,0.07525517499666863,1.3003003003003002
2,nassourdine imavov,0.03156737332737231,0.32761253614922414,2.5,3.583333333333333,0,0.5310450144596897,0.3281508804984979,0.5040248689514486,2025-02-01,0.0,0.03156737332737231,2.5
5,hamdy abdelwahab,0.03156737332737231,0.13287938159571255,1.8333333333333333,3.583333333333333,1,0.617934208143116,0.3281508804984979,0.5040248689514486,2025-02-01,1.0,0.03156737332737231,1.8333333333333333
2,tom nolan,0.029828816324892416,0.19378101670743497,2.25,4.175,1,0.53056934075886,0.2677834312518053,0.38577925672809243,2025-02-08,1.0,0.029828816324892416,2.25
3,zhang weili,0.029828816324892416,0.16083204317506028,2.3,4.175,1,0.5047095839891567,0.2677834312518053,0.38577925672809243,2025-02-08,1.0,0.029828816324892416,2.3
4,youssef zalal,0.07461858729209625,0.05604225022676784,1.2272727272727273,0.7851239669421488,0,0.8604788705551442,0.6165651802280795,0.10064528040715026,2025-02-15,0.0,0.07461858729209625,1.2272727272727273
0,gabriel bonfim,0.07461858729209625,0.04223602812368976,1.4545454545454546,0.7851239669421488,1,0.7165372693350367,0.6165651802280795,0.10064528040715026,2025-02-15,1.0,0.07461858729209625,1.4545454545454546
2,anthony hernandez,0.05728684237725764,0.07096070623232337,1.3003003003003002,1.3005313005313002,0,0.8236256701509554,0.48252712887143523,0.1100687633242372,2025-02-22,0.0,0.05728684237725764,1.3003003003003002
6,melquizael costa,0.05728684237725764,0.03651679922926149,1.7692307692307692,1.3005313005313002,0,0.5858573213034957,0.48252712887143523,0.1100687633242372,2025-02-22,0.0,0.05728684237725764,1.7692307692307692
1,danny silva,0.050977811713040874,0.12470491981644038,1.4,1.6068965517241374,1,0.8033606570117432,0.4669579327537754,0.2173110246960488,2025-03-01,1.0,0.050977811713040874,1.4
3,cody brundage,0.050977811713040874,0.08233813442793714,1.862068965517241,1.6068965517241374,1,0.5812556647853737,0.4669579327537754,0.2173110246960488,2025-03-01,1.0,0.050977811713040874,1.862068965517241
3,iasmin lucindo,0.04180715476377451,0.1767209298728839,1.7692307692307692,-1.0,0,0.6651031342759779,0.37865283690282947,0.2524670759093588,2025-03-08,1.0,-0.04180715476377451,1.7692307692307692
6,alex pereira,0.04180715476377451,0.06437052670139676,1.869565217391304,-1.0,1,0.5693144677705146,0.37865283690282947,0.2524670759093588,2025-03-08,0.0,-0.04180715476377451,1.869565217391304
0,chidi njokuani,0.031473014404025626,0.4003839492617626,2.75,-1.0,1,0.5092305270042773,0.348915720673252,0.5785622524007608,2025-03-15,1.0,-0.031473014404025626,2.75
7,josiane nunes,0.031473014404025626,0.12723532230780576,1.6451612903225803,-1.0,1,0.6851822547361174,0.348915720673252,0.5785622524007608,2025-03-15,0.0,-0.031473014404025626,1.6451612903225803
0,shauna bannon,0.04549411000461798,0.13216202090180623,1.5714285714285714,-1.0,1,0.7204667405738767,0.39673177667055043,0.190195330011651,2025-03-22,1.0,-0.04549411000461798,1.5714285714285714
1,jai herbert,0.04549411000461798,0.05125883755014082,1.9090909090909087,-1.0,1,0.5506593910976929,0.39673177667055043,0.190195330011651,2025-03-22,0.0,-0.04549411000461798,1.9090909090909087
2,manuel torres,0.05479351634413997,0.17734755532251223,1.819672131147541,1.4162859446385379,1,0.64701081869075,0.5360601309699334,0.29527455994374385,2025-03-29,1.0,0.05479351634413997,1.819672131147541
5,rafa garcia,0.05479351634413997,0.10016329000566682,1.3278688524590163,1.4162859446385379,1,0.8285180332141442,0.5360601309699334,0.29527455994374385,2025-03-29,1.0,0.05479351634413997,1.3278688524590163
0,lerone murphy,0.059738398080056536,0.08126705948889346,1.359712230215827,1.1990407673860908,0,0.7952175728516202,0.5014382530380134,0.10268316075745365,2025-04-05,0.0,0.059738398080056536,1.359712230215827
2,brad tavares,0.059738398080056536,0.019806486363030007,1.617283950617284,1.1990407673860908,1,0.6305673694305758,0.5014382530380134,0.10268316075745365,2025-04-05,1.0,0.059738398080056536,1.617283950617284
3,nikita krylov,0.05176336981273102,0.14699348278566338,1.6756756756756757,-1.0,1,0.6844961106946701,0.4627662360348067,0.1879174684642766,2025-04-12,0.0,-0.05176336981273102,1.6756756756756757
2,sean woodson,0.05176336981273102,0.035679353276901526,1.5319148936170213,-1.0,0,0.6760684667224218,0.4627662360348067,0.1879174684642766,2025-04-12,1.0,-0.05176336981273102,1.5319148936170213
7,matt schnell,0.04115263194587707,0.06149275327206927,1.6451612903225803,-1.0,1,0.6452210853222383,0.36494806913372535,0.0807171853701929,2025-04-26,1.0,-0.04115263194587707,1.6451612903225803
2,michel pereira,0.04115263194587707,0.0181107520883812,1.8,-1.0,1,0.5656170844935451,0.36494806913372535,0.0807171853701929,2025-04-26,0.0,-0.04115263194587707,1.8
9,yana santos,0.04051253217467229,0.2305991535964016,2.35,2.3944444444444444,1,0.5236592142963411,0.3919005704511148,0.33028471414239524,2025-05-03,1.0,0.04051253217467229,2.35
8,montel jackson,0.04051253217467229,0.08100571193687611,1.4444444444444444,2.3944444444444444,1,0.7483885698024527,0.3919005704511148,0.33028471414239524,2025-05-03,1.0,0.04051253217467229,1.4444444444444444
