,choice_decimal_odds,f_star_unscaled,choice_proba,choice_fair_odds,choice_ev,choice_real_odds,choice_idx,pred_winner,parlay_net,parlay_net_odds,parlay_ev,bankroll_pct_change,bankroll_postevent,vegas_acc_choice,event_payout_money_line,fight_payout,net_odds,choice_fstar,event_ml_net_odds,kelly_edge,choice_bet_sharpe,choice_bet_sigma,choice_edge,avg_choice_edge,date,fighter_red,fighter_blue,winner,red_proba,blue_proba,open_red,open_blue,real_odds_blue,real_odds_red,sigma_portfolio_scaled,portfolio_fscaled,portfolio_sigma,mu_portfolio,sharpe_portfolio,k,fstar_net,juice_open_red,juice_open_blue,juice_close1_red,juice_close1_blue,juice_close2_red,juice_close2_blue,close1_red,close1_blue,close2_red,close2_blue
0,1.5,0.0,0.6304040551479899,1.5170062735414969,-0.054393917278015125,1.5,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,0.0,0.0,0.0,-2.4444444444444446,0.0,0.0,0.0,-0.028788999911347313,0.06824445656039786,2024-05-04,joaquim silva,drakkar klose,0.0,0.3695959448520101,0.6304040551479899,120.0,-142.0,1.5,2.85,0.06101700539823459,0.0,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.0,0.0219819935623222,0.0193403204872646,0.0528372761484838,0.037833208222788,0.0100702480417933,0.0074736116073294,154.0,-230.0,185.0,-200.0
1,1.4081632653061225,0.0,0.6607043531191618,1.4226090516003085,-0.06962040070975178,1.4081632653061225,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,0.0,0.0,0.0,-2.4444444444444446,0.0,0.0,0.0,-0.04222945633122033,0.06824445656039786,2024-05-04,elves brener,myktybek orolbai,0.0,0.3392956468808382,0.6607043531191618,142.0,-170.0,1.4081632653061225,3.25,0.06101700539823459,0.0,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.0,0.0236909605473527,0.0191618095781445,0.0384617633833727,0.0248568245253791,0.0106261171426896,0.0072111180858498,205.0,-278.0,225.0,-245.0
2,1.1821493624772312,0.06323999517189546,0.8451926350805428,1.1979753721881965,-0.0008560652690852155,1.1821493624772312,1,1,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,0.0,0.0,0.0,-2.4444444444444446,0.06323999517189546,-0.0019492554587194127,0.027773457420169418,0.010450934027522618,0.06824445656039786,2024-05-04,ismael bonfim,vinc pichel,1.0,0.8451926350805428,0.1548073649194572,-500.0,380.0,5.3,1.1821493624772312,0.06101700539823459,0.06323999517189546,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.0,0.0137953429848293,0.0278713236818374,0.0177969857358167,0.0393458714070402,0.0111750940163172,0.0234209463360391,-600.0,400.0,-549.0,430.0
3,2.2,0.14952679366951976,0.5316137047023055,2.225863231042488,0.16955015034507226,2.2,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,-56.241385863550754,-1.0,0.11248277172710151,-2.4444444444444446,0.14952679366951976,0.1553729079136625,0.16317059832188643,0.08234980292535415,0.06824445656039786,2024-05-04,alessandro costa,kevin borjas,1.0,0.4683862952976944,0.5316137047023055,-130.0,110.0,2.2,1.8,0.06101700539823459,0.14952679366951976,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,-0.11248277172710151,0.0198146558599141,0.0215932116349099,0.0346130033343434,0.0382541153783375,0.0048194573325072,0.0052815527685029,-141.0,105.0,-125.0,120.0
4,1.2061855670103092,0.0,0.8149796168225794,1.207654777722959,-0.016983348781012597,1.2061855670103092,1,1,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,0.0,0.0,0.0,-2.4444444444444446,0.0,0.0,0.0,-0.01307159321403939,0.06824445656039786,2024-05-04,michel pereira,ihor potieria,1.0,0.8149796168225794,0.1850203831774206,-420.0,310.0,5.75,1.2061855670103092,0.06101700539823459,0.0,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.0,0.0179466280570474,0.0336481186596504,0.0266677709145538,0.062221117974335,0.0010086190232103,0.0019642535148795,-650.0,350.0,-485.0,475.0
5,1.2564102564102564,0.24641879659654425,0.8473136643105296,1.2540982522788766,0.06457357823630636,1.2564102564102564,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,-123.20187819339553,-1.0,0.24640375638679105,-2.4444444444444446,0.24641879659654425,0.12853223907494096,0.123798850431959,0.04992797448690023,0.06824445656039786,2024-05-04,anthony smith,vitor petrino,1.0,0.1526863356894704,0.8473136643105296,260.0,-325.0,1.2564102564102564,5.0,0.06101700539823459,0.24641879659654425,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,-0.24640375638679105,0.0265578298540526,0.0159258302766661,0.0614630875901021,0.0285931975881342,-0.0026143101763705,-0.0014673224766905,310.0,-550.0,400.0,-390.0
6,1.6666666666666663,0.23640195970778882,0.694560783883048,1.6666666666669123,0.15760130647174636,1.6666666666666663,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,-78.18983274270676,-1.0,0.15637966548541352,-2.4444444444444446,0.23640195970778882,0.1944166472650104,0.19163614961245107,0.09456078388313638,0.06824445656039786,2024-05-04,jose aldo,jonathan martinez,1.0,0.305439216116952,0.694560783883048,-107.0,-117.0,1.6666666666666663,2.5,0.06101700539823459,0.23640195970778882,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,-0.15637966548541352,0.0283489021487466,0.0277298173240821,0.0536841397518541,0.0437184576507431,-8.8484775062625e-14,8.8484775062625e-14,120.0,-180.0,150.0,-150.0
7,1.5555555555555556,0.126065723682515,0.6801455308968233,1.5772714777520536,0.058004159172836245,1.5555555555555556,1,1,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,35.01611923371452,0.5555555555555556,0.12605802924137227,-2.4444444444444446,0.126065723682515,0.07744199276123484,0.09442340056078374,0.046139264946200687,0.06824445656039786,2024-05-04,alexandre pantoja,steve erceg,1.0,0.6801455308968233,0.3198544691031767,-250.0,205.0,2.65,1.5555555555555556,0.06101700539823459,0.126065723682515,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.12605802924137227,0.0169990228350114,0.0251555439097192,0.0287452808578468,0.0379213858088197,0.0088508769065202,0.0113647565166603,-200.0,150.0,-180.0,165.0
8,1.5,0.0,0.5801397559826103,1.5170062735414969,-0.12979036602608462,1.5,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,0.0,0.0,0.0,-2.4444444444444446,0.0,0.0,0.0,-0.07905329907672698,0.06824445656039786,2024-05-04,jack shore,joanderson brito,0.0,0.4198602440173897,0.5801397559826103,-120.0,100.0,1.5,2.85,0.06101700539823459,0.0,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.0,0.0222254993026449,0.0232290461519004,0.042226716265892,0.0303091129239294,0.0100702480417933,0.0074736116073294,163.0,-225.0,185.0,-200.0
9,1.196078431372549,0.0,0.7723243743500188,1.2008606341045578,-0.07623947381664423,1.196078431372549,0,0,-39.12061013430152,-1.0,0.3538727820236831,-0.52347517540048,238.26241229976,0.75,-222.6169775659385,0.0,0.0,0.0,-2.4444444444444446,0.0,0.0,0.0,-0.06041172474416712,0.06824445656039786,2024-05-04,paul craig,caio borralho,0.0,0.2276756256499812,0.7723243743500188,154.0,-185.0,1.196078431372549,5.75,0.06101700539823459,0.0,0.06101700539823459,0.017437997968543145,0.28578914770942987,1.0,0.0,0.0240948213032229,0.0187287731158957,0.0493917099965039,0.021356589323224,0.0066491425724469,0.0033294746763058,390.0,-650.0,475.0,-510.0
10,2.1,0.1679092037178632,0.5594129882056971,2.125371016197659,0.1747672752319639,2.1,1,1,49.17800452052133,2.6000000000000005,0.3441935663696687,0.6642606762677526,396.5307634231847,0.8333333333333334,109.09034660290338,30.867282719494945,1.1,0.11777420465855004,3.9516286580802706,0.1679092037178632,0.1673033690804791,0.17540013797345375,0.0889069013253817,0.054217938434089896,2024-05-11,chase hooper,viacheslav borshchev,1.0,0.5594129882056971,0.4405870117943029,164.0,-198.0,1.869565217391304,2.1,0.05782870292235474,0.1679092037178632,0.05782870292235474,0.017120245661717493,0.29605100575581733,1.0,0.11777420465855004,0.0246517396386398,0.0185656693505812,0.0454887562750946,0.0435381588387769,0.0056843893101607,0.0053898078105479,-110.0,-130.0,110.0,-115.0
11,1.9803921568627447,0.0,0.5058771944797777,1.9663915216762404,0.001835228283481205,1.9803921568627447,0,0,49.17800452052133,2.6000000000000005,0.3441935663696687,0.6642606762677526,396.5307634231847,0.8333333333333334,109.09034660290338,0.0,0.0,0.0,3.9516286580802706,0.0,0.0,0.0,-0.002668529490571281,0.054217938434089896,2024-05-11,charles johnson,jake hadley,1.0,0.4941228055202223,0.5058771944797777,130.0,-155.0,1.9803921568627447,2.05,0.05782870292235474,0.0,0.05782870292235474,0.017120245661717493,0.29605100575581733,1.0,-0.0,0.023106086729758,0.0195196592207963,0.0527247549940719,0.0523803501110331,-0.0036493979808703,-0.003595228920844,-122.0,-125.0,105.0,-102.0
12,1.7142857142857144,0.21774911130948932,0.6674623393478617,1.739443805339353,0.14422115316776302,1.7142857142857144,1,1,49.17800452052133,2.6000000000000005,0.3441935663696687,0.6642606762677526,396.5307634231847,0.8333333333333334,109.09034660290338,25.1110674008943,0.7142857142857144,0.14754947715807804,3.9516286580802706,0.21774911130948932,0.17085489829494574,0.183805253742843,0.09256592882259773,0.054217938434089896,2024-05-11,tabatha ricci,tecia pennington,1.0,0.6674623393478617,0.3325376606521383,-156.0,122.0,2.3,1.7142857142857144,0.05782870292235474,0.21774911130948932,0.05782870292235474,0.017120245661717493,0.29605100575581733,1.0,0.14754947715807804,0.0275226920411544,0.0323027584092962,0.0320795539605048,0.037850515969565,0.0084369228080692,0.0096790192209161,-160.0,120.0,-140.0,130.0
13,1.2469135802469136,0.0,0.7324522397066409,1.2576559830020484,-0.08669535542752191,1.2469135802469136,0,0,49.17800452052133,2.6000000000000005,0.3441935663696687,0.6642606762677526,396.5307634231847,0.8333333333333334,109.09034660290338,0.0,0.0,0.0,3.9516286580802706,0.0,0.0,0.0,-0.06267775889041682,0.054217938434089896,2024-05-11,diego ferreira,mateusz rebecki,1.0,0.2675477602933591,0.7324522397066409,200.0,-245.0,1.2469135802469136,4.6,0.05782870292235474,0.0,0.05782870292235474,0.017120245661717493,0.29605100575581733,1.0,-0.0,0.0258446282047153,0.0176336326648498,0.0437938372896047,0.0218876077021852,0.0125213029448839,0.0068501994227442,320.0,-480.0,360.0,-405.0
