,choice_decimal_odds,f_star_unscaled,choice_proba,choice_fair_odds,choice_ev,choice_real_odds,choice_idx,pred_winner,parlay_net,parlay_net_odds,parlay_ev,uncertainty_multiplier,event_multiplier,event_total_fstar,bankroll_pct_change,bankroll_postevent,vegas_acc_choice,event_payout_money_line,fight_payout,net_odds,choice_fstar,event_ml_net_odds,kelly_edge,choice_bet_sharpe,choice_bet_sigma,choice_edge,avg_choice_edge,date,fighter_red,fighter_blue,winner,red_proba,blue_proba,open_red,open_blue,real_odds_blue,real_odds_red,sigma_portfolio_scaled,portfolio_fscaled,portfolio_sigma,mu_portfolio,sharpe_portfolio,k,fstar_net
0,1.806451612903225,0.14861825444890248,0.6166179,1.81919314179938,0.11389039999999967,1.806451612903225,1,1,89.00979298180866,1.666666666666666,0.18485694615463966,1.0,1.0,0.41215529065837625,0.38817741203847844,694.0887060192392,1.0,105.07891303743054,55.52292122463935,0.8064516129032251,0.1376968446371057,2.1373429437945566,0.14861825444890248,0.12701007644647994,0.13326653223155618,0.06692365532464295,0.04266388597533891,2024-05-11,joaquin buckley,nursulton ruziboev,1.0,0.6166179,0.38338208,-148.0,124.0,2.2,1.806451612903225,0.02202623738395146,0.14861825444890248,0.02202623738395146,0.0034363097129730793,0.15600983740767313,1.0,0.1376968446371057
1,1.617283950617284,0.0,0.50392604,1.6490988769273702,-0.18500850320987655,1.617283950617284,1,1,89.00979298180866,1.666666666666666,0.18485694615463966,1.0,1.0,0.41215529065837625,0.38817741203847844,694.0887060192392,1.0,105.07891303743054,0.0,0.0,0.0,2.1373429437945566,0.0,0.0,0.0,-0.1024657379528281,0.04266388597533891,2024-05-11,derrick lewis,rodrigo nascimento,1.0,0.50392604,0.49607396,-162.0,136.0,2.45,1.617283950617284,0.02202623738395146,0.0,0.02202623738395146,0.0034363097129730793,0.15600983740767313,1.0,0.0
2,1.8547008547008548,0.050940218036241144,0.5501524,1.901115029345693,0.020368126495726502,1.8547008547008548,0,0,89.00979298180866,1.666666666666666,0.18485694615463966,1.0,1.0,0.41215529065837625,0.38817741203847844,694.0887060192392,1.0,105.07891303743054,21.767995253023035,0.8547008547008548,0.050937108892073896,2.1373429437945566,0.050940218036241144,0.0219769295371747,0.047211181294774904,0.024145301763461413,0.04266388597533891,2024-05-11,jj aldrich,veronica hardy,0.0,0.44984755,0.5501524,124.0,-148.0,1.8547008547008548,2.05,0.02202623738395146,0.050940218036241144,0.02202623738395146,0.0034363097129730793,0.15600983740767313,1.0,0.050937108892073896
3,1.4761904761904765,0.11671670937361983,0.7205781,1.4627252285663737,0.06371052857142878,1.4761904761904765,0,0,89.00979298180866,1.666666666666666,0.18485694615463966,1.0,1.0,0.41215529065837625,0.38817741203847844,694.0887060192392,1.0,105.07891303743054,27.787996559768168,0.4761904761904765,0.11670958555102623,2.1373429437945566,0.11671670937361983,0.09299679659893106,0.07996063863770365,0.03692270083791238,0.04266388597533891,2024-05-11,alex caceres,sean woodson,0.0,0.27942193,0.7205781,150.0,-180.0,1.4761904761904765,3.25,0.02202623738395146,0.11671670937361983,0.02202623738395146,0.0034363097129730793,0.15600983740767313,1.0,0.11670958555102623
4,1.7692307692307692,0.0,0.52804637,1.7896858446956894,-0.06576411461538467,1.7692307692307692,0,0,-74.1758358661518,-1.0,0.17681142789354465,1.0,1.0,0.4553346973985224,-0.21097275669132198,547.6548983220478,1.0,-72.25797183103961,0.0,0.0,0.0,-1.180327868852459,0.0,0.0,0.0,-0.030710912996802064,0.04032496768851538,2024-05-18,luana pinheiro,angela hill,0.0,0.47195366,0.52804637,120.0,-142.0,1.7692307692307692,2.23,0.020910870909307818,0.0,0.020910870909307818,0.003168021832920754,0.15150119029765557,1.0,0.0
5,1.25,0.0,0.7404353,1.254650488262207,-0.07445587499999998,1.25,1,1,-74.1758358661518,-1.0,0.17681142789354465,1.0,1.0,0.4553346973985224,-0.21097275669132198,547.6548983220478,1.0,-72.25797183103961,0.0,0.0,0.0,-1.180327868852459,0.0,0.0,0.0,-0.05659941951386349,0.04032496768851538,2024-05-18,adrian yanez,vinicius salvador,1.0,0.7404353,0.2595647,-250.0,205.0,4.8,1.25,0.020910870909307818,0.0,0.020910870909307818,0.003168021832920754,0.15150119029765557,1.0,0.0
6,1.6451612903225803,0.0,0.572013,1.6650654165498298,-0.05894635483870991,1.6451612903225803,0,0,-74.1758358661518,-1.0,0.17681142789354465,1.0,1.0,0.4553346973985224,-0.21097275669132198,547.6548983220478,1.0,-72.25797183103961,0.0,0.0,0.0,-1.180327868852459,0.0,0.0,0.0,-0.028564004399078136,0.04032496768851538,2024-05-18,edson barboza,lerone murphy,0.0,0.42798698,0.572013,120.0,-142.0,1.6451612903225803,2.45,0.020910870909307818,0.0,0.020910870909307818,0.003168021832920754,0.15150119029765557,1.0,0.0
7,1.819672131147541,0.0,0.5273139,1.843319598147129,-0.040461591803278685,1.819672131147541,1,1,-74.1758358661518,-1.0,0.17681142789354465,1.0,1.0,0.4553346973985224,-0.21097275669132198,547.6548983220478,1.0,-72.25797183103961,0.0,0.0,0.0,-1.180327868852459,0.0,0.0,0.0,-0.01518562151823355,0.04032496768851538,2024-05-18,khaos williams,carlston harris,1.0,0.5273139,0.4726861,105.0,-125.0,2.15,1.819672131147541,0.020910870909307818,0.0,0.020910870909307818,0.003168021832920754,0.15150119029765557,1.0,0.0
8,1.2666666666666666,0.07718112876199963,0.7965492,1.2828187796128765,0.008962319999999913,1.2666666666666666,0,0,-74.1758358661518,-1.0,0.17681142789354465,1.0,1.0,0.4553346973985224,-0.21097275669132198,547.6548983220478,1.0,-72.25797183103961,-53.567280104643686,-1.0,0.07717641799974609,-1.180327868852459,0.07718112876199963,0.01706426838794228,0.04053628073589214,0.017015866147672254,0.04032496768851538,2024-05-18,vanessa demopoulos,emily ducote,1.0,0.20345083,0.7965492,240.0,-298.0,1.2666666666666666,4.2,0.020910870909307818,0.07718112876199963,0.020910870909307818,0.003168021832920754,0.15150119029765557,1.0,-0.07717641799974609
9,1.819672131147541,0.13429719129275028,0.6125238,1.8102355513998527,0.11459248852459014,1.819672131147541,1,1,-74.1758358661518,-1.0,0.17681142789354465,1.0,1.0,0.4553346973985224,-0.21097275669132198,547.6548983220478,1.0,-72.25797183103961,76.40038884045535,0.819672131147541,0.1342889944426958,-1.180327868852459,0.13429719129275028,0.12704531961529594,0.12113354036732514,0.06010950274089388,0.04032496768851538,2024-05-18,themba gorimbo,ramiz brahimaj,1.0,0.6125238,0.3874762,-250.0,205.0,2.25,1.819672131147541,0.020910870909307818,0.13429719129275028,0.020910870909307818,0.003168021832920754,0.15150119029765557,1.0,0.1342889944426958
