,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
0,joaquin buckley,0.08920190831991077,0.1302281792303862,1.806451612903225,1.666666666666666,1,0.6256620277882498,0.4515662403881854,0.20417664103516064,2024-05-11,1.0,top_ev,0.08920190831991077,1.806451612903225
3,sean woodson,0.08920190831991077,0.06542790488123279,1.4761904761904765,1.666666666666666,0,0.7217414839518027,0.4515662403881854,0.20417664103516064,2024-05-11,0.0,top_ev,0.08920190831991077,1.4761904761904765
5,themba gorimbo,0.06352040874413879,0.23167856610597903,1.819672131147541,-1.0,1,0.6768684011933759,0.3596948670008503,0.4595945971921389,2024-05-18,1.0,top_ev,-0.06352040874413879,1.819672131147541
0,luana pinheiro,0.06352040874413879,0.18504505749964395,2.23,-1.0,1,0.531410339685939,0.3596948670008503,0.4595945971921389,2024-05-18,0.0,top_ev,-0.06352040874413879,2.23
6,randy brown,0.12370811380961878,0.1707575170255437,1.5681818181818183,1.0391072891072892,1,0.7465700108568684,0.6254842326779884,0.2754294580753658,2024-06-01,1.0,top_ev,0.12370811380961878,1.5681818181818183
5,jailton almeida,0.12370811380961878,0.08940531196908663,1.3003003003003002,1.0391072891072892,1,0.8378105516990898,0.6254842326779884,0.2754294580753658,2024-06-01,1.0,top_ev,0.12370811380961878,1.3003003003003002
12,zachary reese,0.06168162049699367,0.2318539815213575,2.35,3.3083333333333336,0,0.5241931836261096,0.32125498530838087,0.38407356170360774,2024-06-08,0.0,top_ev,0.06168162049699367,2.35
10,nassourdine imavov,0.06168162049699367,0.12356949968555264,1.8333333333333333,3.3083333333333336,0,0.6128560907375742,0.32125498530838087,0.38407356170360774,2024-06-08,0.0,top_ev,0.06168162049699367,1.8333333333333333
4,tatsuro taira,0.10922408799424942,0.08664324956999697,1.4444444444444444,1.1666666666666665,0,0.7522914804715364,0.5428117070077443,0.17609203185011246,2024-06-15,0.0,top_ev,0.10922408799424942,1.4444444444444444
0,melquizael costa,0.10922408799424942,0.08231660419876713,1.5,1.1666666666666665,1,0.7215444027991781,0.5428117070077443,0.17609203185011246,2024-06-15,1.0,top_ev,0.10922408799424942,1.5
