,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
3,sean woodson,0.061023485971351876,0.09962270407160928,1.5555555555555556,1.6066066066066065,0,0.7069003097603203,0.451748598472347,0.17753088130329475,2024-05-11,0.0,0.061023485971351876,1.5555555555555556,top_ev
0,joaquin buckley,0.061023485971351876,0.07084991692442544,1.6756756756756757,1.6066066066066065,1,0.6390555955839313,0.451748598472347,0.17753088130329475,2024-05-11,1.0,0.061023485971351876,1.6756756756756757,top_ev
0,luana pinheiro,0.027713045508477318,0.3326166241526869,2.2,-1,1,0.6057348291603122,0.377600061225756,0.5229869136105492,2024-05-18,0.0,-0.027713045508477318,2.2,top_ev
7,piera rodriguez,0.027713045508477318,0.14285450594532756,1.8333333333333333,-1,1,0.6233751850610878,0.377600061225756,0.5229869136105492,2024-05-18,0.0,-0.027713045508477318,1.8333333333333333,top_ev
6,randy brown,0.04648589278693408,0.18776823780208163,1.6134969325153374,1.179636207082122,1,0.7361453336948263,0.60149470143931,0.3110396296251712,2024-06-01,1.0,0.04648589278693408,1.6134969325153374,top_ev
5,jailton almeida,0.04648589278693408,0.10378404464763136,1.350877192982456,1.179636207082122,1,0.8170868901937013,0.60149470143931,0.3110396296251712,2024-06-01,1.0,0.04648589278693408,1.350877192982456,top_ev
10,nassourdine imavov,0.05013715764221436,0.16377167376927515,1.8,1.52,0,0.6465398187607084,0.5147671659432079,0.29721325817688404,2024-06-08,0.0,0.05013715764221436,1.8,top_ev
8,raul rosas jr,0.05013715764221436,0.11466302833734748,1.4,1.52,1,0.7961878773838197,0.5147671659432079,0.29721325817688404,2024-06-08,1.0,0.05013715764221436,1.4,top_ev
4,tatsuro taira,0.06445884519061157,0.14285847149991043,1.5882352941176472,1.4467408585055646,0,0.7195775561295732,0.5100804710470106,0.24803472963648554,2024-06-15,0.0,0.06445884519061157,1.5882352941176472,top_ev
0,melquizael costa,0.06445884519061157,0.09202911887990783,1.5405405405405406,1.4467408585055646,1,0.7088610069922209,0.5100804710470106,0.24803472963648554,2024-06-15,1.0,0.06445884519061157,1.5405405405405406,top_ev
1,rinat fakhretdinov,0.057432460146191716,0.04899371054449064,1.4,1.6173913043478256,1,0.7492812218174933,0.4175517927948058,0.09289643157596972,2024-06-22,1.0,0.057432460146191716,1.4,top_ev
6,muin gafurov,0.057432460146191716,0.04185222522324844,1.869565217391304,1.6173913043478256,0,0.5572697948868539,0.4175517927948058,0.09289643157596972,2024-06-22,0.0,0.057432460146191716,1.869565217391304,top_ev
0,ian machado garry,0.05083990838435155,0.37610913830422155,1.9523809523809523,2.157554379776602,1,0.7048363879119184,0.4599221455199357,0.4522291849427247,2024-06-29,1.0,0.05083990838435155,1.9523809523809523,top_ev
2,joe pyfer,0.05083990838435155,0.05531541395932149,1.617283950617284,2.157554379776602,1,0.652523271226756,0.4599221455199357,0.4522291849427247,2024-06-29,1.0,0.05083990838435155,1.617283950617284,top_ev
8,montel jackson,0.06030632616202745,0.10906894193062633,1.6666666666666663,-1,1,0.6654413651583759,0.43999740858321235,0.16469902272026782,2024-07-13,1.0,-0.06030632616202745,1.6666666666666663,top_ev
