,f_star_unscaled,choice_ev,choice_fair_odds,choice_real_odds,choice_idx,choice_decimal_odds,choice_proba,choice_risk_proba,pred_winner,choice_american_odds,moneyline_allowed,parlay_net,parlay_net_odds,parlay_ev,regular_parlay_net,heavy_parlay_net,uncertainty_multiplier,event_multiplier,event_total_fstar,bankroll_pct_change,bankroll_postevent,vegas_acc_choice,event_payout_money_line,event_ml_net_odds,avg_choice_edge,fight_payout,net_odds,choice_fstar,kelly_edge,choice_edge,date,fighter_red,fighter_blue,winner,red_proba,blue_proba,open_red,open_blue,real_odds_blue,real_odds_red,fstar_net
0,0.14808955695672413,0.04417963762156918,1.833599811174572,1.704225352112676,1,1.704225352112676,0.6127004485217472,0.6127004485217472,1,-142,True,5.242435639704278,1.2761130541639094,0.01384977947592514,5.242435639704278,0.0,0.7570886801810685,0.7570886801810685,0.12032633994819125,0.08943563476588319,544.7178173829416,1.0,39.47538174323732,0.704225352112676,0.06732517420852757,39.47538174323732,0.704225352112676,0.11211008415079399,0.14808955695672413,0.06732517420852757,2024-05-11,joaquin buckley,nursulton ruziboev,1.0,0.6127004485217472,0.3872995514782528,-148.0,124.0,2.0,1.704225352112676,0.11211008415079399
1,0.0,-0.10114824633453678,1.6427734316099438,1.5714285714285714,1,1.5714285714285714,0.5719965705143857,0.5719965705143857,1,-175,True,5.242435639704278,1.2761130541639094,0.01384977947592514,5.242435639704278,0.0,0.7570886801810685,0.7570886801810685,0.12032633994819125,0.08943563476588319,544.7178173829416,1.0,39.47538174323732,0.704225352112676,0.06732517420852757,0.0,0.0,0.0,0.0,-0.036730099127443294,2024-05-11,derrick lewis,rodrigo nascimento,1.0,0.5719965705143857,0.4280034294856143,-162.0,136.0,2.35,1.5714285714285714,0.0
2,0.030794447531521572,-0.03732208436131457,1.922925338329723,1.8,0,1.8,0.5348210642437141,0.5348210642437141,0,-125,True,5.242435639704278,1.2761130541639094,0.01384977947592514,5.242435639704278,0.0,0.7570886801810685,0.7570886801810685,0.12032633994819125,0.08943563476588319,544.7178173829416,1.0,39.47538174323732,0.704225352112676,0.06732517420852757,0.0,0.0,0.0,0.030794447531521572,0.014780072496934915,2024-05-11,jj aldrich,veronica hardy,0.0,0.4651789357562859,0.5348210642437141,124.0,-148.0,1.8,1.9345794392523368,0.0
3,0.07408005039344424,-0.029046590311538167,1.418131982060603,1.3355704697986577,0,1.3355704697986577,0.7269952665506574,0.7269952665506574,0,-298,True,5.242435639704278,1.2761130541639094,0.01384977947592514,5.242435639704278,0.0,0.7570886801810685,0.7570886801810685,0.12032633994819125,0.08943563476588319,544.7178173829416,1.0,39.47538174323732,0.704225352112676,0.06732517420852757,0.0,0.0,0.0,0.07408005039344424,0.021842281743869818,2024-05-11,alex caceres,sean woodson,0.0,0.2730047334493425,0.7269952665506574,150.0,-180.0,1.3355704697986577,2.75,0.0
4,0.15039204939767112,0.08994329940642343,2.30478053304599,2.1,1,2.1,0.5190206187649635,0.5190206187649635,1,110,True,-7.932685503079957,-1.0,0.22754892099425628,-7.932685503079957,0.0,0.7430543345629654,0.7430543345629654,0.4042490883006406,-0.08034669545883574,500.9515407986727,0.6666666666666666,-35.83359108118895,-1.3103448275862069,0.07920253567644513,-60.868208899201115,-1.0,0.11174264354273952,0.15039204939767112,0.08513982809445075,2024-05-18,luana pinheiro,angela hill,0.0,0.5190206187649635,0.4809793812350365,120.0,-142.0,1.6578947368421053,2.1,-0.11174264354273952
5,0.0,-0.18240012600657152,1.22315084728497,1.181818181818182,1,1.181818181818182,0.6918152779944393,0.6918152779944393,1,-550,True,-7.932685503079957,-1.0,0.22754892099425628,-7.932685503079957,0.0,0.7430543345629654,0.7430543345629654,0.4042490883006406,-0.08034669545883574,500.9515407986727,0.6666666666666666,-35.83359108118895,-1.3103448275862069,0.07920253567644513,0.0,0.0,0.0,0.0,-0.12574537057127255,2024-05-18,adrian yanez,vinicius salvador,1.0,0.6918152779944393,0.3081847220055607,-250.0,205.0,4.1,1.181818181818182,0.0
6,0.0,-0.06957769455221696,1.6542766747881523,1.5714285714285714,0,1.5714285714285714,0.5920869216485892,0.5920869216485892,0,-175,True,-7.932685503079957,-1.0,0.22754892099425628,-7.932685503079957,0.0,0.7430543345629654,0.7430543345629654,0.4042490883006406,-0.08034669545883574,500.9515407986727,0.6666666666666666,-35.83359108118895,-1.3103448275862069,0.07920253567644513,0.0,0.0,0.0,0.0,-0.012406882344663916,2024-05-18,edson barboza,lerone murphy,0.0,0.4079130783514108,0.5920869216485892,120.0,-142.0,1.5714285714285714,2.3,0.0
7,0.04797507217920203,-0.02676265417491519,1.831709377314822,1.7142857142857144,1,1.7142857142857144,0.5677217850646328,0.5677217850646328,1,-140,True,-7.932685503079957,-1.0,0.22754892099425628,-7.932685503079957,0.0,0.7430543345629654,0.7430543345629654,0.4042490883006406,-0.08034669545883574,500.9515407986727,0.6666666666666666,-35.83359108118895,-1.3103448275862069,0.07920253567644513,0.0,0.0,0.0,0.04797507217920203,0.021783650781594388,2024-05-18,khaos williams,carlston harris,1.0,0.5677217850646328,0.4322782149353672,105.0,-125.0,2.02,1.7142857142857144,0.0
8,0.0,-0.033801089989655364,1.2731924450199432,1.238095238095238,0,1.238095238095238,0.7803914273160477,0.7803914273160477,0,-420,True,-7.932685503079957,-1.0,0.22754892099425628,-7.932685503079957,0.0,0.7430543345629654,0.7430543345629654,0.4042490883006406,-0.08034669545883574,500.9515407986727,0.6666666666666666,-35.83359108118895,-1.3103448275862069,0.07920253567644513,0.0,0.0,0.0,0.0,-0.005035790628476033,2024-05-18,vanessa demopoulos,emily ducote,1.0,0.2196085726839523,0.7803914273160477,240.0,-298.0,1.238095238095238,3.9,-0.0
9,0.25800136896142456,0.12625025692875208,1.8161540125050284,1.6896551724137931,1,1.6896551724137931,0.6665562745088532,0.6665562745088532,1,-145,True,-7.932685503079957,-1.0,0.22754892099425628,-7.932685503079957,0.0,0.7430543345629654,0.7430543345629654,0.4042490883006406,-0.08034669545883574,500.9515407986727,0.6666666666666666,-35.83359108118895,-1.3103448275862069,0.07920253567644513,72.0144508056735,0.6896551724137931,0.19169733453902735,0.25800136896142456,0.11594217839445153,2024-05-18,themba gorimbo,ramiz brahimaj,1.0,0.6665562745088532,0.3334437254911467,-250.0,205.0,2.02,1.6896551724137931,0.19169733453902735
