pred_winner,proba_red,choice_probability,choice_decimal,choice_fair_decimal,ev,fstar_full,fstar,expected_bankroll_return_pct,date,fighter_red,fighter_blue,decimal_red,decimal_blue,fair_probability_red,fair_probability_blue,n_bets,shift_pct,mean_absolute_decimal_change
0,0.26836949438130575,0.7316305056186942,1.3355704697986577,1.4181319820606033,-0.02285590189181108,0.08980087790461815,0.0,-0.0,2024-05-11,alex caceres,sean woodson,2.75,1.3355704697986577,0.2948470151932126,0.7051529848067875,0,0.0,0.0
1,0.5539088023203191,0.5539088023203191,1.5714285714285714,1.6427734316099438,-0.1295718820680699,0.0,0.0,-0.0,2024-05-11,derrick lewis,rodrigo nascimento,1.5714285714285714,2.35,0.608726669641829,0.39127333035817097,0,0.0,0.0
0,0.45683864565811494,0.5431613543418851,1.8,1.922925338329723,-0.02230956218460689,0.04817153589689022,0.0,-0.0,2024-05-11,jj aldrich,veronica hardy,1.9345794392523368,1.8,0.47995900825322085,0.5200409917467792,0,0.0,0.0
1,0.6141819551316798,0.6141819551316798,1.704225352112676,1.8335998111745717,0.046704458745538746,0.15134830318460357,0.15133906561727054,0.7068209146710193,2024-05-11,joaquin buckley,nursulton ruziboev,1.704225352112676,2.0,0.5453752743132197,0.4546247256867803,1,0.0,0.0
1,0.750554925754816,0.750554925754816,1.2777777777777777,1.3472099617665865,-0.040957594868846314,0.03212774418427494,0.0,-0.0,2024-05-18,abus magomedov,warlley alves,1.2777777777777777,3.05,0.7422747963418467,0.2577252036581534,0,0.0,0.0
1,0.6770940584183804,0.6770940584183804,1.181818181818182,1.2231508472849701,-0.19979793096009568,0.0,0.0,-0.0,2024-05-18,adrian yanez,vinicius salvador,1.181818181818182,4.1,0.8175606485657118,0.18243935143428822,0,0.0,0.0
0,0.39898178040916193,0.601018219590838,1.5714285714285714,1.6542766747881525,-0.05554279778582605,0.0,0.0,-0.0,2024-05-18,edson barboza,lerone murphy,2.3,1.5714285714285714,0.3955061960067469,0.6044938039932531,0,0.0,0.0
1,0.5747319858429353,0.5747319858429353,1.7142857142857144,1.831709377314822,-0.014745167126396619,0.06341393923145586,0.0,-0.0,2024-05-18,khaos williams,carlston harris,1.7142857142857144,2.02,0.5459381342830384,0.45406186571696155,0,0.0,0.0
1,0.5666510277294255,0.5666510277294255,2.1,2.30478053304599,0.18996715823179366,0.2345269951467751,0.168780993638649,3.20628457250726,2024-05-18,luana pinheiro,angela hill,2.1,1.6578947368421053,0.4338807906705128,0.5661192093294873,1,0.0,0.0
1,0.7341050214385139,0.7341050214385139,1.4,1.4591452060396273,0.027747030013919316,0.15499633193487644,0.15498687170953862,0.43004253810880305,2024-05-18,piera rodriguez,ariane carnelossi,1.4,2.8,0.6853327522585454,0.31466724774145455,1,0.0,0.0
