date,expected_bankroll_return_pct,stake_fraction,n_bets,n_fights,expected_roi_on_stakes_pct,shift_pct,open_target_pct,remaining_gap_pp,mean_absolute_decimal_change,gap_closed_pct,roi_change_pp_per_1pct_shift
2024-05-11,0.7068209146710193,0.15133906561727054,1,4,4.670445874553875,0.0,6.878169276376245,6.171348361705226,0.0,0.0,
2024-05-11,0.7113321703507609,0.15130716319889037,1,4,4.701245832067635,1.0,6.878169276376245,6.1668371060254845,0.0015301687830682753,0.07310000044293061,0.004511255679741644
2024-05-11,0.7158179647664779,0.15127512123004414,1,4,4.731894834696138,2.0,6.878169276376245,6.1623513116097675,0.0030603375661364396,0.14578742874551268,0.004485794415716948
2024-05-11,0.7202784149308348,0.15124294007983394,1,4,4.762393633386353,3.0,6.878169276376245,6.15789086144541,0.00459050634920477,0.21806418097093352,0.004460450164356922
2024-05-11,0.7247136371353812,0.15121062011592862,1,4,4.792742973871578,4.0,6.878169276376245,6.153455639240864,0.0061206751322729624,0.28993214149748486,0.004435222204546396
2024-05-11,0.7291237469727009,0.1511781617044881,1,4,4.822943596826756,5.0,6.878169276376245,6.149045529403544,0.007650843915341293,0.36139318337749854,0.004410109837319709
2024-05-11,0.7335088593321576,0.15114556521020253,1,4,4.852996237845586,6.0,6.878169276376245,6.144660417044087,0.009181012698409513,0.43244916826838015,0.004385112359456711
2024-05-11,0.7378690884049284,0.15111283099629427,1,4,4.882901627480085,7.000000000000001,6.878169276376245,6.140300187971317,0.01071118148147776,0.5031019465141683,0.004360229072770779
2024-05-11,0.7422045477004982,0.15107995942445906,1,4,4.912660491357923,8.0,6.878169276376245,6.135964728675747,0.012241350264546008,0.5733533574128367,0.00433545929556978
2024-05-11,0.7465153500342465,0.15104695085494993,1,4,4.942273550103793,9.0,6.878169276376245,6.131653926341999,0.013771519047614228,0.6432052290151231,0.004310802333748365
2024-05-11,0.7508016075496199,0.15101380564649414,1,4,4.971741519494977,10.0,6.878169276376245,6.127367668826626,0.015301687830682476,0.712659378483825,0.004286257515373371
2024-05-11,0.7550634317152225,0.15098052415633068,1,4,5.001065110446978,11.0,6.878169276376245,6.123105844661023,0.01683185661375078,0.7817176120466659,0.004261824165602612
2024-05-11,0.7593009333353506,0.1509471067401799,1,4,5.030245029090286,12.0,6.878169276376245,6.118868343040894,0.018362025396818943,0.8503817251669548,0.004237501620128148
2024-05-11,0.7635142225446682,0.15091355375229576,1,4,5.059281976739304,13.0,6.878169276376245,6.114655053831577,0.019892194179887246,0.9186535024573356,0.004213289209317517
2024-05-11,0.7677034088266428,0.15087986554539615,1,4,5.088176650022658,14.000000000000002,6.878169276376245,6.110465867549602,0.021422362962955466,0.9865347179785645,0.004189186281974614
2024-05-11,0.7718686010120646,0.15084604247069597,1,4,5.116929740878096,15.0,6.878169276376245,6.106300675364181,0.02295253174602374,1.0540271352154174,0.004165192185421781
2024-05-11,0.7760099072833754,0.15081208487790687,1,4,5.145541936586917,16.0,6.878169276376245,6.1021593690928695,0.02448270052909199,1.1211325071469227,0.004141306271310818
2024-05-11,0.7801274351830407,0.15077799311522097,1,4,5.174013919835674,17.0,6.878169276376245,6.098041841193204,0.02601286931216021,1.1878525763819627,0.004117527899665352
2024-05-11,0.7842212916198947,0.15074376752930121,1,4,5.202346368764199,18.0,6.878169276376245,6.09394798475635,0.02754303809522851,1.2541890752621332,0.004093856436854004
2024-05-11,0.7882915828628895,0.15070940846533684,1,4,5.230539956927749,19.0,6.878169276376245,6.089877693513356,0.029073206878296676,1.3201437257604232,0.004070291242994739
2024-05-11,0.7923384145659945,0.1506749162669417,1,4,5.258595353471152,20.0,6.878169276376245,6.08583086181025,0.03060337566136498,1.385718239884709,0.004046831703105047
2024-05-11,0.7963618917492222,0.15064029127627324,1,4,5.286513223004197,21.0,6.878169276376245,6.081807384627023,0.03213354444443328,1.4509143193702547,0.004023477183227708
2024-05-11,0.8003621188277661,0.15060553383390837,1,4,5.31429422580465,22.0,6.878169276376245,6.077807157548479,0.03366371322750153,1.5157336561519277,0.004000227078543861
2024-05-11,0.804339199594791,0.15057064427895553,1,4,5.341939017705387,23.0,6.878169276376245,6.073830076781454,0.03519388201056972,1.5801779320852676,0.003977080767024965
2024-05-11,0.8082932372464835,0.1505356229489483,1,4,5.3694482502696586,24.0,6.878169276376245,6.0698760391297615,0.036724050793638,1.6442488193524403,0.003954037651692444
2024-05-11,0.8122243343643758,0.15050047017996154,1,4,5.396822570674732,25.0,6.878169276376245,6.065944942011869,0.038254219576706244,1.707947980175795,0.0039310971178923015
2024-05-11,0.8161325929470282,0.15046518630647046,1,4,5.424062621932446,26.0,6.878169276376245,6.062036683429217,0.03978438835977449,1.7712770673312688,0.003908258582652424
2024-05-11,0.8200181143855128,0.15042977166150176,1,4,5.451169042725956,27.0,6.878169276376245,6.0581511619907324,0.041314557142842656,1.8342377237511105,0.0038855214384845294
2024-05-11,0.823880999495221,0.1503942265764914,1,4,5.478142467631164,28.000000000000004,6.878169276376245,6.0542882768810244,0.04284472592591099,1.8968315830392715,0.003862885109708211
2024-05-11,0.8277213484974896,0.15035855138140447,1,4,5.5049835269951775,28.999999999999996,6.878169276376245,6.050447927878755,0.04437489470897918,1.959060269173723,0.003840349002268622
2024-05-11,0.8315392610405785,0.15032274640464857,1,4,5.531692847083747,30.0,6.878169276376245,6.0466300153356665,0.04590506349204751,2.0209253968463066,0.003817912543088928
2024-05-11,0.8362463945619323,0.25977502119167906,2,4,3.219117799416499,31.0,6.878169276376245,6.041922881814313,0.04743523227511576,2.0971993850489934,0.004707133521353768
2024-05-11,0.8480554742932815,0.2602440650437742,2,4,3.2586928510766806,32.0,6.878169276376245,6.030113802082964,0.04896540105818395,2.2885527010378843,0.011809079731349259
2024-05-11,0.8599073511175289,0.2607063245965746,2,4,3.2983754899240645,33.0,6.878169276376245,6.018261925258717,0.0504955698412522,2.480599497452602,0.011851876824247376
2024-05-11,0.8718004968292038,0.26116191033929675,2,4,3.338160973384582,34.0,6.878169276376245,6.006368779547041,0.052025738624320444,2.673315011382674,0.01189314571167488
2024-05-11,0.8837334159752235,0.26161093042671185,2,4,3.37804469612096,35.0,6.878169276376245,5.994435860401022,0.05355590740738875,2.8666750106344803,0.011932919146019683
2024-05-11,0.8957046449639313,0.26205349074196155,2,4,3.418022184813834,36.0,6.878169276376245,5.982464631412314,0.05508607619045694,3.0606557792942506,0.011971228988707838
2024-05-11,0.9077127512592004,0.2624896949536677,2,4,3.4580890934382076,37.0,6.878169276376245,5.9704565251170445,0.05661624497352524,3.255234104669344,0.01200810629526905
2024-05-11,0.9197563325749702,0.2629196445739295,2,4,3.4982411986197057,38.0,6.878169276376245,5.9584129438012745,0.05814641375659349,3.4503872642366025,0.01204358131576988
2024-05-11,0.9318340160947562,0.2633434390129204,2,4,3.538474395213764,39.0,6.878169276376245,5.946335260281489,0.05967658253966171,3.6460930129953404,0.012077683519785998
2024-05-11,0.9439444577351515,0.2637611756324338,2,4,3.578784692143592,40.0,6.878169276376245,5.934224818641094,0.06120675132272993,3.842329571533237,0.012110441640395209
2024-05-11,0.956086341395497,0.2641729497976643,2,4,3.6191682082809153,41.0,6.878169276376245,5.9220829349807484,0.06273692010579826,4.039075613867988,0.01214188366034552
2024-05-11,0.9682583782644878,0.2645788549279109,2,4,3.659621168624026,42.0,6.878169276376245,5.909910898111757,0.06426708888886642,4.236310256211655,0.012172036868990821
2024-05-11,0.98045930613432,0.2649789825443178,2,4,3.7001399006064113,43.0,6.878169276376245,5.897709970241925,0.06579725767193476,4.434013045857146,0.012200927869832179
2024-05-11,0.9926878887208671,0.26537342231853966,2,4,3.7407208304729895,44.0,6.878169276376245,5.885481387655378,0.06732742645500289,4.632163950162401,0.012228582586547132
2024-05-11,1.00494291501664,0.2657622621179455,2,4,3.781360479881246,45.0,6.878169276376245,5.873226361359605,0.06885759523807117,4.8307433460658755,0.012255026295772908
2024-05-11,1.0172231986728884,0.266145588050095,2,4,3.822055462671891,46.0,6.878169276376245,5.860946077703357,0.07038776402113947,5.029732010074063,0.012280283656248336
2024-05-11,1.029527577389451,0.2665234845058967,2,4,3.8628024817327993,47.0,6.878169276376245,5.848641698986794,0.07191793280420775,5.229111108374755,0.012304378716562647
2024-05-11,1.0418549122970435,0.2668960342025492,2,4,3.903598325879855,48.0,6.878169276376245,5.836314364079202,0.07344810158727594,5.428862186827667,0.012327334907592524
