open,close1,close2,date
-0.1755488455706002,-0.1501037729412178,-0.1419555538101198,2026-03-14 00:00:00
-0.2535436406517021,-0.2322168212460949,-0.2359454812773661,2026-03-21 00:00:00
-0.2276635669801735,-0.1658185977701933,-0.1695539802707777,2026-03-28 00:00:00
-0.128921104368443,-0.0721204884260602,-0.0724359952058837,2026-04-04 00:00:00
-0.2292623704261412,-0.2143861729929588,-0.2193815968670706,2026-04-11 00:00:00
-0.1478696838546702,-0.0789036672783503,-0.0800362851862509,2026-04-18 00:00:00
-0.1740369488677992,-0.210577702386669,-0.2139939734186417,2026-04-25 00:00:00
0.5491880579905632,-0.0813366549292712,-0.1259668929553301,2026-05-02 00:00:00
0.4718134070996805,-0.1486687247969096,-0.1870731027103913,2026-05-09 00:00:00
-0.1459660253458545,-0.0543738215996561,-0.0862230592257953,2026-05-16 00:00:00
