date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2,winner_bool,winner_name,win_bet_open,chosen_odds_open,net_odds_open,net_stake_open,win_bet_close1,chosen_odds_close1,net_odds_close1,net_stake_close1,win_bet_close2,chosen_odds_close2,net_odds_close2,net_stake_close2
2026-02-28,regina tarin,ernesta kareckaite,130.0,-150.0,105.0,133.0,-167.0,-125.0,,,,,,,,,,,,,,,,,,,,,,1,Regina Tarin,,,,,,,,,,,,
2026-02-28,ailin perez,macy chiasson,-129.0,109.0,-195.0,-180.0,148.0,165.0,ailin perez,1,0.7022499941667392,0.15476521874281887,541.6782655998661,0.1589692197650151,0.2466298346060719,ailin perez,1,0.7647425240223515,0.26380848704222265,923.3297046477793,0.13159961375703388,0.1569181773671472,ailin perez,1,0.7652966176570148,0.2642691649259016,924.9420772406555,0.13129035170639225,0.19046140524424532,1,Ailin Perez,True,-129.0,0.7751937984496124,0.15476521874281887,True,-195.0,0.5128205128205128,0.26380848704222265,True,-180.0,0.5555555555555556,0.2642691649259016
2026-02-28,cristian quinonez,kris moutinho,-500.0,385.0,-700.0,-560.0,420.0,500.0,cristian quinonez,1,0.8423900036358509,0.12321275119140367,431.24462916991286,0.022150086269685176,0.010868004363021072,cristian quinonez,1,0.8582391203201344,0.0,0.0,0.0030928961384047993,-0.01915529106270361,cristian quinonez,1,0.853135181398944,0.06115388687102471,214.03860404858648,0.009566997508585806,0.005480749505898247,1,Cristian Quinonez,True,-500.0,0.19999999999999996,0.12321275119140367,,-700.0,,,True,-560.0,0.1785714285714286,0.06115388687102471
2026-02-28,damian pinas,wes schultz,-400.0,300.0,-265.0,-225.0,190.0,200.0,,,,,,,,,,,,,,,,,,,,,,1,Damian Pinas,,,,,,,,,,,,
2026-02-28,erik silva,francis marshall,350.0,-450.0,500.0,750.0,-1200.0,-800.0,francis marshall,0,0.7419008921996544,0.0,0.0,-0.06247988803975568,-0.093232242867089,francis marshall,0,0.8026538165415771,0.0,0.0,-0.09894689563081205,-0.13045836541329156,francis marshall,0,0.7942336118432536,0.0,0.0,-0.09271013970604947,-0.10648718667633972,0,Francis Marshall,,-450.0,,,,-1200.0,,,,-800.0,,
2026-02-28,douglas silva de andrade,javier reyes,180.0,-210.0,175.0,225.0,-265.0,-225.0,,,,,,,,,,,,,,,,,,,,,,0,Javier Reyes,,,,,,,,,,,,
2026-02-28,ryan gandra,jose daniel medina,-550.0,420.0,-1000.0,-649.0,450.0,650.0,,,,,,,,,,,,,,,,,,,,,,1,Ryan Gandra,,,,,,,,,,,,
2026-02-28,daniel zellhuber,king green,-520.0,350.0,-500.0,-360.0,290.0,350.0,daniel zellhuber,1,0.8296421531729955,0.0,0.0,0.010756694697745539,-0.010811278909120758,daniel zellhuber,1,0.8219564332613055,0.0,0.0,0.018037794985332534,-0.013652280086433405,daniel zellhuber,1,0.8095773837631773,0.13111480337026876,458.90181179594066,0.028736797377734047,0.03445999036405986,0,King Green,,-520.0,,,,-500.0,,,False,-360.0,-1.0,-0.13111480337026876
2026-02-28,marlon vera,david martinez,130.0,-150.0,210.0,265.0,-340.0,-275.0,david martinez,0,0.6210619025316473,0.08912369405466537,311.9329291913288,0.03707926749533719,0.03510317088607873,david martinez,0,0.7391678723402672,0.0,0.0,0.0018060978329624833,-0.04342981226553658,david martinez,0,0.7343949851629127,0.01456810063783961,50.988352232438636,0.003926806369680791,0.0014477070403355885,0,David Martinez,True,-150.0,0.6666666666666665,0.08912369405466537,,-340.0,,,True,-275.0,0.36363636363636376,0.01456810063783961
2026-02-28,brandon moreno,loneer kavanagh,-210.0,180.0,-215.0,-198.0,163.0,170.0,brandon moreno,1,0.6206008799354235,0.0,0.0,-0.04223047989257611,-0.08387489152389865,brandon moreno,1,0.6148768165680216,0.0,0.0,-0.04116475505093031,-0.09913396642359629,brandon moreno,1,0.609340834982963,0.0,0.0,-0.040169845721355735,-0.08291126856099501,0,Lone'er Kavanagh,,-210.0,,,,-215.0,,,,-198.0,,
2026-02-28,santiago luna,angel pacheco,-400.0,300.0,-1200.0,-649.0,450.0,750.0,santiago luna,1,0.7842496494468458,0.0,0.0,0.001897517210910582,-0.01968793819144271,santiago luna,1,0.8461085811200253,0.0,0.0,-0.05214687212809854,-0.083382370453306,santiago luna,1,0.8332978696158243,0.0,0.0,-0.038287221646884695,-0.03830492397187604,1,Santiago Luna,,-400.0,,,,-1200.0,,,,-649.0,,
2026-02-28,edgar chairez,felipe bunes,-220.0,185.0,-350.0,-255.0,215.0,260.0,edgar chairez,1,0.7296620542937904,0.17707047809018708,619.7466733156548,0.05817317112358156,0.0613266244273315,edgar chairez,1,0.7768413796177724,0.0,0.0,0.034082934886433325,-0.0012039404914355178,edgar chairez,1,0.7623579446185091,0.15165197980893041,530.7819293312565,0.042484311111984474,0.06132184446890482,1,Edgar Chairez,True,-220.0,0.4545454545454546,0.17707047809018708,,-350.0,,,True,-255.0,0.392156862745098,0.15165197980893041
2026-02-28,imanol rodriguez,kevin borjas,-230.0,195.0,-530.0,-450.0,333.0,380.0,,,,,,,,,,,,,,,,,,,,,,1,Imanol Rodriguez,,,,,,,,,,,,
2026-03-07,cody durden,nyamjargal tumendemberel,140.0,-160.0,155.0,180.0,-220.0,-194.0,nyamjargal tumendemberel,0,0.6412259745964822,0.0767030632809446,268.46072148330614,0.04034852637265973,0.04199220871928361,nyamjargal tumendemberel,0,0.6835471176556999,0.0,0.0,0.029610054044870382,-0.005749647046254691,nyamjargal tumendemberel,0,0.6824853993314608,0.056825457059271445,198.88909970745004,0.029921910350746095,0.03428199692499723,0,Nyamjargal Tumendemberel,True,-160.0,0.625,0.0767030632809446,,-220.0,,,True,-194.0,0.5154639175257731,0.056825457059271445
2026-03-07,donte johnson,cody brundage,-800.0,550.0,-910.0,-725.0,500.0,610.0,donte johnson,1,0.9244365377202172,0.27622136103837697,966.7747636343194,0.04780920277703349,0.03999110493524431,donte johnson,1,0.9259475422910052,0.3103750747580108,1086.312761653038,0.04320501081589556,0.027700019465840955,donte johnson,1,0.923494641935826,0.26274402343573533,919.6040820250736,0.05062267654294339,0.050873213237319276,1,Donte Johnson,True,-800.0,0.125,0.27622136103837697,True,-910.0,0.10989010989010994,0.3103750747580108,True,-725.0,0.13793103448275867,0.26274402343573533
2026-03-07,luke fernandez,rodolfo bellato,-125.0,105.0,-245.0,-220.0,175.0,190.0,,,,,,,,,,,,,,,,,,,,,,0,Rodolfo Bellato,,,,,,,,,,,,
2026-03-07,rafael tobias,diyar nurgozhay,-300.0,250.0,-190.0,-170.0,140.0,150.0,,,,,,,,,,,,,,,,,,,,,,0,Diyar Nurgozhay,,,,,,,,,,,,
2026-03-07,sumudaerji,jesus aguilar,-215.0,185.0,-205.0,-155.0,130.0,163.0,sumudaerji,1,0.7303788984335213,0.1415800264837726,495.53009269320404,0.061852916712188954,0.07009001398399634,sumudaerji,1,0.6992679594226208,0.1654790926637404,579.1768243230913,0.07352180687619558,0.04037428109219188,sumudaerji,1,0.6897777412938743,0.13060844839451968,457.1295693808189,0.07656149796975598,0.1347956389028253,1,Sumudaerji,True,-215.0,0.4651162790697674,0.1415800264837726,True,-205.0,0.4878048780487805,0.1654790926637404,True,-155.0,0.6451612903225805,0.13060844839451968
2026-03-07,ricky turcios,alberto montes,190.0,-225.0,150.0,160.0,-195.0,-175.0,,,,,,,,,,,,,,,,,,,,,,0,Alberto Montes,,,,,,,,,,,,
2026-03-07,gregory rodrigues,brunno ferreira,-150.0,130.0,-175.0,-155.0,130.0,140.0,gregory rodrigues,1,0.6412867194704851,0.1045118216480678,365.7913757682373,0.05730408443417501,0.06881119911747507,gregory rodrigues,1,0.6579521755194175,0.11385593295199592,398.49576533198575,0.053458371526164394,0.03392484724479894,gregory rodrigues,1,0.6516525839643341,0.08992394366722972,314.733802835304,0.054965238748419076,0.07207360587680767,1,Gregory Rodrigues,True,-150.0,0.6666666666666665,0.1045118216480678,True,-175.0,0.5714285714285714,0.11385593295199592,True,-155.0,0.6451612903225805,0.08992394366722972
2026-03-07,rob font,raul rosas jr,375.0,-500.0,245.0,275.0,-350.0,-290.0,raul rosas jr,0,0.8740919310824438,0.21802374482858264,763.0831069000392,0.05526997710566828,0.04891031729893247,raul rosas jr,0,0.845858755782121,0.2890055362164674,1011.5193767576358,0.09290208377110531,0.08753268600558403,raul rosas jr,0,0.8395491724184023,0.22064286541491557,772.2500289522045,0.09992673038442734,0.1290488870454376,0,Raul Rosas Jr.,True,-500.0,0.19999999999999996,0.21802374482858264,True,-350.0,0.2857142857142856,0.2890055362164674,True,-290.0,0.3448275862068966,0.22064286541491557
2026-03-07,caio borralho,reinier de ridder,-235.0,180.0,-245.0,-210.0,175.0,190.0,caio borralho,1,0.6958067748273349,0.0,0.0,0.018438010575150043,-0.008105235884437567,caio borralho,1,0.6978279027958124,0.0,0.0,0.017779461920833017,-0.01734438177732539,caio borralho,1,0.6887209858184304,0.041084440544940946,143.79554190729334,0.02066894477321879,0.016683360017683113,1,Caio Borralho,,-235.0,,,,-245.0,,,True,-210.0,0.4761904761904763,0.041084440544940946
2026-03-07,max holloway,charles oliveira,-150.0,130.0,-225.0,-190.0,155.0,175.0,charles oliveira,0,0.5300950186343797,0.08541153195391395,298.9403618386988,0.1140776536706899,0.21921854285907316,max holloway,1,0.5348939973484228,0.0,0.0,-0.12200638510099127,-0.2273753371633893,max holloway,1,0.526137210811785,0.0,0.0,-0.12091518570566906,-0.19694846770832825,0,Charles Oliveira,True,130.0,1.2999999999999998,0.08541153195391395,,-225.0,,,,-190.0,,
2026-03-07,cody garbrandt,xiao long,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cody Garbrandt,,,,,,,,,,,,
2026-03-07,drew dober,michael johnson,160.0,-185.0,-225.0,-190.0,160.0,175.0,michael johnson,0,0.57231187128546,0.0,0.0,-0.062092108608058694,-0.11833036045212914,drew dober,1,0.6814062343852996,0.0,0.0,0.021277854932497897,-0.015746550332345066,drew dober,1,0.6711869360803179,0.045118832752620124,157.91591463417043,0.02413453956286382,0.024443218227853503,1,Drew Dober,,-185.0,,,,-225.0,,,True,-190.0,0.5263157894736841,0.045118832752620124
2026-03-14,elijah smith,suyoung you,-250.0,210.0,-280.0,-260.0,210.0,230.0,elijah smith,1,0.7510237527123756,0.12040440058563061,421.4154020497071,0.05159385758968693,0.05143325379732583,elijah smith,1,0.7603464213590005,0.16328428153669725,571.4949853784403,0.046771581139566365,0.0318987147015008,elijah smith,1,0.7594283154765785,0.13669797913177822,478.4429269612238,0.04726289264081596,0.0515161291214164,1,Elijah Smith,True,-250.0,0.3999999999999999,0.12040440058563061,True,-280.0,0.3571428571428572,0.16328428153669725,True,-260.0,0.3846153846153846,0.13669797913177822
2026-03-14,vitor petrino,steven asplund,-240.0,205.0,-230.0,-200.0,163.0,188.0,vitor petrino,1,0.7051219621120092,0.0,0.0,0.012984991800481294,-0.0010772203413202952,vitor petrino,1,0.6844896075337522,0.0,0.0,0.01961380575972438,-0.017906215277659898,vitor petrino,1,0.681303156386171,0.050426612569918025,176.49314399471308,0.020548943523313046,0.021954734579256507,1,Vitor Petrino,,-240.0,,,,-230.0,,,True,-200.0,0.5,0.050426612569918025
2026-03-14,piera rodriguez,sam hughes,-140.0,120.0,-152.0,-140.0,118.0,128.0,piera rodriguez,1,0.6299848744257386,0.10401276750381369,364.0446862633479,0.06442012564182154,0.07997407044412336,piera rodriguez,1,0.6373761893748057,0.1477937784861705,517.2782247015967,0.06289250235682486,0.056702629752967304,piera rodriguez,1,0.6362390345746851,0.123117079761565,430.9097791654775,0.06313251118699537,0.0906954878423174,1,Piera Rodriguez,True,-140.0,0.7142857142857144,0.10401276750381369,True,-152.0,0.6578947368421053,0.1477937784861705,True,-140.0,0.7142857142857144,0.123117079761565
2026-03-14,luan lacerda,hecher sosa,170.0,-200.0,150.0,200.0,-250.0,-180.0,,,,,,,,,,,,,,,,,,,,,,0,Hecher Sosa,,,,,,,,,,,,
2026-03-14,bia mesquita,montse rendon,-500.0,375.0,-1667.0,-649.0,450.0,900.0,bia mesquita,1,0.8581201811561027,0.15214494573154916,532.507310060422,0.03929822717932718,0.029744217387323163,bia mesquita,1,0.896047154224588,0.0,0.0,-0.022011387534741633,-0.050200766937704255,bia mesquita,1,0.8817659012583601,0.028980756273111506,101.43264695589026,0.004264377479441528,0.017631217322822412,1,Bia Mesquita,True,-500.0,0.19999999999999996,0.15214494573154916,,-1667.0,,,True,-649.0,0.15408320493066263,0.028980756273111506
2026-03-14,brad tavares,eryk anders,-185.0,160.0,100.0,118.0,-140.0,-125.0,brad tavares,1,0.6329203580811235,0.0,0.0,-0.0014836218123952527,-0.024960529442593582,eryk anders,0,0.5225680680175844,0.0,0.0,-0.02091830011051099,-0.10416902625556956,eryk anders,0,0.5272415653788385,0.0,0.0,-0.02149402171865733,-0.05096518231809072,0,Eryk Anders,,-185.0,,,,-140.0,,,,-125.0,,
2026-03-14,bolaji oki,manoel sousa,170.0,-200.0,210.0,265.0,-320.0,-270.0,,,,,,,,,,,,,,,,,,,,,,0,Manoel Sousa,,,,,,,,,,,,
2026-03-14,marwan rahiki,harry hardwick,-200.0,170.0,-320.0,-275.0,210.0,260.0,,,,,,,,,,,,,,,,,,,,,,1,Marwan Rahiki,,,,,,,,,,,,
2026-03-14,andre fili,jose delgado,220.0,-260.0,301.0,375.0,-500.0,-401.0,jose delgado,0,0.7276319944347234,0.04630261342606767,162.05914699123682,0.019249950815428796,0.007490453832693866,jose delgado,0,0.7911498557195933,0.0,0.0,-0.015050713921706205,-0.05062017313648809,jose delgado,0,0.785379898794125,0.0,0.0,-0.011137005790015642,-0.018764764848237886,0,Jose Delgado,True,-260.0,0.3846153846153846,0.04630261342606767,,-500.0,,,,-401.0,,
2026-03-14,amanda lemos,gillian robertson,210.0,-250.0,194.0,210.0,-250.0,-235.0,gillian robertson,0,0.7506148065376923,0.11945004436311044,418.0751552708865,0.05118491141500359,0.05086072915276918,gillian robertson,0,0.7458178791135017,0.17392458547531037,608.7360491635862,0.05352027896199674,0.04414503075890236,gillian robertson,0,0.745377067773623,0.14506284994743035,507.7199748160063,0.05373040268634299,0.06255879874112213,0,Gillian Robertson,True,-250.0,0.3999999999999999,0.11945004436311044,True,-250.0,0.3999999999999999,0.17392458547531037,True,-235.0,0.42553191489361697,0.14506284994743035
2026-03-14,josh emmett,kevin vallejos,375.0,-500.0,360.0,400.0,-560.0,-480.0,kevin vallejos,0,0.8385563407248143,0.07640261193271411,267.4091417644994,0.019734386748038846,0.006267608869777147,kevin vallejos,0,0.8427429662985036,0.0,0.0,0.015166582026572395,-0.006767218291049232,kevin vallejos,0,0.8383041607784477,0.09165159047384257,320.78056665844895,0.020003634748254173,0.012950860940624254,0,Kevin Vallejos,True,-500.0,0.19999999999999996,0.07640261193271411,,-560.0,,,True,-480.0,0.20833333333333326,0.09165159047384257
2026-03-14,chris curtis,myktybek orolbai,210.0,-250.0,333.0,380.0,-500.0,-450.0,myktybek orolbai,0,0.7773349610014281,0.14610681648783574,511.37385770742503,0.07790506587873935,0.08826894540199925,myktybek orolbai,0,0.8392603163243519,0.14418047182180477,504.6316513763167,0.02708185033724031,0.007112379589222284,myktybek orolbai,0,0.8377676453690275,0.1250516546836826,437.68079139288903,0.02867685827241917,0.023938233228811445,0,Myktybek Orolbai,True,-250.0,0.3999999999999999,0.14610681648783574,True,-500.0,0.19999999999999996,0.14418047182180477,True,-450.0,0.22222222222222232,0.1250516546836826
2026-03-14,charles johnson,bruno silva,-150.0,130.0,-195.0,-175.0,140.0,165.0,charles johnson,1,0.6792655787396975,0.1131046252455105,395.8661883592868,0.09528294370338741,0.13210929789949577,charles johnson,1,0.7118899761857265,0.227223438639287,795.2820352375045,0.08472115299544758,0.07696175884507334,charles johnson,1,0.714194002108634,0.18887511126903384,661.0628894416185,0.0838711450918479,0.12230486045642491,1,Charles Johnson,True,-150.0,0.6666666666666665,0.1131046252455105,True,-195.0,0.5128205128205128,0.227223438639287,True,-175.0,0.5714285714285714,0.18887511126903384
2026-03-14,ion cutelaba,oumar sy,170.0,-200.0,200.0,320.0,-420.0,-250.0,oumar sy,0,0.6522844448562966,0.0,0.0,0.0014620793199262572,-0.02157333271555517,oumar sy,0,0.7337707093896424,0.0,0.0,-0.024817483359211856,-0.09152197885091892,oumar sy,0,0.7158724194585526,0.0,0.0,-0.01757412125150082,0.002221387241973627,1,Ion Cutelaba,,-200.0,,,,-420.0,,,False,-250.0,-1.0,-0.0
2026-03-21,mario pinto,felipe franco,-300.0,250.0,-1400.0,-800.0,500.0,800.0,,,,,,,,,,,,,,,,,,,,,,1,Mario Pinto,,,,,,,,,,,,
2026-03-21,nathaniel wood,losene keita,130.0,-150.0,194.0,235.0,-290.0,-245.0,,,,,,,,,,,,,,,,,,,,,,1,Nathaniel Wood,,,,,,,,,,,,
