date,net_odds_open,net_stake_open,win_parlay_open,net_odds_close1,net_stake_close1,win_parlay_close1,net_odds_close2,net_stake_close2,win_parlay_close2
2026-02-28,1.9586563307493536,0.1026105814471556,True,-1.2164579606440071,-0.1358679655843456,False,1.1655773420479303,0.1483716407005347,True
2026-03-07,2.8333333333333326,0.0843933825626859,True,1.3379790940766552,0.1287456208384615,True,1.7065556711758583,0.1132110133977062,True
2026-03-14,1.8571428571428572,0.1063049678589962,True,1.5080971659919027,0.1183480472306841,True,-2.737142857142857,-0.0781180004981202,False
2026-03-21,1.2407862407862411,0.1323269099105553,True,1.8912189983721155,0.1020412065857682,True,2.966666666666667,0.0764877419590697,True
2026-03-28,-2.1500000000000004,-0.0972219864167343,False,1.6538461538461537,0.1079187663987643,True,2.141592920353982,0.0927100689396005,True
2026-04-04,2.1407624633431084,0.0997674851508275,True,1.666666666666667,0.1071646780984508,True,2.1333333333333333,0.0926684022028137,True
2026-04-11,-1.708333333333333,-0.1108661353024029,False,-1.8285714285714287,-0.1059350840421712,False,-2.2936170212765954,-0.0988353350551556,False
2026-04-18,2.2199999999999998,0.0971464727555947,True,2.6666666666666665,0.0812292723222185,True,3.6565217391304357,0.0650876679308744,True
2026-04-25,-3.4863636363636363,-0.0740571824604646,False,-1.336076817558299,-0.1342205985588762,False,-1.64199814986124,-0.1205262942726341,False
2026-05-02,3.3909090909090907,0.0749719030481692,True,-2.0977011494252875,-0.0927534013416001,False,-3.1208,-0.0713548728388035,False
2026-05-09,1.8636363636363638,0.1056699596275472,True,-4.52,-0.0549884336932011,False,-5.426,-0.0476115756747033,False
2026-05-16,-2.7375,-0.0857591016340494,False,2.3000000000000003,0.0887653287695405,True,2.669047619047619,0.0805469814341055,True
2026-05-30,1.25,0.131447102052795,True,-0.7111111111111112,-0.1887621540724762,False,-0.8860211562914264,-0.1743148045113674,False
2026-06-06,2.323232323232323,0.0937100744586472,True,-2.5707317073170732,-0.0821355104949103,False,-3.007142857142857,-0.0738504161818329,False
2026-06-14,-0.5,-0.2154140087152509,False,0.9466721785861927,0.1467039924364401,True,-0.8204204204204202,-0.2037209430740916,False
2026-06-20,1.8888888888888888,0.0742274453675055,True,-1.4693877551020407,-0.1184462276899371,False,-1.6606929510155317,-0.1108824492931886,False
2026-06-27,1.0549450549450547,0.1427746046175801,True,1.9138755980861242,0.098021307894658,True,2.1900000000000004,0.0903007051289528,True
2026-07-11,-2.554858934169279,-0.0880945422334499,False,-2.6,-0.0809143497676043,False,-2.8500000000000005,-0.0760605180086984,False
2026-07-18,0.9722222222222223,0.1481807988344494,True,0.8296296296296295,0.1762266007002825,True,0.9128919860627176,0.1698829037608782,True
2026-07-25,-1.635658914728682,-0.1135803437766199,False,-1.7598343685300208,-0.1079976587203204,False,-2.0486623130398147,-0.0987894827885457,False
2026-08-01,-1.5344827586206895,-0.117709982328197,False,-1.7672413793103448,-0.1027454655809521,False,-2.0857142857142854,-0.0931207837820032,False
2026-08-08,3.255121951219513,0.077131663694271,True,1.4492292011721237,0.1177292694076969,True,1.5535714285714284,0.1134588127122658,True
