strategy,scenario_pct,date,realized_return,stake
always_close1,0,2024-11-23,0.0,0.0
always_close1,0,2024-12-07,0.07843088484487055,1.0
always_close1,0,2024-12-14,-0.1105299141283691,0.8115445662632059
always_close1,0,2025-01-11,0.09131934627883095,0.2676472137420135
always_close1,0,2025-01-18,0.23435593035982527,0.9910885898700019
always_close1,0,2025-02-01,0.2208665477187818,0.7943413062263286
always_close1,0,2025-02-08,0.39297820180117377,0.47531350810828943
always_close1,0,2025-02-15,0.029922797020338343,0.9999999999999999
always_close1,0,2025-02-22,0.2290765763370333,0.46100583828568853
always_close1,0,2025-03-01,0.29046698012754757,0.39266318841376174
always_close1,0,2025-03-08,-0.09767597007520414,0.48699892156687047
always_close1,0,2025-03-15,-0.08755000171088329,0.6835225837108746
always_close1,0,2025-03-22,0.13071232970871358,0.21306109742520313
always_close1,0,2025-03-29,0.33573344299294006,0.7794379014185193
always_close1,0,2025-04-05,0.06436543846004322,0.1918090066109288
always_close1,0,2025-04-12,-0.14709068957881416,0.4180029844676291
always_close1,0,2025-04-26,0.14442600937270172,0.39394455998208056
always_close1,0,2025-05-03,0.3531882702028735,0.7263613777992941
always_close1,0,2025-05-10,0.3879389975635796,0.8931606556934868
always_close1,0,2025-05-17,0.18001010425803968,0.18901060947094167
always_close1,0,2025-05-31,0.04036718946252076,0.38437613184213437
always_close1,0,2025-06-07,0.01511696693470227,0.6975393872474358
always_close1,0,2025-06-14,0.24367965996575347,0.7302771998121409
always_close1,0,2025-06-21,-0.15205454644910288,0.7922398657946164
always_close1,0,2025-06-28,0.24926881276394947,0.7878875733920612
always_close1,0,2025-07-12,0.1738528113201997,0.43805932546742943
always_close1,0,2025-07-19,0.0,0.0
always_close1,0,2025-07-26,-0.009133211435594084,0.7456424272259349
always_close1,0,2025-08-02,0.5146188603627571,0.9999999999999999
always_close1,0,2025-08-09,0.20529500129171122,0.602250618604524
always_close1,0,2025-08-16,-0.16409916106962585,0.45807245659808804
always_close1,0,2025-08-23,0.21347747385328555,0.3749969724161842
always_close1,0,2025-09-06,-0.008626750939525474,0.48253371761630454
always_close1,0,2025-09-13,-0.018501837090474954,0.8145174045640039
always_close1,0,2025-09-27,0.20298567945685114,0.5680392491502669
always_close1,0,2025-10-04,0.2303961342954222,1.0
always_close1,0,2025-10-11,0.017198925284909884,0.9819192498516072
always_close1,0,2025-10-18,-0.058273431570495304,0.3756650960028279
always_close1,0,2025-10-25,-0.10388540457602499,1.0
always_close1,0,2025-11-01,-0.16206930860293128,0.6254893469890627
always_close1,0,2025-11-08,0.03593135711100716,0.7758008793323041
always_close1,0,2025-11-15,0.30190912108149376,0.6858738016763555
always_close1,0,2025-11-22,0.11040094794686786,0.9411433249865315
always_close1,0,2025-12-06,-0.2401040168384172,0.9999999999999999
always_close1,0,2025-12-13,0.2017747022104563,0.1552113093926587
always_close1,0,2026-01-24,0.028890597858074865,0.4474102138191378
always_close1,0,2026-01-31,0.13914811586272613,0.6822985387407859
always_close1,0,2026-02-07,-0.22335713563434892,0.8715467897233908
always_close1,0,2026-02-21,0.008382753241359786,0.8723527340317272
always_close1,10,2024-11-23,0.0,0.0
always_close1,10,2024-12-07,0.06111879694394831,1.0
always_close1,10,2024-12-14,-0.13383960969081984,0.7911725851736868
always_close1,10,2025-01-11,0.1297245453261034,0.2602265896922419
always_close1,10,2025-01-18,0.2906092179905632,0.8888000092545931
always_close1,10,2025-02-01,0.20235349362370827,0.7959275028337462
always_close1,10,2025-02-08,0.3841642666183208,0.4789581748243067
always_close1,10,2025-02-15,0.01638943401236373,0.9999999999999999
always_close1,10,2025-02-22,0.2206626355415887,0.45852056556736087
always_close1,10,2025-03-01,0.28328374490205227,0.39652229215217794
always_close1,10,2025-03-08,-0.15194689682307147,0.43699558895614926
always_close1,10,2025-03-15,-0.09565610265740823,0.679466340680227
always_close1,10,2025-03-22,0.12709702355704236,0.21253014753298552
always_close1,10,2025-03-29,0.33277448190522846,0.789017424405963
always_close1,10,2025-04-05,0.06301445475368703,0.1908473852960936
always_close1,10,2025-04-12,-0.2763472376143128,0.5267707309218026
always_close1,10,2025-04-26,0.1309966460027328,0.3742713880405054
always_close1,10,2025-05-03,0.3496807058390436,0.7204753305977761
always_close1,10,2025-05-10,0.38516822192181566,0.8890613360999136
always_close1,10,2025-05-17,0.176748746799173,0.19415805574934195
always_close1,10,2025-05-31,0.032569862914088824,0.37890491495534273
always_close1,10,2025-06-07,0.00879248492079815,0.681917100425498
always_close1,10,2025-06-14,0.23814259933837528,0.7259483308617347
always_close1,10,2025-06-21,-0.16294043189681476,0.7802032303053612
always_close1,10,2025-06-28,0.24090004171032478,0.7891255662167137
always_close1,10,2025-07-12,0.1685413819284937,0.4249891072906378
always_close1,10,2025-07-19,0.0,0.0
always_close1,10,2025-07-26,-0.009330221115212367,0.7464238310357252
always_close1,10,2025-08-02,0.5117785388553835,1.0
always_close1,10,2025-08-09,0.20358111632112655,0.6079588997523644
always_close1,10,2025-08-16,-0.16485118105810675,0.45369504754568524
always_close1,10,2025-08-23,0.06932166787730923,0.523626789977635
always_close1,10,2025-09-06,-0.010465933030021773,0.47853910518477066
always_close1,10,2025-09-13,-0.028213710208628548,0.8267559509102648
always_close1,10,2025-09-27,0.19401105065666402,0.5635788042910912
always_close1,10,2025-10-04,0.222404966833387,1.0
