strategy,scenario_pct,events,fights,log_loss,brier,accuracy,roi_on_stakes_pct,compounded_return_pct,max_drawdown_pct,bets,open_selection_pct
always_close1,0,49,440,0.5867919267592187,0.20001111129577584,0.6977272727272728,14.817882678632921,3905.388455647048,29.287454381456147,192,0.0
always_close1,10,49,440,0.5847097023142048,0.19913876577205344,0.6977272727272728,13.134118920686271,2228.5846212220213,40.531567063986365,194,0.0
always_close1,20,49,440,0.5829270803332766,0.19841219508965993,0.7022727272727273,13.72257768742133,2495.804420422816,41.09540121167328,196,0.0
always_close1,30,49,440,0.5813421648025908,0.19778383725974935,0.7045454545454546,12.729150692366098,1750.3453323933613,44.396046372156604,195,0.0
always_close1,40,49,440,0.579913565727133,0.19723388108621134,0.7,11.56064040029994,1066.7892800852906,45.203642856219595,190,0.0
always_close1,50,49,440,0.5786195701873545,0.19675216724804642,0.7045454545454546,10.872075824228949,784.9095597569758,49.22138381949049,184,0.0
always_close1,60,49,440,0.5774472536719123,0.19633299987881794,0.7045454545454546,9.091329216117996,393.76737451089224,51.780659160636525,178,0.0
always_close1,70,49,440,0.576388279403434,0.19597313087503312,0.7,7.456940500173192,166.62362244488014,58.78537013024868,169,0.0
always_close1,80,49,440,0.5754364345980739,0.19567067767033938,0.6954545454545454,5.754499107021276,60.553745632868214,65.38572775170695,157,0.0
always_close1,90,49,440,0.5745847288732705,0.19542406549353505,0.6909090909090909,5.45595032759707,57.08853452234093,62.22153453449242,149,0.0
always_close1,100,49,440,0.5738182604640883,0.19522982033412345,0.6931818181818182,4.775540609549712,35.26904076259767,64.41191895978339,137,0.0
always_open,0,49,440,0.5823128763668507,0.1979995002472316,0.7113636363636363,17.914804222884694,30039.489221514144,27.892962359290642,236,100.0
always_open,10,49,440,0.580507459355122,0.19726365017821013,0.7068181818181818,16.44457074347781,16041.380388925989,34.481343341913615,234,100.0
always_open,20,49,440,0.5789961595165175,0.19667232997268094,0.7045454545454546,15.904360464782162,12803.650682453199,35.43271889185979,230,100.0
always_open,30,49,440,0.5776825929240506,0.19617770909562138,0.7045454545454546,14.724665576601835,7633.478567462769,43.63117954136344,232,100.0
always_open,40,49,440,0.5765288208374423,0.1957610052516581,0.6977272727272728,13.316003196528634,4635.826261533176,46.28439005228934,229,100.0
always_open,50,49,440,0.5755158200772524,0.19541311710454468,0.6977272727272728,12.37656877566076,3159.3076248573416,47.19075743265534,224,100.0
always_open,60,49,440,0.5746331279460594,0.19512932042688277,0.7,11.628010216811631,2067.930409318053,47.89631747378894,214,100.0
always_open,70,49,440,0.5738749359979809,0.19490728452530573,0.7,10.38208447263052,1248.1995988063345,48.68388577047491,212,100.0
always_open,80,49,440,0.5732378644695829,0.19474603900126652,0.7,9.398965009896772,789.8705488619435,49.39351603722697,201,100.0
always_open,90,49,440,0.5727183692384588,0.19464496640920612,0.7022727272727273,8.849787861432045,608.1139262509018,47.188072802621775,194,100.0
always_open,100,49,440,0.5723063694944525,0.19460167740560633,0.7,7.393751498703718,282.2564036444847,54.21966341636424,183,100.0
switch_prediction,0,49,440,0.5823128763668507,0.1979995002472316,0.7113636363636363,17.914804222884694,30039.489221514144,27.892962359290642,236,100.0
switch_prediction,10,49,440,0.580507459355122,0.19726365017821013,0.7068181818181818,16.44457074347781,16041.380388925989,34.481343341913615,234,100.0
switch_prediction,20,49,440,0.5792413878632557,0.19679176237701645,0.7045454545454546,15.891177362872135,12755.981782389568,35.432718891859786,230,99.77272727272727
switch_prediction,30,49,440,0.577909981707321,0.19628501935463777,0.7045454545454546,14.705499549037617,7591.128402029145,43.63117954136343,232,99.77272727272727
switch_prediction,40,49,440,0.5767406745449621,0.1958573363235363,0.6977272727272728,13.269321377160004,4569.290184455677,46.28439005228934,229,99.77272727272727
