shift_pct,policy,switches,mean_expected_return_pct,events,mean_event_return_pct,compounded_return_pct,profitable_events,max_drawdown_pct
0.0,keep_opening,0,5.590662319897209,39,10.829021298248435,2034.1973961407296,22,35.3850701263376
0.0,always_close1,39,3.571143977999329,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
0.0,positive_expected_gain,6,5.757761544101761,39,11.118028996885334,2343.6203072293233,23,31.263816113166087
0.0,two_point_expected_gain,1,5.675100147389007,39,11.64529335630434,2786.5114087147085,23,29.60635621869494
0.5,keep_opening,0,5.5874880067225785,39,10.803355419120555,2016.002367888742,22,35.455605049097215
0.5,always_close1,39,3.586765316892987,39,1.523875732847812,-3.55007403801183,17,48.29893653423479
0.5,positive_expected_gain,6,5.7554573613638516,39,11.092898098195306,2322.9846184825938,23,31.29648393102864
0.5,two_point_expected_gain,1,5.6721330790935465,39,11.61980417423727,2762.017261418299,23,29.630393119543143
1.0,keep_opening,0,5.584232101366923,39,10.777638299011857,1997.9237571920955,22,35.52560456042531
1.0,always_close1,39,3.6025899729727544,39,1.5480966825162668,-2.8985819569087634,17,48.409380991298775
1.0,positive_expected_gain,6,5.7530654902676055,39,11.067688776199427,2302.4575945202578,23,31.3288963939544
1.0,two_point_expected_gain,1,5.6690818848788975,39,11.59425277693709,2737.6676698884207,23,29.654247747042128
1.5,keep_opening,0,5.580817416297499,39,10.751862318712318,1979.993707130799,22,35.59506879518376
1.5,always_close1,39,3.6186339113470356,39,1.5723630726888673,-2.244601693102144,17,48.51868380096664
1.5,positive_expected_gain,6,5.7505088119009535,39,11.042393576146253,2282.076733382996,23,31.361054529576403
1.5,two_point_expected_gain,1,5.665869387494034,39,11.568631584948559,2713.5064504622196,23,29.677920132053803
2.0,keep_opening,0,5.577313527151382,39,10.725866299405503,1962.0465524277647,22,35.663997851201316
2.0,always_close1,39,3.6348547029289504,39,1.5967017044592087,-1.5857334355639519,17,48.62685796915618
2.0,positive_expected_gain,6,5.747856970016767,39,11.016851480958746,2261.6529797739263,23,31.39295935209494
2.0,two_point_expected_gain,1,5.662565172665767,39,11.542779458475213,2689.3098454975425,23,29.70141030029694
2.5,keep_opening,0,5.573746438948742,39,10.700260130584532,1944.5265133033781,22,35.73239178893712
2.5,always_close1,39,3.651253191370374,39,1.621124977075292,-0.9222347008131182,17,48.73391628394892
2.5,positive_expected_gain,6,5.74511653813693,39,10.991572084499868,2241.6330595702952,23,31.42461186229547
2.5,two_point_expected_gain,1,5.659195255319357,39,11.517306325313994,2665.679075146339,23,29.72610521790735
3.0,keep_opening,0,5.570061340891115,39,10.674415220681976,1926.9848965367746,22,35.800250631767106
3.0,always_close1,39,3.667619845441974,39,1.6447256877758858,-0.28261364747882434,17,48.839871320617135
3.0,positive_expected_gain,6,5.742292193572384,39,10.966095764922624,2221.5956302104814,23,31.45601304776434
3.0,two_point_expected_gain,1,5.655704834375316,39,11.491583631489789,2642.0075182774676,23,29.76298340594813
