date,shift_pct,opening_fighters,opening_probability,opening_decimal_odds,opening_ev,opening_stake_fraction,opening_expected_return,opening_realized_return,opening_won,opening_expected_log_growth,close1_fighters,close1_probability,close1_decimal_odds,close1_ev,close1_stake_fraction,close1_expected_return,close1_realized_return,close1_won,close1_expected_log_growth,gain_ev,gain_expected_return,gain_expected_log_growth,gain_realized_return
2024-05-11,0.0,rodrigo nascimento | sean woodson,0.3613783132793115,3.6711111111111117,0.3266599411942728,0.12228619097685074,0.03994599995336967,-0.12228619097685074,False,0.018844949408255568,joaquin buckley | sean woodson,0.47390790704514135,2.2761130541639094,0.07866797369694267,0.06164279248472634,0.004849313577794547,0.07866317218487621,True,0.0024130870198923945,-0.2479919674973301,-0.03509668637557512,-0.016431862388363173,0.20094936316172696
2024-05-18,0.0,luana pinheiro | piera rodriguez,0.4148125331338988,4.033333333333333,0.6730772169733918,0.14583436009071066,0.09815778522895101,-0.14583436009071066,False,0.0596958380731064,luana pinheiro | themba gorimbo,0.44168392852993776,3.548275862068966,0.5672164222665723,0.16115372040815448,0.09140903672486089,-0.16115372040815448,False,0.053854383311580684,-0.10586079470681953,-0.006748748504090116,-0.005841454761525713,-0.015319360317443825
2024-06-15,0.0,brady hiestand | tatsuro taira,0.35860882607984285,4.129411764705883,0.4808435053414688,0.1472382871878924,0.07079857413190005,0.4607692281409339,True,0.03374187817428667,melquizael costa | tatsuro taira,0.5728479572334283,1.9560805454257175,0.12053674463117248,0.12606614393399404,0.015195602598008473,0.12052938765213003,True,0.00763182057482386,-0.3603067607102963,-0.05560297153389158,-0.026110057599462812,-0.34023984048880385
2024-06-22,0.0,muin gafurov | rinat fakhretdinov,0.4297596607729811,2.6173913043478256,0.12484919906667202,0.07718699769233561,0.009636734840249163,0.1248415788762993,True,0.004751231077425547,johnny walker | rinat fakhretdinov,0.4834512531698405,2.117415975556525,0.023667406864642526,0.021179187373779725,0.0005012564446377445,-0.021179187373779725,False,0.00025045688263856773,-0.1011817922020295,-0.009135478395611418,-0.004500774194786979,-0.14602076625007904
2024-06-29,0.0,ian machado garry | joe pyfer,0.47467630667720234,3.157554379776602,0.4988162511247818,0.17651495107756393,0.0880485261639847,0.3808406057934507,True,0.051151405479468434,gillian robertson | ian machado garry,0.554203465516289,2.197674418604651,0.21795877886719306,0.1819738923479604,0.0396628073618715,0.21794547571906883,True,0.01972660004694418,-0.2808574722575887,-0.0483857188021132,-0.03142480543252425,-0.16289513007438186
2024-07-20,0.0,cody durden | luana carolina,0.40130579071275135,3.4166666666666656,0.3711281182685666,0.15356088265070875,0.05699076141781772,-0.15356088265070875,False,0.026846555706493205,cody durden | steve garcia,0.4313580929928493,3.205263157894737,0.3826162033297116,0.17349079130093542,0.06638038788023126,-0.17349079130093542,False,0.03139160374239505,0.01148808506114496,0.009389626462413543,0.004545048035901847,-0.019929908650226674
2024-08-03,0.0,rolando bedoya | viktoriia dudakova,0.45209019870970985,3.357894736842105,0.5180712988252361,0.16835549848227946,0.08722015176308458,-0.16835549848227946,False,0.05012723420527815,rolando bedoya | sedriques dumas,0.5074792682239435,2.672727272727272,0.3563536805258123,0.20182913115240433,0.07192255372348616,-0.20182913115240433,False,0.03658573963264153,-0.16171761829942377,-0.015297598039598417,-0.01354149457263662,-0.033473632670124875
2024-08-10,0.0,yana santos | youssef zalal,0.4469156250353021,2.7091177556293835,0.21074705505134061,0.12329998408699659,0.025985108534211692,0.21073419207190633,True,0.012681714680508313,karol rosa | yana santos,0.4791776987729066,2.2215650591446767,0.06452443271524233,0.05281789453079641,0.0034080446818131388,0.06452049445640962,True,0.0016984728690507267,-0.14622262233609828,-0.022577063852398552,-0.010983241811457586,-0.1462136976154967
2024-08-24,0.0,caio borralho | edmen shahbazyan,0.4570180805214576,2.831314072693383,0.29396172285572053,0.16050975921553437,0.04718372535415535,-0.16050975921553437,False,0.02277081081073523,edmen shahbazyan | tabatha ricci,0.5367718874702407,1.9553571428571432,0.04958074424984593,0.051894433879568665,0.002572964654173434,-0.051894433879568665,False,0.001288109448237977,-0.2443809786058746,-0.04461076069998191,-0.021482701362497254,0.10861532533596571
2024-09-07,0.0,steve garcia | trevor peek,0.38073672532287584,3.1818181818181803,0.2114350351182408,0.0969018096510914,0.020488437526599595,-0.0969018096510914,False,0.009905607991041107,jaqueline amorim | steve garcia,0.6368284306997138,1.9180327868852458,0.22145780970272977,0.2412161048648825,0.05341919024840086,0.2214442929907118,True,0.027138091674401288,0.01002277458448897,0.032930752721801265,0.01723248368336018,0.3183461026418032
2024-09-14,0.0,diego lopes | norma dumont,0.42126801797131885,3.055555555555555,0.2872078326901406,0.13971420141820357,0.040127012985356016,0.28719030291519615,True,0.019260339646826496,merab dvalishvili | norma dumont,0.39153544579883454,3.191358024691358,0.24952978690121874,0.11386298085491031,0.02841220534866332,0.24951455681168616,True,0.013663084467929174,-0.037678045788921866,-0.011714807636692696,-0.005597255178897323,-0.03767574610350999
2024-10-05,0.0,iasmin lucindo | joaquin buckley,0.5181254790226084,3.055555555555555,0.5831611859024142,0.18122586552764733,0.10568389065729425,0.37251983469571937,True,0.06771420365841013,carla esparza | iasmin lucindo,0.44947000367678985,3.5551282051282054,0.5979234874304338,0.16059566393390298,0.09602391944556521,-0.16059566393390298,False,0.05816513361348079,0.014762301528019606,-0.00965997121172904,-0.009549070044929345,-0.5331154986296224
2024-10-12,0.0,tatsuro taira | themba gorimbo,0.6634516976933863,2.062937062937063,0.3686590966402026,0.26052515645727425,0.09604496883158617,-0.26052515645727425,False,0.06060701065809303,jonathan pearce | julia polastri,0.4644985643477894,2.7574468085106383,0.2808300838185853,0.15978460454715943,0.04487232388789829,-0.15978460454715943,False,0.02173187498623802,-0.08782901282161726,-0.05117264494368788,-0.03887513567185501,0.10074055191011483
2024-10-26,0.0,ismail naurdiev | lerone murphy,0.47094124479225086,3.55764705882353,0.6754427344138432,0.1599128747822998,0.10801198941093508,0.40900069385496446,True,0.06928836103946971,ilia topuria | ismail naurdiev,0.6128134840473772,2.0574671230408934,0.2608435959836237,0.24665322417205737,0.06433791395399431,0.26082767535398604,True,0.03236810063646235,-0.41459913843021945,-0.04367407545694077,-0.03692026040300736,-0.14817301850097842
2024-11-16,0.0,jonathan martinez | mickey gall,0.2605045471089495,4.928000000000001,0.2837664081529032,0.0722375479699193,0.020498589521197045,-0.0722375479699193,False,0.009623027207550691,charles oliveira | jonathan martinez,0.43010441206338434,2.6033057851239665,0.11969330413195078,0.07464951461094926,0.008935047055630854,-0.07464951461094926,False,0.004408523095137451,-0.16407310402095243,-0.011563542465566191,-0.00521450411241324,-0.0024119666410299667
2024-12-07,0.0,chris weidman | michael chiesa,0.32352903671555716,4.4,0.4235277615484516,0.12455938572510272,0.05275435781600291,-0.12455938572510272,False,0.024255011531908788,chris weidman | movsar evloev,0.5047761674878907,2.6173913043478256,0.3211967514248266,0.1985772683873946,0.06378237351284706,-0.1985772683873946,False,0.030965758083305553,-0.102331010123625,0.011028015696844147,0.006710746551396765,-0.07401788266229187
2025-01-11,0.0,nurullo aliev | roman kopylov,0.6032553390104008,1.7843137254901962,0.07639678137149963,0.09739995106456482,0.007441042767074322,0.07639211848201163,True,0.0037518301451058,cesar almeida | jose johnson,0.4832423305968616,2.1212121212121215,0.025059489144858116,0.02234899102583097,0.0005600542980103427,-0.02234899102583097,False,0.00027981775271825743,-0.05133729222664152,-0.006880988469063979,-0.0034720123923875426,-0.09874110950784261
2025-02-01,0.0,jasmine jasudavicius | nassourdine imavov,0.333645081366253,5.28,0.7616460296138159,0.12129027767997787,0.09238025842571237,0.5191223884703053,True,0.053347810604036386,fares ziam | nassourdine imavov,0.31948412426554895,4.83,0.5431083202026015,0.1327765600176079,0.07211205447344292,0.5085342248674383,True,0.03440686122539535,-0.21853770941121442,-0.020268203952269456,-0.018940949378641034,-0.010588163602867073
2025-02-15,0.0,gregory rodrigues | ketlen souza,0.32481824062109815,4.704000000000001,0.527945003881646,0.13519131160465475,0.07137357752988427,-0.13519131160465475,False,0.03379643045749976,ketlen souza | youssef zalal,0.5481440287073822,2.2714285714285714,0.245070008063911,0.1927399271060378,0.047234775490114296,-0.1927399271060378,False,0.023395461947967378,-0.282874995817735,-0.024138802039769973,-0.010400968509532385,-0.057548615501383044
2025-03-15,0.0,alexander hernandez | chidi njokuani,0.3805961944373676,4.321428571428571,0.6447192688186241,0.13969357540134297,0.09006313979141317,0.463982232583032,True,0.05186853890592871,chidi njokuani | josiane nunes,0.39963428424188235,4.085714285714285,0.6327915041882621,0.14516706412711886,0.09186048486759345,-0.14516706412711886,False,0.05375560532441931,-0.011927764630361937,0.0017973450761802762,0.001887066418490596,-0.6091492967101508
2025-03-29,0.0,manuel torres | raul rosas jr,0.5791831019904926,2.4823914823914817,0.4377591991262757,0.21672120088758576,0.09487169933423426,0.32126566224941033,True,0.05856318045348782,manuel torres | rafa garcia,0.584821256911901,2.2410256410256406,0.31059943215641383,0.23503129396446143,0.0730005864443489,0.29167986225333153,True,0.03844641655336438,-0.12715976696986186,-0.021871112889885358,-0.020116763900123444,-0.0295857999960788
2025-04-12,0.0,paddy pimblett | sean woodson,0.2977707168393861,4.708000000000001,0.40190453487983,0.10838187825613428,0.04355916836993401,-0.10838187825613428,False,0.020033291004085185,nikita krylov | sean woodson,0.5081307877019992,2.279190451478983,0.15812683943289074,0.12360722983331032,0.019545620584596284,-0.12360722983331032,False,0.009693673255899052,-0.24377769544693928,-0.024013547785337725,-0.010339617748186133,-0.015225351577176041
