date,shift_pct,ticket,fighter,decimal_odds,probability
2025-02-15,0.0,opening,gregory rodrigues,2.1,0.5822999000517955
2025-02-15,0.0,close1,ketlen souza,1.8928571428571428,0.6157249022214684
2025-02-15,0.0,close1,youssef zalal,1.2,0.8902417731193563
2025-03-15,0.0,opening,chidi njokuani,2.75,0.5414828863403793
2025-03-15,0.0,opening,alexander hernandez,1.5714285714285714,0.7028776052547717
2025-03-15,0.0,close1,chidi njokuani,2.6,0.5571520341331395
2025-03-15,0.0,close1,josiane nunes,1.5714285714285714,0.7172804903488587
2025-03-29,0.0,opening,manuel torres,1.9090909090909087,0.6613879531567111
2025-03-29,0.0,opening,raul rosas jr,1.3003003003003002,0.8757085750143069
2025-03-29,0.0,close1,manuel torres,1.7692307692307692,0.6931033121177177
2025-03-29,0.0,close1,rafa garcia,1.2666666666666666,0.8437721284652786
2025-04-12,0.0,opening,sean woodson,2.2,0.5472675470070989
2025-04-12,0.0,opening,paddy pimblett,2.14,0.5441044667600645
2025-04-12,0.0,close1,sean woodson,1.4878048780487805,0.72900989721622
2025-04-12,0.0,close1,nikita krylov,1.5319148936170213,0.6970149371666082
2025-04-26,0.0,opening,randy brown,1.5,0.7087288739827686
2025-04-26,0.0,opening,jaqueline amorim,1.2857142857142856,0.8265125857166571
2025-04-26,0.0,close1,randy brown,1.3003003003003002,0.7794862988215678
2025-04-26,0.0,close1,damon blackshear,1.1666666666666667,0.8615190340131998
2025-05-03,0.0,opening,reinier de ridder,2.7,0.5064366685551344
2025-05-03,0.0,opening,yana santos,1.9090909090909087,0.6127746283695777
2025-05-03,0.0,close1,yana santos,2.2,0.5510423273829096
2025-05-03,0.0,close1,gillian robertson,1.3703703703703702,0.7692213700282012
2025-06-07,0.0,opening,merab dvalishvili,1.3389830508474576,0.8389808600210381
2025-06-07,0.0,opening,joshua van,1.2857142857142856,0.8639323152614815
2025-06-07,0.0,close1,merab dvalishvili,1.3636363636363638,0.8237185535876237
2025-06-07,0.0,close1,serghei spivac,1.5555555555555556,0.6698828706684363
2025-06-14,0.0,opening,phil rowe,2.24,0.5098645605738431
2025-06-14,0.0,opening,michael chiesa,1.3636363636363638,0.8349476622970536
2025-06-14,0.0,close1,michael chiesa,1.2857142857142856,0.8567064793039436
2025-06-14,0.0,close1,jamey lyn horth,1.1430615164520743,0.8980560960020431
2025-06-21,0.0,opening,klaudia sygula,2.4,0.5015829284497424
2025-06-21,0.0,opening,ignacio bahamondes,2.1,0.551577275036873
2025-06-21,0.0,close1,ismail naurdiev,2.38,0.5022484797542354
2025-06-21,0.0,close1,hamdy abdelwahab,1.5555555555555556,0.7135253924251963
2025-06-28,0.0,opening,joshua van,1.8,0.6949802977383556
2025-06-28,0.0,opening,terrance mckinney,1.4878048780487805,0.7320529473093643
2025-06-28,0.0,close1,terrance mckinney,1.5555555555555556,0.7037866927115566
2025-06-28,0.0,close1,hyder amil,2.0,0.5264363816012213
2025-07-12,0.0,opening,steve garcia,1.6666666666666663,0.6853586812954329
2025-07-12,0.0,opening,gabriel bonfim,1.25,0.8424217631585222
2025-07-12,0.0,close1,steve garcia,1.6666666666666663,0.6870019150569331
2025-07-12,0.0,close1,jake matthews,1.925925925925926,0.5413485316596486
2025-07-26,0.0,opening,bryce mitchell,1.6993006993006992,0.6898821027900286
2025-07-26,0.0,opening,amanda ribas,1.5376344086021505,0.7044205377844764
2025-07-26,0.0,close1,bryce mitchell,1.6451612903225803,0.6963184450976435
2025-07-26,0.0,close1,reinier de ridder,2.2,0.5097964131522466
2025-10-18,0.0,opening,charles jourdain,1.5,0.7198392307597166
2025-10-18,0.0,opening,reinier de ridder,1.5714285714285714,0.6858423015979566
2025-10-18,0.0,close1,charles jourdain,1.526315789473684,0.7001661917591313
2025-10-18,0.0,close1,cody gibson,1.5,0.7053868932275319
2025-10-25,0.0,opening,ludovit klein,2.3,0.537590371905871
2025-10-25,0.0,opening,hamdy abdelwahab,1.434782608695652,0.7971153971894768
2025-10-25,0.0,close1,virna jandiroba,2.05,0.5695043435220055
2025-10-25,0.0,close1,quillan salkilld,1.7407407407407407,0.6279323827113057
2025-11-08,0.0,opening,denise gomes,1.5,0.7635888509349962
2025-11-08,0.0,opening,ricky simon,1.4761904761904765,0.7471317510634141
2025-11-08,0.0,close1,denise gomes,1.526315789473684,0.7498871270397488
2025-11-08,0.0,close1,gabriel bonfim,1.5714285714285714,0.72500806426883
2025-11-15,0.0,opening,bo nickal,1.625,0.7083822348265204
2025-11-15,0.0,opening,kyle daukaus,1.3846153846153846,0.7713285213001775
2025-11-15,0.0,close1,valentina shevchenko,1.6711409395973154,0.6287068719417928
2025-11-15,0.0,close1,bo nickal,1.3571428571428572,0.7733034032641698
2025-11-22,0.0,opening,tagir ulanbekov,1.5555555555555556,0.7587440924009674
2025-11-22,0.0,opening,waldo cortes acosta,1.9523809523809523,0.5621467663745755
2025-11-22,0.0,close1,tagir ulanbekov,1.425531914893617,0.7837339702058255
2025-11-22,0.0,close1,ismail naurdiev,1.7246376811594204,0.6288640570000682
2025-12-06,0.0,opening,maycee barber,1.7407407407407407,0.7114015242696217
2025-12-06,0.0,opening,terrance mckinney,2.3,0.5031132398815907
2025-12-06,0.0,close1,maycee barber,1.4444444444444444,0.782632059309913
2025-12-06,0.0,close1,grant dawson,1.3636363636363638,0.7933253472569961
2025-12-13,0.0,opening,melquizael costa,2.3,0.5496732649528958
2025-12-13,0.0,opening,kevin vallejos,1.4,0.7193102354169051
2025-12-13,0.0,close1,melquizael costa,1.5882352941176472,0.6958593106886267
2025-12-13,0.0,close1,tereza bleda,1.3636363636363638,0.7462081065823556
2026-01-24,0.0,opening,natalia silva,1.6666666666666663,0.689879778431388
2026-01-24,0.0,opening,waldo cortes acosta,1.5,0.7338328976063337
2026-01-24,0.0,close1,paddy pimblett,1.4,0.7608256453722229
2026-01-24,0.0,close1,waldo cortes acosta,1.2985074626865671,0.7932536028033115
2026-01-31,0.0,opening,tallison teixeira,1.3333333333333333,0.8057533779935135
2026-01-31,0.0,opening,benoit st denis,1.3773584905660377,0.7775918752554346
2026-01-31,0.0,close1,jacob malkoun,1.6756756756756757,0.6276598758790567
2026-01-31,0.0,close1,tallison teixeira,1.2857142857142856,0.8139355841092607
2024-05-11,0.5,opening,rodrigo nascimento,2.3599500000000004,0.5058072370288567
2024-05-11,0.5,opening,sean woodson,1.5544556301267711,0.7146547553581346
2024-05-11,0.5,close1,joaquin buckley,1.704082603730491,0.6163722623506119
2024-05-11,0.5,close1,sean woodson,1.3366703952274421,0.7687476021293079
2024-05-18,0.5,opening,luana pinheiro,2.1995,0.6501102824933228
2024-05-18,0.5,opening,piera rodriguez,1.8311666666666666,0.6387490368496299
2024-05-18,0.5,close1,luana pinheiro,2.1005000000000003,0.6511549889158126
2024-05-18,0.5,close1,themba gorimbo,1.6882068965517243,0.6789948119653748
2024-06-15,0.5,opening,brady hiestand,2.60075,0.5020301358121143
2024-06-15,0.5,opening,tatsuro taira,1.587180910099889,0.7142504042318583
2024-06-15,0.5,close1,melquizael costa,1.420769929593459,0.7459897904856871
2024-06-15,0.5,close1,tatsuro taira,1.3784128745837958,0.7674744283660011
2024-06-22,0.5,opening,rinat fakhretdinov,1.39926582278481,0.7579783742948363
2024-06-22,0.5,opening,muin gafurov,1.86778149386845,0.56763610568183
2024-06-22,0.5,close1,rinat fakhretdinov,1.253898734177215,0.810061464109567
2024-06-22,0.5,close1,johnny walker,1.6895402298850575,0.5967030513816797
2024-06-29,0.5,opening,ian machado garry,1.9499446290143965,0.7182993185608574
2024-06-29,0.5,opening,joe pyfer,1.615626102292769,0.6619932643565509
2024-06-29,0.5,close1,ian machado garry,1.4675526024363232,0.8154622815899465
2024-06-29,0.5,close1,gillian robertson,1.4992985611510792,0.6795620183942521
2024-07-20,0.5,opening,cody durden,1.668833333333333,0.7180345484580819
2024-07-20,0.5,opening,luana carolina,2.048083333333333,0.5589230342025187
2024-07-20,0.5,close1,cody durden,2.0978333333333334,0.6120031924580971
2024-07-20,0.5,close1,steve garcia,1.5273073989321126,0.7052866734206021
2024-08-03,0.5,opening,rolando bedoya,2.198545454545455,0.6076905517701878
2024-08-03,0.5,opening,viktoriia dudakova,1.525858123569794,0.7441895925238445
2024-08-03,0.5,close1,rolando bedoya,1.910545454545454,0.6448270641345729
2024-08-03,0.5,close1,sedriques dumas,1.3998181818181816,0.7868271727821857
2024-08-10,0.5,opening,yana santos,1.9508037609948436,0.5686791220381764
2024-08-10,0.5,opening,youssef zalal,1.3865063723558009,0.7868073418708016
2024-08-10,0.5,close1,yana santos,1.6385198665453442,0.6453608075158829
2024-08-10,0.5,close1,karol rosa,1.3585829493087558,0.7416024049061286
2024-08-24,0.5,opening,edmen shahbazyan,1.6737258687258687,0.6894252654290771
2024-08-24,0.5,opening,caio borralho,1.6876354679802956,0.6642231096935746
2024-08-24,0.5,close1,edmen shahbazyan,1.2876640926640925,0.8040238382647302
2024-08-24,0.5,close1,tabatha ricci,1.5216075450450455,0.6670123746203924
2024-09-07,0.5,opening,steve garcia,1.6655555555555552,0.6634754524109484
2024-09-07,0.5,opening,trevor peek,1.908545454545454,0.5742012670712252
2024-09-07,0.5,close1,jaqueline amorim,1.3272295081967211,0.8664346241903651
2024-09-07,0.5,close1,steve garcia,1.4455555555555555,0.7348631706888555
2024-09-14,0.5,opening,norma dumont,1.8328703703703704,0.638762635625654
2024-09-14,0.5,opening,diego lopes,1.6655555555555552,0.6598488516792858
2024-09-14,0.5,close1,norma dumont,1.7412037037037036,0.6492949597874534
2024-09-14,0.5,close1,merab dvalishvili,1.8316919191919192,0.6037575993381148
2024-10-05,0.5,opening,iasmin lucindo,1.8317307692307692,0.7246547816601845
2024-10-05,0.5,opening,joaquin buckley,1.6655072463768112,0.7158789852500189
2024-10-05,0.5,close1,carla esparza,2.3465833333333332,0.5612024467288209
2024-10-05,0.5,close1,iasmin lucindo,1.5144230769230769,0.8018523201043104
2024-10-12,0.5,opening,tatsuro taira,1.5117579117579116,0.7850099911250524
2024-10-12,0.5,opening,themba gorimbo,1.363068181818182,0.8456443915631304
2024-10-12,0.5,close1,jonathan pearce,1.532112462006079,0.7438383605056456
2024-10-12,0.5,close1,julia polastri,1.7993783783783783,0.6247053388169421
