date,target_pct_opening_ev,opening_expected_return_pct,starting_pct_opening_ev,required_movement_pct,achieved_pct_opening_ev,mean_absolute_decimal_change,status,stake_multiplier_to_hold_target,held_event_expected_return_pct,bankroll_after_event,bankroll_before_event,cumulative_return_pct
2024-05-11,50,5.705265828780047,18.6872900404499,29.0,69.97672286151888,0.0443748947089791,reached_on_grid,0.714523315116485,2.852632914390023,514.2631645719501,500.0,2.8526329143900186
2024-05-18,50,13.626687598196105,81.91660733316647,0.0,81.91660733316647,0.0,already_met,0.6103768408845706,6.813343799098052,549.3016820063585,514.2631645719501,9.860336401271708
2024-06-01,50,10.7761528215541,72.31940897507026,0.0,72.31940897507026,0.0,already_met,0.6913773315989883,5.38807641077705,578.8984763585447,549.3016820063585,15.779695271708949
2024-06-08,50,11.071862001659134,81.8931890550814,0.0,81.8931890550814,0.0,already_met,0.610551385004313,5.535931000829567,610.9458965746074,578.8984763585447,22.189179314921482
2024-06-15,50,9.19193707690762,24.864177854451604,79.0,50.12382909101464,0.2227977201784961,reached_on_grid,0.9975295364847367,4.59596853845381,639.0247777681509,610.9458965746074,27.804955553630183
2024-06-22,50,1.931597109907606,12.543537865771029,44.0,50.00862672266947,0.0830950723084582,reached_on_grid,0.9998274953096131,0.965798554953803,645.1964698376324,639.0247777681509,29.03929396752649
2024-06-29,50,10.275852726663912,56.07128313012417,0.0,56.07128313012417,0.0,already_met,0.8917220582230195,5.137926363331956,678.3461893567072,645.1964698376324,35.669237871341444
2024-07-13,50,5.625121343186826,66.88624852770012,0.0,66.88624852770012,0.0,already_met,0.7475378138346795,2.812560671593413,697.4250874958066,678.3461893567072,39.485017499161316
2024-07-20,50,10.5711947050124,75.34115696827945,0.0,75.34115696827945,0.0,already_met,0.6636478919623079,5.2855973525062,734.2881694561991,697.4250874958066,46.8576338912398
2024-07-27,50,10.536022782390198,48.19498771341576,3.0,50.6652296074958,0.0132788256715985,reached_on_grid,0.9868700958695076,5.268011391195099,772.9705538673496,734.2881694561991,54.594110773469914
2024-08-03,50,13.211115852895784,71.65583459894553,0.0,71.65583459894553,0.0,already_met,0.6977798846367185,6.605557926447892,824.0295715574425,772.9705538673496,64.8059143114885
2024-08-10,50,4.381667461340961,15.618253316615318,42.0,50.10924085043281,0.1874659589984054,reached_on_grid,0.9978199460103799,2.1908337306704806,842.0826893618224,824.0295715574425,68.41653787236449
2024-08-17,50,16.850838688982776,63.17733034269378,0.0,63.17733034269378,0.0,already_met,0.791423121692294,8.425419344491388,913.0316871679267,842.0826893618224,82.60633743358534
2024-08-24,50,6.789274305739957,9.489138127807074,44.0,50.51089096702884,0.3532252357760445,reached_on_grid,0.989885528501916,3.3946371528699784,944.0258000380048,913.0316871679267,88.80516000760097
