target_pct_opening_ev,bankroll_after_event,cumulative_return_pct
50,11450.521949899474,2190.1043899798947
60,20995.292641410022,4099.058528282004
70,38255.10911421203,7551.0218228424055
80,69277.45163522866,13755.490327045733
90,124707.02659071394,24841.405318142788
100,223175.12722502474,44535.02544500495
