,y_pred,y_true,test_open_odds,p_red,p_blue,p_red_model,p_blue_model,pred_conf,confidence,uncertainty,agreement,set_size,gap
0,0,1.0,0.6666666666666663,0.23952095808383234,0.48346784691486594,0.43385648955918726,0.5661435104408128,0,0.48346784691486594,0.23952095808383234,1,2,0.2439468888310336
1,1,1.0,0.5319148936170213,0.7596979953137204,0.07211663629263212,0.7099739946936531,0.2900260053063469,1,0.7596979953137204,0.07211663629263212,1,1,0.6875813590210883
2,1,1.0,0.6134969325153374,0.6006248372819578,0.14865920333246552,0.6339058183818745,0.36609418161812546,1,0.6006248372819578,0.14865920333246552,1,2,0.4519656339494923
3,1,0.0,0.5,0.9463681332986201,0.008591512626920072,0.819554819479007,0.180445180520993,1,0.9463681332986201,0.008591512626920072,1,1,0.9377766206717001
4,1,1.0,0.7246376811594204,0.42879458474355636,0.27675084613381934,0.5456922594498875,0.45430774055011247,1,0.42879458474355636,0.27675084613381934,1,2,0.15204373860973702
5,0,0.0,0.5714285714285714,0.2517573548555064,0.4561312158292111,0.4446070931586349,0.5553929068413651,0,0.4561312158292111,0.2517573548555064,1,2,0.20437386097370475
6,1,1.0,0.5,0.7401718302525384,0.08357198646185889,0.6998738038141723,0.3001261961858277,1,0.7401718302525384,0.08357198646185889,1,1,0.6565998437906795
7,0,1.0,0.42553191489361697,0.06873210101536058,0.7711533454829471,0.2875355003113842,0.7124644996886158,0,0.7711533454829471,0.06873210101536058,1,1,0.7024212444675866
8,0,0.0,0.5,0.014579536579015881,0.9198125488154126,0.20659056830735353,0.7934094316926464,0,0.9198125488154126,0.014579536579015881,1,1,0.9052330122363967
9,1,0.0,0.6134969325153374,0.5206977349648529,0.20541525644363448,0.595083286824433,0.404916713175567,1,0.5206977349648529,0.20541525644363448,1,2,0.3152824785212185
10,1,0.0,0.5319148936170213,0.7318406664931008,0.08591512626920073,0.6954429283791882,0.3045570716208118,1,0.7318406664931008,0.08591512626920073,1,1,0.6459255402239
11,1,1.0,0.7246376811594204,0.4816454048424889,0.23821921374642022,0.5715970180379167,0.42840298196208326,1,0.4816454048424889,0.23821921374642022,1,2,0.2434261910960687
12,0,0.0,0.9090909090909087,0.3199687581359021,0.39104399895860453,0.46424669854931866,0.5357533014506813,0,0.39104399895860453,0.3199687581359021,1,2,0.07107524082270245
13,1,1.0,0.3999999999999999,0.6198906534756574,0.14215048164540484,0.6414815131703434,0.3585184868296566,1,0.6198906534756574,0.14215048164540484,1,2,0.4777401718302526
14,1,0.0,0.6134969325153374,0.4152564436344702,0.29966154647227283,0.5350734357567902,0.4649265642432098,1,0.4152564436344702,0.29966154647227283,1,2,0.11559489716219734
15,0,0.0,0.4444444444444444,0.03722988804998698,0.8484769591252278,0.24875179687680868,0.7512482031231913,0,0.8484769591252278,0.03722988804998698,1,1,0.8112470710752409
16,1,0.0,0.3999999999999999,0.6860192658161937,0.1072637334027597,0.6725868309157244,0.32741316908427565,1,0.6860192658161937,0.1072637334027597,1,2,0.5787555324134339
17,0,0.0,0.3999999999999999,0.2559229367352252,0.462119239781307,0.43781485309652246,0.5621851469034775,0,0.462119239781307,0.2559229367352252,1,2,0.20619630304608177
18,0,0.0,0.4761904761904765,0.13824524863316845,0.6240562353553762,0.35998657921138033,0.6400134207886197,0,0.6240562353553762,0.13824524863316845,1,2,0.4858109867222078
19,1,1.0,0.8,0.7703722988804999,0.07003384535277271,0.7019611666800707,0.2980388333199293,1,0.7703722988804999,0.07003384535277271,1,1,0.7003384535277272
20,1,0.0,0.5376344086021505,0.7508461338193179,0.07784431137724551,0.7056314699826421,0.29436853001735785,1,0.7508461338193179,0.07784431137724551,1,1,0.6730018224420724
21,1,0.0,0.2597402597402598,0.6797708929966154,0.11455350169226763,0.665703772951125,0.33429622704887496,1,0.6797708929966154,0.11455350169226763,1,2,0.5652173913043478
22,1,0.0,0.5,0.9015881280916428,0.017703722988804998,0.7863701557064138,0.21362984429358622,1,0.9015881280916428,0.017703722988804998,1,1,0.8838844051028378
23,0,1.0,0.4444444444444444,0.011195001301744337,0.9406404582140068,0.18696770587740671,0.8130322941225933,0,0.9406404582140068,0.011195001301744337,1,1,0.9294454569122624
24,1,0.0,0.22222222222222232,0.7880760218693049,0.060661286123405364,0.7160357780160913,0.2839642219839087,1,0.7880760218693049,0.060661286123405364,1,1,0.7274147357458995
25,1,0.0,0.9523809523809523,0.6409789117417339,0.13121582921114294,0.6362194470231384,0.3637805529768616,1,0.6409789117417339,0.13121582921114294,1,2,0.509763082530591
26,1,1.0,0.36363636363636376,0.938297318406665,0.010153605831814632,0.8125037722474101,0.1874962277525899,1,0.938297318406665,0.010153605831814632,1,1,0.9281437125748503
27,0,0.0,0.5,0.16297839104399897,0.5816193699557407,0.3801473048487819,0.6198526951512181,0,0.5816193699557407,0.16297839104399897,1,2,0.41864097891174173
28,1,1.0,0.8333333333333333,0.5857849518354595,0.159333506899245,0.6114874388059787,0.38851256119402133,1,0.5857849518354595,0.159333506899245,1,2,0.42645144493621456
29,0,0.0,0.4444444444444444,0.3431398073418381,0.35667794845092426,0.4953786409548281,0.5046213590451719,0,0.35667794845092426,0.3431398073418381,1,2,0.013538141109086188
30,0,0.0,0.6666666666666663,0.08305128872689403,0.7414735745899506,0.30638841772972397,0.693611582270276,0,0.7414735745899506,0.08305128872689403,1,1,0.6584222858630565
31,1,1.0,0.5319148936170213,0.6920072897682895,0.10283780265555845,0.6766851977119095,0.3233148022880905,1,0.6920072897682895,0.10283780265555845,1,2,0.5891694871127311
32,0,0.0,0.7246376811594204,0.1812028117677688,0.5529809945326738,0.39701545540086214,0.6029845445991379,0,0.5529809945326738,0.1812028117677688,1,2,0.371778182764905
33,1,1.0,0.36363636363636376,0.9086175475136683,0.015881280916428014,0.7910491449921849,0.20895085500781507,1,0.9086175475136683,0.015881280916428014,1,1,0.8927362665972403
34,0,0.0,0.36363636363636376,0.02733663108565478,0.8755532413434002,0.23078560502735335,0.7692143949726467,0,0.8755532413434002,0.02733663108565478,1,1,0.8482166102577454
35,0,0.0,0.7246376811594204,0.3311637594376464,0.3728195782348347,0.49249610026376184,0.5075038997362382,0,0.3728195782348347,0.3311637594376464,1,2,0.04165581879718827
36,1,0.0,1.15,0.3954699297058058,0.31944806040093726,0.5278046440806463,0.4721953559193537,1,0.3954699297058058,0.31944806040093726,1,2,0.07602186930486854
37,1,1.0,0.3003003003003002,0.9375162718042177,0.010153605831814632,0.8121693119452709,0.18783068805472913,1,0.9375162718042177,0.010153605831814632,1,1,0.927362665972403
38,1,0.0,0.25,0.7914605571465764,0.06040093725592294,0.7210525501322802,0.2789474498677198,1,0.7914605571465764,0.06040093725592294,1,1,0.7310596198906534
39,1,1.0,0.5,0.7948450924238479,0.06170268159333507,0.7254833947328211,0.2745166052671789,1,0.7948450924238479,0.06170268159333507,1,1,0.7331424108305129
40,0,1.0,0.5319148936170213,0.1377245508982036,0.626399375162718,0.35808149766247543,0.6419185023375246,0,0.626399375162718,0.1377245508982036,1,2,0.4886748242645145
41,0,0.0,0.9523809523809523,0.26060921634990886,0.44936214527466806,0.43285492282211097,0.567145077177889,0,0.44936214527466806,0.26060921634990886,1,2,0.1887529289247592
42,1,1.0,0.6134969325153374,0.5524602967977089,0.17859932309294455,0.6105748683987877,0.3894251316012123,1,0.5524602967977089,0.17859932309294455,1,2,0.37386097370476434
43,1,1.0,0.36363636363636376,0.9203332465503775,0.014579536579015881,0.797425949319508,0.20257405068049195,1,0.9203332465503775,0.014579536579015881,1,1,0.9057537099713616
44,1,1.0,0.5,0.5363186670137985,0.19578234834678468,0.6028087003559406,0.3971912996440594,1,0.5363186670137985,0.19578234834678468,1,2,0.34053631866701384
45,1,1.0,1.0,0.42462900286383753,0.28091642801353817,0.5488019143832638,0.45119808561673624,1,0.42462900286383753,0.28091642801353817,1,2,0.14371257485029937
46,0,0.0,0.7518796992481205,0.25618328560270764,0.458474355636553,0.448050506517845,0.5519494934821549,0,0.458474355636553,0.25618328560270764,1,2,0.20229107003384533
47,1,1.0,0.36363636363636376,0.7570945066388961,0.07393907836500911,0.7091931322593215,0.29080686774067854,1,0.7570945066388961,0.07393907836500911,1,1,0.683155428273887
48,1,0.0,1.0499999999999998,0.6362926321270502,0.1476178078625358,0.6499088290267929,0.3500911709732071,1,0.6362926321270502,0.1476178078625358,1,2,0.4886748242645144
49,1,1.0,0.5714285714285714,0.34600364488414476,0.3553762041135121,0.5003529844418985,0.49964701555810154,0,0.3553762041135121,0.34600364488414476,0,2,0.009372559229367361
50,0,0.0,0.5376344086021505,0.24655037750585784,0.4717521478781567,0.4380805409759496,0.5619194590240504,0,0.4717521478781567,0.24655037750585784,1,2,0.22520177037229888
51,1,1.0,0.2666666666666666,0.9947930226503515,0.000520697734964853,0.899066517189144,0.10093348281085601,1,0.9947930226503515,0.000520697734964853,1,1,0.9942723249153866
52,1,1.0,0.5,0.6172871648008331,0.13902629523561572,0.6440052246488056,0.3559947753511944,1,0.6172871648008331,0.13902629523561572,1,2,0.4782608695652174
53,1,1.0,0.5882352941176472,0.9250195261650612,0.011976047904191617,0.8041444012729821,0.19585559872701785,1,0.9250195261650612,0.011976047904191617,1,1,0.9130434782608696
54,1,1.0,0.3003003003003002,0.8903931267898985,0.022390002603488675,0.7782538491099839,0.22174615089001615,1,0.8903931267898985,0.022390002603488675,1,1,0.8680031241864098
55,0,0.0,0.22222222222222232,0.018745118458734705,0.9107003384535277,0.208886378188825,0.791113621811175,0,0.9107003384535277,0.018745118458734705,1,1,0.891955219994793
56,1,1.0,0.8,0.7695912522780526,0.07133558969018484,0.7117663218285751,0.28823367817142487,1,0.7695912522780526,0.07133558969018484,1,1,0.6982556625878678
57,1,1.0,0.5714285714285714,0.5076802915907316,0.21765165321530852,0.5884479712850367,0.4115520287149633,1,0.5076802915907316,0.21765165321530852,1,2,0.29002863837542303
58,0,1.0,0.8,0.24785212184327,0.4655037750585785,0.44338048946555636,0.5566195105344436,0,0.4655037750585785,0.24785212184327,1,2,0.2176516532153085
59,1,0.0,0.5319148936170213,0.6183285602707628,0.1387659463681333,0.6437615085396894,0.3562384914603106,1,0.6183285602707628,0.1387659463681333,1,2,0.47956261390262944
60,1,1.0,0.5714285714285714,0.568341577714137,0.17391304347826086,0.6178054507822337,0.3821945492177663,1,0.568341577714137,0.17391304347826086,1,2,0.3944285342358761
61,0,1.0,0.5714285714285714,0.25514189013277794,0.45040354074459776,0.44802946019161094,0.5519705398083891,0,0.45040354074459776,0.25514189013277794,1,2,0.19526165061181983
62,0,1.0,0.6666666666666663,0.25514189013277794,0.453007029419422,0.4474600641280458,0.5525399358719543,0,0.453007029419422,0.25514189013277794,1,2,0.19786513928664407
63,0,0.0,0.5,0.08851861494402499,0.7219474095287686,0.31310187767354686,0.6868981223264532,0,0.7219474095287686,0.08851861494402499,1,1,0.6334287945847435
64,0,1.0,0.6666666666666663,0.281437125748503,0.44233272585264255,0.45779917442853096,0.542200825571469,0,0.44233272585264255,0.281437125748503,1,2,0.16089560010413956
65,0,1.0,0.3999999999999999,0.011976047904191617,0.9247591772975787,0.19879777284041666,0.8012022271595833,0,0.9247591772975787,0.011976047904191617,1,1,0.9127831293933871
66,1,1.0,0.4444444444444444,0.5938557667274147,0.15334548294714917,0.6308208690192064,0.3691791309807936,1,0.5938557667274147,0.15334548294714917,1,2,0.4405102837802655
67,1,1.0,0.36363636363636376,0.9146055714657642,0.015360583181463161,0.7941117891641465,0.2058882108358535,1,0.9146055714657642,0.015360583181463161,1,1,0.899244988284301
68,0,0.0,0.5,0.3210101536058318,0.38427492840406147,0.4822148380626233,0.5177851619373768,0,0.38427492840406147,0.3210101536058318,1,2,0.06326477479822967
69,1,1.0,0.3003003003003002,0.9638115074199427,0.006248372819578235,0.8366821076708094,0.16331789232919058,1,0.9638115074199427,0.006248372819578235,1,1,0.9575631346003645
70,1,1.0,0.2777777777777777,0.9026295235615726,0.016922676386357718,0.7862042460178057,0.2137957539821943,1,0.9026295235615726,0.016922676386357718,1,1,0.8857068471752149
71,0,0.0,0.25,0.31528247852121843,0.4019786513928664,0.4699184863948149,0.5300815136051851,0,0.4019786513928664,0.31528247852121843,1,2,0.08669617287164799
72,1,1.0,0.2941176470588236,0.9239781306951315,0.011976047904191617,0.8017332420245146,0.19826675797548543,1,0.9239781306951315,0.011976047904191617,1,1,0.9120020827909399
73,0,0.0,0.40816326530612246,0.24238479562613902,0.470710752408227,0.43352221514870376,0.5664777848512963,0,0.470710752408227,0.24238479562613902,1,2,0.228325956782088
74,1,1.0,0.6451612903225803,0.6344701900546733,0.13251757354855506,0.6509149914795224,0.34908500852047764,1,0.6344701900546733,0.13251757354855506,1,2,0.5019526165061182
75,1,1.0,0.5405405405405406,0.6685758916948711,0.11845873470450403,0.6665000198853945,0.33349998011460547,1,0.6685758916948711,0.11845873470450403,1,2,0.550117156990367
76,1,0.0,0.4444444444444444,0.8599323092944545,0.03827128351991669,0.7604847253350724,0.2395152746649276,1,0.8599323092944545,0.03827128351991669,1,1,0.8216610257745378
77,1,1.0,0.2816901408450705,0.8411871908357199,0.0403540744597761,0.7466588693760826,0.2533411306239174,1,0.8411871908357199,0.0403540744597761,1,1,0.8008331163759438
78,1,1.0,0.3508771929824559,0.9208539442853424,0.014058838844051028,0.7994267372937849,0.20057326270621512,1,0.9208539442853424,0.014058838844051028,1,1,0.9067951054412914
79,0,0.0,0.37037037037037024,0.21036188492580057,0.5316323873991148,0.4070438194257048,0.5929561805742952,0,0.5316323873991148,0.21036188492580057,1,2,0.32127050247331423
80,0,0.0,0.28985507246376807,0.08513407966675345,0.736266597240302,0.3029083137909672,0.6970916862090328,0,0.736266597240302,0.08513407966675345,1,1,0.6511325175735485
81,1,1.0,0.5405405405405406,0.6597240302004687,0.11923978130695131,0.6629293748851843,0.33707062511481567,1,0.6597240302004687,0.11923978130695131,1,2,0.5404842488935173
