title_fight,fighter_red,fighter_blue,weight_class,event_date,event_location,reach_red,reach_blue,height_red,height_blue,dob_red,dob_blue
1,Justin Gaethje,Paddy Pimblett,Lightweight,2026-01-24," Las Vegas, Nevada, USA","70""","73""","5' 11""","5' 10""","Nov 14, 1988","Jan 03, 1995"
1,Kayla Harrison,Amanda Nunes,Women's Bantamweight,2026-01-24," Las Vegas, Nevada, USA","66""","69""","5' 8""","5' 8""","Jul 02, 1990","May 30, 1988"
1,Sean O'Malley,Song Yadong,Bantamweight,2026-01-24," Las Vegas, Nevada, USA","72""","67""","5' 11""","5' 8""","Oct 24, 1994","Dec 02, 1997"
1,Waldo Cortes Acosta,Derrick Lewis,Heavyweight,2026-01-24," Las Vegas, Nevada, USA","78""","79""","6' 4""","6' 3""","Oct 03, 1991","Feb 07, 1985"
1,Arnold Allen,Jean Silva,Featherweight,2026-01-24," Las Vegas, Nevada, USA","70""","69""","5' 8""","5' 7""","Jan 22, 1994","Dec 27, 1996"
1,Natalia Silva,Rose Namajunas,Women's Flyweight,2026-01-24," Las Vegas, Nevada, USA","65""","65""","5' 4""","5' 5""","Feb 03, 1997","Jun 29, 1992"
1,Umar Nurmagomedov,Deiveson Figueiredo,Bantamweight,2026-01-24," Las Vegas, Nevada, USA","69""","68""","5' 8""","5' 5""","Jan 03, 1996","Dec 18, 1987"
1,Ateba Gautier,Andrey Pulyaev,Middleweight,2026-01-24," Las Vegas, Nevada, USA","81""","78""",,"6' 4""","Apr 10, 2002","Sep 10, 1997"
1,Michael Johnson,Alexander Hernandez,Lightweight,2026-01-24," Las Vegas, Nevada, USA","73""","72""","5' 10""","5' 9""","Jun 04, 1986","Oct 01, 1992"
1,Nikita Krylov,Modestas Bukauskas,Light Heavyweight,2026-01-24," Las Vegas, Nevada, USA","77""","76""","6' 3""","6' 3""","Mar 07, 1992","Feb 10, 1994"
1,Alex Perez,Charles Johnson,Flyweight,2026-01-24," Las Vegas, Nevada, USA","65""","70""","5' 6""","5' 9""","Mar 21, 1992","Jan 10, 1991"
1,Josh Hokit,Denzel Freeman,Heavyweight,2026-01-24," Las Vegas, Nevada, USA","73""","77""","6' 1""","6' 1""","Nov 12, 1997","Nov 10, 1991"
1,Ricky Turcios,Cameron Smotherman,Bantamweight,2026-01-24," Las Vegas, Nevada, USA","71""","69""","5' 9""","5' 9""","Jun 05, 1993","Sep 17, 1997"
1,Alexander Volkanovski,Diego Lopes,Featherweight,2026-01-31," Sydney, New South Wales, Australia","71""","72""","5' 6""","5' 11""","Sep 29, 1988","Dec 30, 1994"
1,Dan Hooker,Benoit Saint Denis,Lightweight,2026-01-31," Sydney, New South Wales, Australia","75""","73""","6' 0""","5' 11""","Feb 13, 1990","Dec 18, 1995"
1,Rafael Fiziev,Mauricio Ruffy,Lightweight,2026-01-31," Sydney, New South Wales, Australia","71""","75""","5' 8""","5' 11""","Mar 05, 1993","Jun 17, 1996"
1,Tai Tuivasa,Tallison Teixeira,Heavyweight,2026-01-31," Sydney, New South Wales, Australia","75""","83""","6' 2""","6' 7""","Mar 16, 1993","Dec 07, 1999"
1,Jimmy Crute,Dustin Jacoby,Light Heavyweight,2026-01-31," Sydney, New South Wales, Australia","74""","76""","6' 2""","6' 3""","Mar 04, 1996","Apr 04, 1988"
1,Quillan Salkilld,Rongzhu,Lightweight,2026-01-31," Sydney, New South Wales, Australia","75""","71""","6' 0""","5' 9""","Dec 28, 1999","Mar 07, 2000"
1,Junior Tafa,Billy Elekana,Light Heavyweight,2026-01-31," Sydney, New South Wales, Australia","75""","77""","6' 3""","6' 3""","Sep 21, 1996","May 28, 1995"
1,Cam Rowston,Cody Brundage,Middleweight,2026-01-31," Sydney, New South Wales, Australia","78""","72""","6' 3""","6' 0""","Jan 19, 1995","May 16, 1994"
1,Jacob Malkoun,Torrez Finney,Middleweight,2026-01-31," Sydney, New South Wales, Australia","73""","75""",,,"Aug 26, 1995","Oct 24, 1998"
1,Jonathan Micallef,Oban Elliott,Welterweight,2026-01-31," Sydney, New South Wales, Australia","77""","72""","6' 0""","6' 0""","Mar 05, 1999","Dec 19, 1997"
1,Kaan Ofli,Yizha,Featherweight,2026-01-31," Sydney, New South Wales, Australia","66""","71""","5' 7""","5' 7""","Jun 19, 1993","Jan 08, 1997"
1,Sangwook Kim,Dom Mar Fan,Lightweight,2026-01-31," Sydney, New South Wales, Australia","71""","75""","6' 0""","5' 11""","Oct 17, 1993","Mar 19, 2000"
1,Keiichiro Nakamura,Sebastian Szalay,Featherweight,2026-01-31," Sydney, New South Wales, Australia","70""","66""","5' 10""","5' 6""","Dec 02, 1998","Feb 03, 1994"
1,Sulangrangbo,Lawrence Lui,Bantamweight,2026-01-31," Sydney, New South Wales, Australia","66""","72""","5' 9""","5' 7""","Jul 17, 2005","Aug 04, 1996"
1,Aaron Tau,Namsrai Batbayar,Flyweight,2026-01-31," Sydney, New South Wales, Australia","66""","68""","5' 4""","5' 4""","Aug 21, 1993","Dec 29, 2000"
0,Mario Bautista,Vinicius Oliveira,Bantamweight,2026-02-07," Las Vegas, Nevada, USA","69""","70""","5' 9""","5' 9""","Jul 01, 1993","Nov 30, 1995"
0,Amir Albazi,Kyoji Horiguchi,Flyweight,2026-02-07," Las Vegas, Nevada, USA","68""","63""","5' 5""","5' 4""","Oct 27, 1993","Oct 12, 1990"
0,Ryan Spann,Rizvan Kuniev,Heavyweight,2026-02-07," Las Vegas, Nevada, USA","79""","76""","6' 5""","6' 4""","Aug 24, 1991","Mar 10, 1992"
0,Michal Oleksiejczuk,Marc-Andre Barriault,Middleweight,2026-02-07," Las Vegas, Nevada, USA","74""","74""","6' 0""","6' 1""","Feb 22, 1995","Feb 18, 1990"
0,Jean Matsumoto,Farid Basharat,Bantamweight,2026-02-07," Las Vegas, Nevada, USA","68""","71""","5' 6""","5' 8""","Sep 09, 1999","Aug 02, 1997"
0,Uran Satybaldiev,Julius Walker,Light Heavyweight,2026-02-07," Las Vegas, Nevada, USA","79""","78""","6' 4""","6' 4""","Aug 10, 1994","Jul 16, 1999"
0,Sean Strickland,Anthony Hernandez,Middleweight,2026-02-21," Houston, Texas, USA","76""","75""","6' 1""","6' 0""","Feb 27, 1991","Oct 18, 1993"
0,Ode Osbourne,Alibi Idiris,Flyweight,2026-02-21," Houston, Texas, USA","73""","68""","5' 7""","5' 6""","Jan 09, 1992","Oct 22, 1994"
0,Brandon Moreno,Asu Almabayev,Flyweight,2026-02-28," Mexico City, Distrito Federal, Mexico","70""","65""","5' 7""","5' 4""","Dec 07, 1993","Jan 25, 1994"
0,Max Holloway,Charles Oliveira,Lightweight,2026-03-07," Las Vegas, Nevada, USA","69""","74""","5' 11""","5' 10""","Dec 04, 1991","Oct 17, 1989"
