,y_pred,y_true,choice_netodds_close1,choice_netodds_close2,p_red,p_blue,p_red_model,p_blue_model,pred_conf,confidence,uncertainty,agreement,set_size,gap,prob_conf_red,prob_conf_blue,ev_conf,ev_raw,conf_bin,bin
0,0,1.0,0.6451612903225803,0.7692307692307692,0.30039525691699603,0.3965744400527009,0.49518081906403016,0.5048191809359699,0,0.3965744400527009,0.30039525691699603,1,2,0.0961791831357049,0.3506819145062952,0.6493180854937047,0.06823297936061079,-0.16949102491179163,1,"(0.385, 0.409]"
1,1,1.0,0.3999999999999999,0.42553191489361697,0.6827404479578393,0.10144927536231885,0.6910793256462088,0.3089206743537912,1,0.6827404479578393,0.10144927536231885,1,2,0.5812911725955204,0.9999839164131173,1.6083586882519618e-05,0.3999774829783642,-0.03248894409530778,9,"(0.681, 0.711]"
2,0,1.0,0.6944444444444444,0.7407407407407407,0.28748353096179186,0.4134387351778656,0.4632230549108777,0.5367769450891223,0,0.4134387351778656,0.28748353096179186,1,2,0.12595520421607376,0.23650008371113868,0.7634999162888613,0.29370819148945937,-0.09046128748787607,1,"(0.409, 0.426]"
3,1,0.0,0.7246376811594204,0.9523809523809523,0.46271409749670617,0.23794466403162054,0.5555269505272525,0.44447304947274746,1,0.46271409749670617,0.23794466403162054,1,2,0.22476943346508563,0.8944834321606042,0.10551656783939584,0.5426598322769842,-0.04191728822111512,3,"(0.457, 0.472]"
4,1,1.0,0.5319148936170213,0.5882352941176472,0.5172595520421608,0.19815546772068512,0.6339064354227569,0.36609356457724307,1,0.5172595520421608,0.19815546772068512,1,2,0.31910408432147563,0.9850769700785182,0.014923029921481775,0.509054081822411,-0.02890929041620216,4,"(0.517, 0.53]"
5,1,0.0,0.3999999999999999,0.4716981132075473,0.6347826086956522,0.12832674571805006,0.6487841055059119,0.3512158944940881,1,0.6347826086956522,0.12832674571805006,1,2,0.5064558629776021,0.9994316742818475,0.000568325718152534,0.3992043439945865,-0.09170225229172335,8,"(0.634, 0.647]"
6,1,1.0,1.23,1.35,0.36495388669301715,0.3325428194993412,0.5297395731548243,0.47026042684517566,1,0.36495388669301715,0.3325428194993412,1,2,0.032411067193675924,0.6289762463555671,0.3710237536444329,0.40261702937291477,0.18131924813525824,0,"(0.346, 0.367]"
7,1,1.0,0.8333333333333333,1.15,0.7552042160737813,0.07140974967061924,0.7054685538557308,0.2945314461442692,1,0.7552042160737813,0.07140974967061924,1,1,0.6837944664031621,0.9999999415853204,5.8414679677105873e-08,0.8333332262397539,0.29335901540217313,11,"(0.745, 0.758]"
8,0,0.0,0.5376344086021505,0.6451612903225803,0.14545454545454545,0.5968379446640316,0.37116213514845786,0.6288378648515421,0,0.5968379446640316,0.14545454545454545,1,2,0.45138339920948617,0.002383754207480448,0.9976162457925195,0.5339690661110783,-0.03307726157235996,6,"(0.591, 0.603]"
9,1,1.0,1.08,1.2400000000000002,0.4226613965744401,0.2756258234519104,0.5373676704774296,0.4626323295225704,1,0.4226613965744401,0.2756258234519104,1,2,0.14703557312252968,0.7903760711031729,0.20962392889682724,0.6439822278945996,0.11772475459305365,1,"(0.409, 0.426]"
10,1,0.0,0.37735849056603765,0.4444444444444444,0.6181818181818182,0.13465085638998683,0.652866007328734,0.347133992671266,1,0.6181818181818182,0.13465085638998683,1,2,0.4835309617918313,0.9992296925779994,0.0007703074220005823,0.37629750109799914,-0.10076946160381925,7,"(0.603, 0.621]"
11,1,0.0,0.5714285714285714,0.6451612903225803,0.8361001317523057,0.03372859025032938,0.7601069973302421,0.23989300266975788,1,0.8361001317523057,0.03372859025032938,1,1,0.8023715415019763,1.0,5.767229819745735e-19,0.5714285714285714,0.19445385294752332,14,"(0.824, 0.84]"
12,1,1.0,0.22222222222222232,0.25,0.9604743083003953,0.0071146245059288534,0.8446309427732712,0.15536905722672878,1,0.9604743083003953,0.0071146245059288534,1,1,0.9533596837944665,1.0,2.6190462590802507e-114,0.22222222222222232,0.03232670783399824,18,"(0.954, 0.967]"
13,0,1.0,0.42553191489361697,0.4651162790697674,0.12648221343873517,0.6500658761528326,0.31998704765215386,0.6800129523478462,0,0.6500658761528326,0.12648221343873517,1,2,0.5235836627140975,0.0002213077728870393,0.999778692227113,0.42521643360035255,-0.030619833887112924,8,"(0.647, 0.665]"
14,0,0.0,0.4347826086956521,0.5,0.13280632411067195,0.6347826086956522,0.3588559358442005,0.6411440641557995,0,0.6347826086956522,0.13280632411067195,1,2,0.5019762845849802,0.0008961407361420736,0.9991038592638579,0.43349684155249174,-0.08009764708080946,8,"(0.634, 0.647]"
15,1,1.0,0.20408163265306123,0.2298850574712643,0.7960474308300395,0.05059288537549407,0.7479764400308165,0.25202355996918346,1,0.7960474308300395,0.05059288537549407,1,1,0.7454545454545454,0.9999999999978743,2.1258513536609142e-12,0.20408163265050167,-0.09937530690166987,13,"(0.786, 0.796]"
16,0,0.0,0.3278688524590163,0.36363636363636376,0.07167325428194993,0.7512516469038208,0.28984824904318224,0.7101517509568178,0,0.7512516469038208,0.07167325428194993,1,1,0.6795783926218709,4.9426838006332006e-08,0.999999950573162,0.3278687868266577,-0.05701160938520919,11,"(0.745, 0.758]"
17,0,0.0,0.7692307692307692,0.8620689655172411,0.1077733860342556,0.6745718050065876,0.34278541223916903,0.657214587760831,0,0.6745718050065876,0.1077733860342556,1,2,0.5667984189723321,9.03220988388102e-05,0.9999096779011611,0.769070968594362,0.16276427065377785,9,"(0.665, 0.681]"
18,0,0.0,0.18214936247723124,0.19999999999999996,0.011067193675889328,0.941501976284585,0.17485940972299163,0.8251405902770084,0,0.941501976284585,0.011067193675889328,1,1,0.9304347826086956,4.572996799122977e-69,1.0,0.18214936247723124,-0.024560577249948284,17,"(0.939, 0.954]"
19,0,0.0,0.704225352112676,0.8264462809917357,0.14677206851119895,0.5926218708827404,0.38031812390486713,0.6196818760951328,0,0.5926218708827404,0.14677206851119895,1,2,0.4458498023715415,0.003081621147038085,0.9969183788529619,0.6989735752282871,0.0560775634860714,6,"(0.591, 0.603]"
