favorites_chosen,favorites_correct,favorites_wrong,favorites_units,dogs_chosen,dogs_correct,dogs_wrong,dogs_units,accuracy,total_units
392,295,97,60.64627165779497,89,45,44,8.94999796862019,0.7068607068607069,69.59626962641522
392,292,100,48.298821114228495,89,52,37,24.43901594382981,0.7151767151767152,72.73783705805825
392,277,115,26.085407436249433,89,44,45,5.842025177494208,0.6673596673596673,31.927432613743647
392,274,118,20.62184875560298,89,52,37,23.8377322587965,0.6777546777546778,44.459581014399504
392,286,106,42.45232311935336,89,52,37,28.193252677883397,0.7027027027027027,70.64557579723672
392,269,123,13.397668371615048,89,53,36,25.83708115599846,0.6694386694386695,39.234749527613516
392,289,103,47.625866985454856,89,48,41,17.464817372012018,0.7006237006237006,65.09068435746688
392,289,103,50.12493061228787,89,54,35,29.679758905289173,0.7130977130977131,79.80468951757705
392,287,105,44.397667034923096,89,44,45,3.033356200072621,0.6881496881496881,47.431023234995706
392,283,109,40.916020206892526,89,55,34,33.46418191286537,0.7027027027027027,74.38020211975788
392,275,117,26.148889924177816,89,53,36,25.562137004475623,0.681912681912682,51.71102692865338
392,285,107,42.98383356198173,89,57,32,40.12699645808768,0.7110187110187111,83.11083002006941
392,280,112,32.12708908958671,89,53,36,22.927792620969537,0.6923076923076923,55.05488171055624
392,296,96,54.39425440264488,89,57,32,34.45145178694359,0.7338877338877339,88.84570618958846
392,295,97,52.258779857165386,89,47,42,15.036109850266051,0.7110187110187111,67.29488970743145
392,274,118,23.97074299488943,89,51,38,19.69409533277879,0.6756756756756757,43.66483832766819
392,294,98,54.572656064572456,89,54,35,31.31919063740303,0.7234927234927235,85.89184670197547
392,284,108,37.233977240412464,89,47,42,15.863823583192147,0.6881496881496881,53.097800823604594
392,281,111,30.831692130356206,89,63,26,50.803973578217985,0.7151767151767152,81.63566570857414
392,287,105,43.87965913461611,89,51,38,20.873205991441157,0.7027027027027027,64.75286512605726
392,301,91,63.438839352825354,89,52,37,24.813849801105686,0.7338877338877339,88.25268915393102
392,286,106,43.207699095140576,89,54,35,29.428286072798596,0.7068607068607069,72.6359851679392
392,291,101,51.52035085076754,89,49,40,20.02357903288636,0.7068607068607069,71.54392988365383
392,266,126,11.036574204364861,89,52,37,24.387369602390336,0.6611226611226612,35.42394380675521
392,294,98,52.52227275692249,89,53,36,26.878552325061875,0.7214137214137214,79.40082508198437
392,286,106,41.20087514964969,89,56,33,34.91961080278772,0.7110187110187111,76.1204859524374
392,276,116,29.773534790535887,89,47,42,14.239185455542536,0.6715176715176715,44.012720246078416
392,305,87,72.71111783785022,89,55,34,29.785240274700065,0.7484407484407485,102.49635811255024
392,288,104,45.7430896943937,89,50,39,22.958004734104456,0.7027027027027027,68.70109442849817
392,282,110,31.6118277085366,89,39,50,-4.51759241652817,0.6673596673596673,27.09423529200843
392,283,109,36.716522060711696,89,52,37,26.926381310893838,0.6964656964656964,63.64290337160549
392,288,104,41.790105856301835,89,53,36,29.006011669489933,0.7089397089397089,70.79611752579174
392,293,99,57.04556721965176,89,43,46,6.059437772641668,0.6985446985446986,63.105004992293416
392,285,107,39.85459009122003,89,51,38,22.011581308297735,0.6985446985446986,61.86617139951773
392,289,103,45.30426837408729,89,45,44,12.505528817806187,0.6943866943866944,57.80979719189348
392,283,109,40.09082935795596,89,54,35,32.50472104009884,0.7006237006237006,72.59555039805477
392,278,114,28.69704757788832,89,50,39,21.485280265058652,0.681912681912682,50.18232784294698
392,277,115,28.955887738987663,89,50,39,18.303132675471282,0.6798336798336798,47.25902041445893
392,277,115,26.858713591887756,89,51,38,21.421765437234473,0.681912681912682,48.28047902912222
392,280,112,31.051498674782906,89,55,34,27.538243753774022,0.6964656964656964,58.589742428556896
392,300,92,61.89148725961551,89,49,40,18.545525786383156,0.7255717255717256,80.43701304599867
392,277,115,26.316686194390353,89,49,40,15.91400224068867,0.6777546777546778,42.23068843507901
392,289,103,47.129669419442386,89,49,40,18.071441938402742,0.7027027027027027,65.2011113578451
392,273,119,18.45560790930493,89,48,41,19.247819574952988,0.6673596673596673,37.703427484257894
392,289,103,42.468493649931695,89,51,38,20.572688393097465,0.7068607068607069,63.04118204302913
392,280,112,32.083860962892665,89,50,39,20.20498254664322,0.6860706860706861,52.28884350953584
392,292,100,53.561098993257986,89,43,46,8.65153282604535,0.6964656964656964,62.212631819303326
392,300,92,65.59373998082533,89,53,36,24.811053020421582,0.7338877338877339,90.40479300124689
392,278,114,28.000290334355373,89,60,29,41.76979934213796,0.7027027027027027,69.77008967649328
392,284,108,37.27225002995304,89,49,40,18.85411086115987,0.6923076923076923,56.12636089111286
392,271,121,18.524524040146378,89,47,42,10.394538100929452,0.6611226611226612,28.91906214107584
