date,fighter_red,fighter_blue,winner
2025-10-25,ikram aliskerov,junyong park,1.0
2025-10-25,jaqueline amorim,mizuki,0.0
2025-10-25,ludovit klein,mateusz rebecki,1.0
2025-10-25,nasrat haqparast,quillan salkilld,0.0
2025-10-25,nathaniel wood,jose delgado,1.0
2025-10-25,umar nurmagomedov,mario bautista,1.0
2025-10-25,virna jandiroba,mackenzie dern,0.0
2025-11-01,alice ardelean,montserrat conejo ruiz,1.0
2025-11-01,allan nascimento,cody durden,1.0
2025-11-01,charles radtke,daniel frunza,1.0
2025-11-01,isaac dulgarian,yadier del valle,0.0
2025-11-01,jeremiah wells,themba gorimbo,1.0
2025-11-01,ketlen vieira,norma dumont,0.0
2025-11-01,phil rowe,seokhyeon ko,0.0
2025-11-01,steve garcia,david onama,1.0
2025-11-01,talita alencar,ariane carnelossi,1.0
2025-11-01,timmy cuamba,changho lee,1.0
2025-11-01,waldo cortes acosta,ante delija,1.0
2025-11-08,chris padilla,ismael bonfim,1.0
2025-11-08,christian leroy duncan,marco tulio,1.0
2025-11-08,gabriel bonfim,randy brown,1.0
2025-11-08,hyder amil,jamall emmers,0.0
2025-11-08,matt schnell,joseph morales,0.0
2025-11-08,mayra bueno silva,jacqueline cavalcanti,0.0
2025-11-08,miles johns,daniel marcos,0.0
2025-11-08,muslim salikhov,uros medic,0.0
2025-11-08,ricky simon,raoni barcelos,0.0
2025-11-08,tecia pennington,denise gomes,0.0
2025-11-15,angela hill,fatima kline,0.0
2025-11-15,beneil dariush,benoit st denis,0.0
2025-11-15,bo nickal,rodolfo vieira,1.0
2025-11-15,erin blanchfield,tracy cortez,1.0
2025-11-15,jack della maddalena,islam makhachev,0.0
2025-11-15,kyle daukaus,gerald meerschaert,1.0
2025-11-15,leon edwards,carlos prates,0.0
2025-11-15,roman kopylov,gregory rodrigues,0.0
2025-11-15,sean brady,michael morales,0.0
2025-11-15,valentina shevchenko,zhang weili,1.0
2025-11-22,alex perez,asu almabayev,0.0
2025-11-22,arman tsarukyan,dan hooker,1.0
2025-11-22,belal muhammad,ian machado garry,0.0
2025-11-22,ismail naurdiev,ryan loder,1.0
2025-11-22,jack hermansson,myktybek orolbai,0.0
2025-11-22,tagir ulanbekov,kyoji horiguchi,0.0
2025-11-22,volkan oezdemir,alonzo menifield,1.0
2025-11-22,waldo cortes acosta,shamil gaziev,1.0
2025-12-06,alexandre pantoja,joshua van,0.0
2025-12-06,brandon moreno,tatsuro taira,0.0
2025-12-06,edson barboza,jalin turner,0.0
2025-12-06,grant dawson,manuel torres,0.0
2025-12-06,henry cejudo,payton talbott,0.0
2025-12-06,mansur abdul malik,antonio trocoli,1.0
2025-12-06,marvin vettori,brunno ferreira,0.0
2025-12-06,maycee barber,karine silva,1.0
2025-12-06,merab dvalishvili,petr yan,0.0
2025-12-06,muhammad naimov,mairon santos,0.0
2025-12-06,nazim sadykhov,fares ziam,0.0
2025-12-06,terrance mckinney,chris duncan,0.0
2025-12-13,brandon royval,manel kape,0.0
2025-12-13,giga chikadze,kevin vallejos,0.0
2025-12-13,jamey lyn horth,tereza bleda,1.0
2025-12-13,melissa croden,luana santos,0.0
2025-12-13,melquizael costa,morgan charriere,1.0
2026-01-24,arnold allen,jean silva,0.0
2026-01-24,ateba gautier,andrey pulyaev,1.0
2026-01-24,justin gaethje,paddy pimblett,1.0
2026-01-24,natalia silva,rose namajunas,1.0
2026-01-24,nikita krylov,modestas bukauskas,1.0
2026-01-24,umar nurmagomedov,deiveson figueiredo,1.0
2026-01-24,waldo cortes acosta,derrick lewis,1.0
2026-01-31,alexander volkanovski,diego lopes,1.0
2026-01-31,cam rowston,cody brundage,1.0
2026-01-31,dan hooker,benoit st denis,0.0
2026-01-31,jacob malkoun,torrez finney,1.0
2026-01-31,jonathan micallef,oban elliott,1.0
2026-01-31,junior tafa,billy elekana,0.0
2026-01-31,kaan ofli,yizha,1.0
2026-01-31,quillan salkilld,jamie mullarkey,1.0
2026-01-31,rafael fiziev,mauricio ruffy,0.0
2026-01-31,tai tuivasa,tallison teixeira,0.0
2026-02-07,amir albazi,kyoji horiguchi,0.0
2026-02-07,bruna brasil,ketlen souza,0.0
2026-02-07,dustin jacoby,julius walker,1.0
2026-02-07,jailton almeida,rizvan kuniev,0.0
2026-02-07,jean matsumoto,farid basharat,0.0
2026-02-07,klaudia sygula,priscila cachoeira,1.0
2026-02-07,mario bautista,vinicius oliveira,1.0
2026-02-07,muin gafurov,jakub wiklacz,0.0
2026-02-07,nikolay veretennikov,niko price,1.0
2026-02-07,wang cong,eduarda moura,1.0
2026-02-21,alden coria,luis gurule,1.0
2026-02-21,chidi njokuani,carlos leal,0.0
2026-02-21,dan ige,melquizael costa,0.0
2026-02-21,geoff neal,uros medic,0.0
2026-02-21,jordan leavitt,yadier del valle,1.0
2026-02-21,juliana miller,carli judice,0.0
2026-02-21,nora cornolle,joselyne edwards,0.0
2026-02-21,ode osbourne,alibi idiris,0.0
2026-02-21,ramiz brahimaj,punahele soriano,0.0
2026-02-21,sean strickland,anthony hernandez,1.0
2026-02-21,serghei spivac,ante delija,1.0
