date,target_pct_opening_ev,candidate_count,qualifying_unique_combinations,opening_ev_pct,held_ev_pct,zero_target_no_bet,minimum_stake_scaler,maximum_stake_scaler,scenario_realized_return_min_pct,scenario_realized_return_max_pct
2024-05-11,50,10000,6919,5.705265828780047,2.8526329143900235,False,0.5,0.9955670560055856,0.6588998823018651,19.400224855723085
2024-05-11,60,10000,6857,5.705265828780047,3.423159497268028,False,0.6,0.9997274021166747,0.7906798587622382,4.1210157992951935
2024-05-11,70,10000,6245,5.705265828780047,3.9936860801460328,False,0.7,0.9999605745336204,1.1245838924712073,4.807851765844393
2024-05-11,80,10000,4556,5.705265828780047,4.564212663024038,False,0.8,0.9999940948736474,2.633286209257545,5.494687732393593
2024-05-11,90,10000,2463,5.705265828780047,5.1347392459020424,False,0.9,0.9999845095547232,4.194473453389069,6.18152369894279
2024-05-11,100,10000,19,5.705265828780047,5.705265828780047,False,1.0,1.0,5.699643602189132,5.699643602189132
2024-05-18,50,10000,10000,13.626687598196103,6.813343799098051,False,0.441731979438199,0.6522073409031178,-13.037095862350837,0.5122197696968853
2024-05-18,60,10000,10000,13.626687598196103,8.17601255891766,False,0.5300783753258388,0.7826488090837413,-15.644515034821005,0.6146637236362624
2024-05-18,70,10000,10000,13.626687598196103,9.538681318737272,False,0.6184247712134786,0.9130902772643649,-18.251934207291175,0.7171076775756393
2024-05-18,80,10000,9988,13.626687598196103,10.90135007855688,False,0.7067711671011183,0.9990759185980755,-20.859353379761338,0.8195516315150164
2024-05-18,90,10000,7471,13.626687598196103,12.264018838376492,False,0.7951175629887581,0.9999694957129504,-23.232989446709894,0.9219955854543935
2024-05-18,100,10000,1142,13.626687598196103,13.626687598196103,False,0.883463958876398,1.0,-21.922517104719937,1.0244395393937706
2024-06-01,50,10000,10000,10.7761528215541,5.38807641077705,False,0.4776775156143249,0.7358980829242514,18.078036680546038,22.64450403949014
2024-06-01,60,10000,10000,10.7761528215541,6.4656916929324595,False,0.5732130187371899,0.8830776995091016,21.69364401665525,27.17340484738817
2024-06-01,70,10000,9921,10.7761528215541,7.543306975087869,False,0.6687485218600548,0.9999849693086543,25.309251352764456,31.562914878018873
2024-06-01,80,10000,6114,10.7761528215541,8.62092225724328,False,0.7642840249829198,0.9999920210203973,28.924858688873663,34.921814014039846
2024-06-01,90,10000,3033,10.7761528215541,9.69853753939869,False,0.8598195281057848,0.9999935387614131,32.54046602498287,36.969692210068345
2024-06-01,100,10000,93,10.7761528215541,10.7761528215541,False,0.9553550312286498,1.0,36.156073361092076,38.85661769653516
2024-06-08,50,10000,10000,11.071862001659133,5.535931000829566,False,0.4966403943416117,0.6105513850043132,10.039673916768972,13.898641029531177
2024-06-08,60,10000,10000,11.071862001659133,6.64311720099548,False,0.5959684732099341,0.7326616620051758,12.047608700122767,16.678369235437415
2024-06-08,70,10000,10000,11.071862001659133,7.750303401161393,False,0.6952965520782565,0.8547719390060384,14.055543483476562,19.45809744134365
2024-06-08,80,10000,10000,11.071862001659133,8.857489601327305,False,0.7946246309465786,0.9768822160069008,16.06347826683035,22.23782564724988
2024-06-08,90,10000,6470,11.071862001659133,9.96467580149322,False,0.8939527098149012,0.9999785952862796,18.07141305018415,24.35655299044409
2024-06-08,100,10000,217,11.071862001659133,11.071862001659133,False,0.9932807886832234,1.0,20.28476737885146,21.714513274557408
2024-06-15,50,10000,2571,9.191937076907623,4.595968538453811,False,0.5000000000000001,0.999930276218881,21.712771422068954,30.18693502994903
2024-06-15,60,10000,962,9.191937076907623,5.515162246144573,False,0.6,0.8571890158682929,27.49070380027688,36.22432203593883
2024-06-15,70,10000,961,9.191937076907623,6.434355953835335,False,0.7000000000000001,0.9907291283794188,32.07248776698969,42.26170904192863
2024-06-15,80,10000,925,9.191937076907623,7.353549661526097,False,0.7999999999999999,0.999592527281936,36.6542717337025,46.48070610564867
2024-06-15,90,10000,815,9.191937076907623,8.27274336921686,False,0.9,0.9996611148660132,41.23605570041532,49.336803500119615
2024-06-15,100,10000,16,9.191937076907623,9.191937076907623,False,1.0000000000000002,1.0000000000000002,52.14424160975517,52.14424160975517
2024-06-22,50,10000,5627,1.9315971099076057,0.9657985549538028,False,0.5,0.999827495309613,1.7570777656925682,6.47100802456513
2024-06-22,60,10000,4575,1.9315971099076057,1.1589582659445634,False,0.6,0.9999032821698373,2.5719913238433723,7.4257993114703424
2024-06-22,70,10000,3539,1.9315971099076057,1.352117976935324,False,0.7,0.9999044109461027,3.483744346244018,8.31790041180835
2024-06-22,80,10000,2490,1.9315971099076057,1.5452776879260846,False,0.8,0.9999948967455026,8.400075248053698,9.097293432524681
2024-06-22,90,10000,1364,1.9315971099076057,1.7384373989168451,False,0.8999999999999999,0.9999647530899457,9.559121528888916,10.172597897308354
2024-06-22,100,10000,34,1.9315971099076057,1.9315971099076057,False,1.0,1.0,10.91072072425864,10.91072072425864
2024-06-29,50,10000,10000,10.275852726663912,5.137926363331956,False,0.49611219564063364,0.9113023149116444,14.82823030749871,22.08741310998503
2024-06-29,60,10000,8777,10.275852726663912,6.165511635998347,False,0.5953346347687604,0.9999949852770226,17.793876368998454,26.504895731982035
2024-06-29,70,10000,6797,10.275852726663912,7.193096908664738,False,0.694557073896887,0.9997811623178366,20.759522430498194,29.070845086474122
2024-06-29,80,10000,5600,10.275852726663912,8.22068218133113,False,0.7937795130250138,0.9994583950270803,23.72516849199794,31.17584570139386
2024-06-29,90,10000,4751,10.275852726663912,9.24826745399752,False,0.8930019521531405,0.9999035684895545,26.753450280682017,33.458577124830036
2024-06-29,100,10000,390,10.275852726663912,10.275852726663912,False,0.9922243912812673,1.0,34.9242418640935,37.14164639445047
2024-07-13,50,10000,10000,5.625121343186828,2.812560671593414,False,0.4940794786409613,0.791213214464471,-0.9527289738256857,21.257139841442235
2024-07-13,60,10000,10000,5.625121343186828,3.3750728059120974,False,0.5928953743691536,0.9494558573573652,-1.1432747685908229,25.508567809730685
2024-07-13,70,10000,8463,5.625121343186828,3.93758494023078,False,0.6917112700973459,0.9999684645954344,-1.33382056335596,28.22582026543312
2024-07-13,80,10000,5606,5.625121343186828,4.500097074549463,False,0.7905271658255381,0.9999623267707449,-1.488607314414026,29.298174157878144
2024-07-13,90,10000,3243,5.625121343186828,5.062609208868146,False,0.8893430615537304,0.9998996693397765,0.1619089359746699,31.58869275378558
2024-07-13,100,10000,93,5.625121343186828,5.625121343186828,False,0.9881589572819226,1.0,2.628663398951097,5.675216197069041
2024-07-20,50,10000,10000,10.571194705012399,5.285597352506199,False,0.4734678211015527,0.6636478919623077,2.512013077529126,9.125777952446946
2024-07-20,60,10000,10000,10.571194705012399,6.342716823007439,False,0.5681613853218633,0.7963774703547692,3.0144156930349513,10.950933542936335
2024-07-20,70,10000,10000,10.571194705012399,7.399836293508679,False,0.6628549495421738,0.9291070487472308,3.5168183085407763,12.776089133425724
2024-07-20,80,10000,8953,10.571194705012399,8.456955764009919,False,0.7575485137624843,0.9999735380460896,5.187257941335047,14.601244723915114
2024-07-20,90,10000,6057,10.571194705012399,9.514075234511159,False,0.8522420779827948,0.9999773688241529,9.048533690232349,16.426400314404503
2024-07-20,100,10000,1237,10.571194705012399,10.571194705012399,False,0.9469356422031054,1.0,13.270843423349826,18.25155590489389
2024-07-27,50,10000,9476,10.536022782390198,5.268011391195099,False,0.4950304510045165,0.9999949726478303,-1.8879528656528537,11.776580859528117
2024-07-27,60,10000,8093,10.536022782390198,6.321613669434118,False,0.5940365412054197,0.9998539461065932,0.29525461189199875,14.131897031433734
2024-07-27,70,10000,7243,10.536022782390198,7.375215947673138,False,0.6930426314063229,0.9999205064736768,2.135618099503574,16.48721320333936
2024-07-27,80,10000,5619,10.536022782390198,8.428818225912158,False,0.7920487216072263,0.9999036258522838,4.826275176945482,18.842529375244983
2024-07-27,90,10000,2085,10.536022782390198,9.482420504151177,False,0.8910548118081296,0.9999904791644972,7.754557927981547,21.197845547150607
2024-07-27,100,10000,74,10.536022782390198,10.536022782390198,False,0.990060902009033,1.0,17.34575360301416,23.519942887152858
2024-08-03,50,10000,10000,13.211115852895784,6.605557926447892,False,0.46221574906903035,0.7470061594448548,-15.70460439110144,-2.125274205264393
2024-08-03,60,10000,10000,13.211115852895784,7.92666951173747,False,0.5546588988828364,0.8964073913338256,-18.845525269321726,-2.550329046317272
2024-08-03,70,10000,9977,13.211115852895784,9.247781097027048,False,0.6471020486966425,0.9990376196859904,-21.98644614754201,-2.9753838873701506
2024-08-03,80,10000,6873,13.211115852895784,10.568892682316626,False,0.7395451985104485,0.9999853651651954,-21.27008847039028,-3.4004387284230297
2024-08-03,90,10000,3366,13.211115852895784,11.890004267606205,False,0.8319883483242547,0.9999284240955748,-18.4116103314646,-3.825493569475908
2024-08-03,100,10000,151,13.211115852895784,13.211115852895784,False,0.9244314981380607,1.0,-15.635270401598866,-4.250548410528786
2024-08-10,50,10000,5695,4.381667461340961,2.1908337306704806,False,0.48798796715148324,0.9998930332194639,10.458545872095497,19.92568425532215
2024-08-10,60,10000,4575,4.381667461340961,2.6290004768045763,False,0.5855855605817797,0.9997429069471022,12.550255046514595,21.83950359520995
2024-08-10,70,10000,3468,4.381667461340961,3.0671672229386724,False,0.6831831540120764,0.999760949836614,14.641964220933692,23.56751472808205
2024-08-10,80,10000,2451,4.381667461340961,3.5053339690727685,False,0.7807807474423731,0.9999558457884796,16.814637340065943,25.27788577351986
2024-08-10,90,10000,1362,4.381667461340961,3.9435007152068646,False,0.8783783408726696,0.9999924088057615,19.023295187447214,27.173122613592632
2024-08-10,100,10000,26,4.381667461340961,4.381667461340961,False,0.9759759343029665,1.0000000000000002,22.979683221231536,28.718500320196465
2024-08-17,50,10000,10000,16.850838688982776,8.425419344491388,False,0.4997328141431845,0.791423121692294,3.40736359767961,11.975201419547068
2024-08-17,60,10000,10000,16.850838688982776,10.110503213389666,False,0.5996793769718215,0.949707746030753,4.088836317215533,14.370241703456482
2024-08-17,70,10000,8725,16.850838688982776,11.795587082287945,False,0.6996259398004584,0.9998916170256016,4.770309036751455,16.765281987365896
2024-08-17,80,10000,6782,16.850838688982776,13.480670951186223,False,0.7995725026290954,0.9999724888469165,7.167995870162872,19.160322271275312
2024-08-17,90,10000,3907,16.850838688982776,15.1657548200845,False,0.8995190654577321,0.9999932492829122,11.231442990191228,21.555362555184722
2024-08-17,100,10000,168,16.850838688982776,16.850838688982776,False,0.999465628286369,0.9999999999999999,16.584304053069697,17.038799081937338
2024-08-24,50,10000,5766,6.789274305739958,3.394637152869979,False,0.49904160625255317,0.9999125653783214,-8.199802025821887,11.30338854571648
2024-08-24,60,10000,4825,6.789274305739958,4.073564583443974,False,0.5988499275030638,0.9999185149817715,-5.522440802544387,13.236324019585394
2024-08-24,70,10000,3796,6.789274305739958,4.75249201401797,False,0.6986582487535744,0.999950390545559,-2.210452613416356,12.28776345917299
2024-08-24,80,10000,2750,6.789274305739958,5.431419444591966,False,0.798466570004085,0.9997965172966945,0.6905022931346569,11.09359443724967
