date,bin_low_pct,bin_high_pct,units,n_scenarios,sample_min,p05,median,p95,sample_max
2024-05-11,0,5,percent_of_opening_ev,213,10.276294261885438,10.276294261885438,10.407100145456228,10.977680271821207,11.342079612121001
2024-05-11,5,10,percent_of_opening_ev,254,10.276294261885438,10.276294261885438,10.66430368108948,11.481368693139126,12.199585947047966
2024-05-11,10,15,percent_of_opening_ev,253,10.276294261885438,10.284246014743022,11.039288258624937,11.930002139208893,13.034504655554947
2024-05-11,15,20,percent_of_opening_ev,275,10.276294261885438,10.407100145456228,11.401599177173214,12.899118683078843,15.38459719649122
2024-05-11,20,25,percent_of_opening_ev,269,10.276294261885438,10.813799295473514,11.751575234163642,13.683493195187523,17.790322321682353
2024-05-11,25,30,percent_of_opening_ev,264,10.276294261885438,10.983084542228001,12.133567665148243,14.799539456988374,17.851419494616582
2024-05-11,30,35,percent_of_opening_ev,281,10.276294261885438,11.191958985022001,12.67900497154336,15.303051062783064,18.554124102626616
2024-05-11,35,40,percent_of_opening_ev,258,10.341882291177418,11.273184479565343,13.425822029460605,17.769049111980248,21.908872346755352
2024-05-11,40,45,percent_of_opening_ev,252,10.341882291177418,12.008910485576799,14.191395397859154,17.464329002933628,20.625667893033896
2024-05-11,45,50,percent_of_opening_ev,231,11.161449769248865,13.08256374041705,15.097855705052352,19.919378305754083,23.040279840311886
2024-05-11,50,55,percent_of_opening_ev,242,12.144726345439036,13.563925241733376,16.071274881676814,20.11742427520321,23.04693865177375
2024-05-11,55,60,percent_of_opening_ev,241,11.100544227183148,13.31547842285294,16.764994767236413,20.243226532106597,23.597453982145787
2024-05-11,60,65,percent_of_opening_ev,229,12.034035733031182,14.534426662463416,17.818592846776244,21.425738578276388,24.462470263454023
2024-05-11,65,70,percent_of_opening_ev,274,14.396749185896741,15.501527222194532,18.767755899098475,22.344735206681342,24.426636800563763
2024-05-11,70,75,percent_of_opening_ev,268,14.262324105865288,16.92152545572692,19.699758618541857,22.07523119316169,24.082550861554694
2024-05-11,75,80,percent_of_opening_ev,250,15.134419420313732,17.78962931769016,20.593643464503415,24.070662809682155,24.60664552539249
2024-05-11,80,85,percent_of_opening_ev,231,15.22793831103073,19.39910764450368,21.719338051646066,24.083450994282252,24.53473617358104
2024-05-11,85,90,percent_of_opening_ev,263,16.96928927377521,19.899160547654038,22.511082493662943,24.21009978178452,24.60664552539249
2024-05-11,90,95,percent_of_opening_ev,245,20.051046973220497,21.670189465896854,23.454605171410922,24.57081206250223,24.60664552539249
2024-05-11,95,100,percent_of_opening_ev,207,21.88071167088983,22.901886858085163,24.13839404717552,24.60664552539249,24.60664552539249
2024-05-18,0,5,percent_of_opening_ev,238,38.0579587946521,38.0579587946521,38.52712122663546,39.96046433806711,44.496661712522005
2024-05-18,5,10,percent_of_opening_ev,259,38.0579587946521,38.53573868762491,40.16287514911835,42.32216542637586,48.50074484292835
2024-05-18,10,15,percent_of_opening_ev,254,38.34271934234017,39.14751758534581,41.47044367768662,44.4643365496613,49.92091649438711
2024-05-18,15,20,percent_of_opening_ev,273,37.88912095336558,39.74858928534711,42.97321453450118,47.15646446924346,51.151213125081085
2024-05-18,20,25,percent_of_opening_ev,234,37.431717769744225,40.97116576218891,44.34224313181295,48.54158126623832,53.37306363304152
2024-05-18,25,30,percent_of_opening_ev,272,37.22896878354479,41.5787581240515,46.07153173015027,49.848188125780894,53.44026058209244
