proba_fair_close1_diff,reach_diff,sub_att_pm_red,sub_att_pm_blue,ratio_control_diff,td_landed_pm_diff,ratio_td_diff,adjusted_td_red,adjusted_td_blue,sig_str_absorbed_total_diff,sig_str_accuracy_pct_diff,sig_str_defense_pct_diff,adjusted_sig_str_blue,adjusted_sig_str_red,win_pct_red,win_pct_blue,win_streak_diff,lose_streak_diff,elo_red,elo_blue,elo_pred,age_red,age_blue,dec_fair_close1_red,dec_fair_close1_blue,dec_close1_red,dec_close1_blue,fighter_red,fighter_blue,winner,date,open_red,open_blue,close1_red,close1_blue,close2_red,close2_blue,num_wins_red,num_wins_blue,num_losses_red,num_losses_blue,dec_fair_open_red,dec_fair_open_blue,dec_fair_close1_red,dec_fair_close1_blue,dec_fair_close2_red,dec_fair_close2_blue,dec_open_red,dec_open_blue,dec_close1_red,dec_close1_blue,dec_close2_red,dec_close2_blue,proba_se,proba_red,proba_blue,pred_winner,correct_pred,prob_winner
0.0907505486264394,0.0,0.0,0.0,0.4753391713769358,0.0709014840275746,0.1548396550605122,0.0071895103265593,0.1095415603890275,380.0,-0.084462712125013,0.0544228754381315,-1.198513462965891,0.0842631482898428,0.6666666666666666,1.0,1.0,0.0,1612.0449587679468,1555.646294014305,1,30.0,30.0,1.833599811174572,2.199616394575431,1.704225352112676,2.0,joaquin buckley,nursulton ruziboev,1.0,2024-05-11,-148.0,124.0,-142.0,100.0,-124.0,120.0,8.0,2.0,4.0,0.0,1.733851022240676,2.3626743980633664,1.833599811174572,2.199616394575431,1.81919314179938,2.2207133446008505,1.6756756756756757,2.24,1.704225352112676,2.0,1.8064516129032255,2.2,0.03135702643063796,0.5747910953940966,0.42520890460590344,1,1,0.5747910953940966
0.217453339283658,-1.0,0.0,0.0819270484307374,-1.6092219356533324,-0.1160034685914077,-2.4441383375696324,-2.829167979064909,-0.0023752577284873,341.0,0.0245480235113532,-0.0047924799521803,0.7278742736425492,-0.4762818971233586,0.6428571428571429,0.6666666666666666,-3.0,1.0,1591.0075163852384,1524.539771704445,1,39.0,31.0,1.6427734316099438,2.5557581424846965,1.5714285714285714,2.35,derrick lewis,rodrigo nascimento,1.0,2024-05-11,-162.0,136.0,-175.0,135.0,-162.0,145.0,18.0,4.0,10.0,2.0,1.6686512500275867,2.4955479406622554,1.6427734316099438,2.5557581424846965,1.6490988769273702,2.540597335083502,1.617283950617284,2.3600000000000003,1.5714285714285714,2.35,1.617283950617284,2.45,0.0408015694962832,0.6302869966194131,0.3697130033805869,1,1,0.6302869966194131
-0.0400819834935583,3.0,0.0,0.060093552367353,-0.2183051007045082,-0.1476055127170322,-0.3198792742875735,0.0821210320833249,1.8237445235662688,525.0,0.0356344237651981,-0.0073524157357953,0.646575746905,0.4833691329814533,0.6428571428571429,0.4285714285714285,0.0,0.0,1570.6600873663533,1506.2410902774227,1,31.0,28.0,2.0835112640961446,1.922925338329723,1.9345794392523368,1.8,jj aldrich,veronica hardy,0.0,2024-05-11,124.0,-148.0,-107.0,-125.0,105.0,-117.0,9.0,3.0,5.0,4.0,2.3626743980633664,1.733851022240676,2.0835112640961446,1.922925338329723,2.1097362350355064,1.9011150293456935,2.24,1.6756756756756757,1.9345794392523368,1.8,2.05,1.8547008547008548,0.02611373110490856,0.4698840911073308,0.5301159088926692,0,1,0.5301159088926692
-0.4103059696135748,-5.0,0.0657614044533816,0.0852805650996659,0.2401123015181364,-0.0935305818322915,-0.0081582320696436,-0.5695255144999928,-1.787776523800803,626.0,0.031056123341142,-0.0685902286698435,1.161182152135635,1.1872736641027917,0.5517241379310345,0.7142857142857143,-2.0,1.0,1596.2008708166338,1655.5188046113312,0,35.0,31.0,3.3915893615022767,1.418131982060603,2.75,1.3355704697986577,alex caceres,sean woodson,0.0,2024-05-11,150.0,-180.0,175.0,-298.0,225.0,-210.0,16.0,5.0,13.0,2.0,2.659417605466573,1.602621062176108,3.3915893615022767,1.418131982060603,3.1611097434609805,1.4627252285663737,2.5,1.5555555555555556,2.75,1.3355704697986577,3.25,1.4761904761904765,0.02516246313838365,0.2861522007510699,0.71384779924893,0,1,0.71384779924893
-0.1322384186589745,-2.0,0.051342360761378,0.0119663877486517,-0.0737690202912838,0.1556889150575079,1.6258892319066414,2.785023728503809,0.805140626295474,-1502.0,-0.0754540342096087,0.062547466052122,1.360206069029526,0.0298267328694475,0.75,0.4583333333333333,-1.0,1.0,1540.3497871459583,1520.3044307830976,1,31.0,39.0,2.30478053304599,1.766412415477655,2.1,1.6578947368421053,luana pinheiro,angela hill,0.0,2024-05-18,120.0,-142.0,110.0,-152.0,123.0,-130.0,3.0,11.0,1.0,13.0,2.31179951660086,1.7623116088586497,2.30478053304599,1.766412415477655,2.2663263584082056,1.7896858446956894,2.2,1.704225352112676,2.1,1.6578947368421053,2.23,1.7692307692307692,0.06360916389083064,0.47172997397309646,0.5282700260269035,0,1,0.5282700260269035
0.6351212971314237,0.0,0.0,0.0,-0.3257235320615604,-0.0935091387225362,-0.9465453693143028,-2.8872180667631198,-1.088139861514635,114.0,-0.0229408003669125,0.0835065924055665,1.0483506287439956,0.0651354039403428,0.7142857142857143,0.0,0.0,0.0,1562.9999550420684,1449.630605805268,1,30.0,27.0,1.22315084728497,5.481273596613199,1.181818181818182,4.1,adrian yanez,vinicius salvador,1.0,2024-05-18,-250.0,205.0,-550.0,310.0,-400.0,380.0,5.0,0.0,2.0,2.0,1.4341303401610936,3.303455684827114,1.22315084728497,5.481273596613199,1.254650488262207,4.926951041108259,1.4,3.05,1.181818181818182,4.1,1.25,4.8,0.03248297060314554,0.6871417455533615,0.3128582544466385,1,1,0.6871417455533615
-0.2089876079865062,2.0,0.0198438617757107,0.1679745230745235,0.0125711277004623,-0.1495447268435536,0.1222494134951304,-1.467686736910246,0.99082621814052,1313.0,-0.0066234665412158,0.0104064943745587,-0.1004267490326819,1.1952360885908946,0.6206896551724138,0.8333333333333334,-3.0,0.0,1609.4086595920076,1570.0749325116424,1,38.0,32.0,2.528405395658937,1.6542766747881523,2.3,1.5714285714285714,edson barboza,lerone murphy,0.0,2024-05-18,120.0,-142.0,130.0,-175.0,145.0,-155.0,18.0,5.0,11.0,1.0,2.31179951660086,1.7623116088586497,2.528405395658937,1.6542766747881523,2.503611487104104,1.6650654165498298,2.2,1.704225352112676,2.3,1.5714285714285714,2.45,1.6451612903225803,0.04173292246781295,0.4373677629003968,0.5626322370996032,0,1,0.5626322370996032
0.0918762685660768,1.0,0.0,0.1233792443675033,-0.093982867994949,-0.3397220276886679,-0.4548783522389883,-2.698732979679612,-1.1502354076459071,295.0,-0.0649371069123357,0.0014711659530575,-0.73131643253567,0.5776238341729809,0.7142857142857143,0.8,-1.0,0.0,1576.7581548124303,1576.456827863628,1,30.0,36.0,1.831709377314822,2.202343062703592,1.7142857142857144,2.02,khaos williams,carlston harris,1.0,2024-05-18,105.0,-125.0,-140.0,102.0,-122.0,115.0,5.0,4.0,2.0,1.0,2.148625715316277,1.8706056173613068,1.831709377314822,2.202343062703592,1.8433195981471295,2.185790063692478,2.05,1.8,1.7142857142857144,2.02,1.819672131147541,2.15,0.02711538730102224,0.46989786122561317,0.5301021387743868,0,0,0.5301021387743868
-0.5708544358890475,-4.0,0.0575026952267998,0.0,0.7685568446637245,0.0471912212023634,0.3083184688427362,-0.5739237780605136,-1.6676785432608938,-58.0,-0.0399169965088236,-0.115682658297386,1.9706355081426836,-0.3421393663520775,0.6666666666666666,0.5,0.0,0.0,1548.5546012076134,1495.9829703253488,1,35.0,30.0,4.660423332449765,1.2731924450199432,3.9,1.238095238095238,vanessa demopoulos,emily ducote,1.0,2024-05-18,240.0,-298.0,290.0,-420.0,320.0,-375.0,4.0,2.0,2.0,2.0,3.735237840319604,1.3655989198669296,4.660423332449765,1.2731924450199432,4.535833092020285,1.2828187796128765,3.4,1.3355704697986577,3.9,1.238095238095238,4.2,1.2666666666666666,0.026641144675430693,0.23320062158485383,0.7667993784151461,0,0,0.7667993784151461
0.1012281922288033,5.0,0.0,0.4754721507100425,2.036096552798182,0.3270621674782386,1.4862689338035455,3.128448568998662,2.26137518031603,-92.0,0.0510124298483606,-0.0103874791410335,-0.853253482361841,-0.8095049620728345,0.6666666666666666,0.5,1.0,0.0,1523.2389750977584,1499.5325382350395,1,33.0,31.0,1.8161540125050284,2.225258939707582,1.6896551724137931,2.02,themba gorimbo,ramiz brahimaj,1.0,2024-05-18,-250.0,205.0,-145.0,102.0,-122.0,125.0,2.0,2.0,1.0,2.0,1.4341303401610936,3.303455684827114,1.8161540125050284,2.225258939707582,1.8102355513998527,2.2342089880804274,1.4,3.05,1.6896551724137931,2.02,1.819672131147541,2.25,0.03138678024079435,0.6754081685003969,0.32459183149960313,1,1,0.6754081685003969
