,y_pred,y_true,test_open_odds,p_red,p_blue,p_red_model,p_blue_model,pred_conf,confidence,uncertainty,agreement,set_size,gap
0,1,0.0,1.0499999999999998,0.42780026990553305,0.283940620782726,0.5403686253205126,0.45963137467948745,1,0.42780026990553305,0.283940620782726,1,2,0.14385964912280702
1,1,1.0,0.5319148936170213,0.6375168690958165,0.1357624831309042,0.6441448103229465,0.35585518967705354,1,0.6375168690958165,0.1357624831309042,1,2,0.5017543859649123
2,1,0.0,1.15,0.398110661268556,0.3133603238866397,0.5219329031549481,0.4780670968450519,1,0.398110661268556,0.3133603238866397,1,2,0.08475033738191629
3,1,1.0,0.5,0.6647773279352227,0.11497975708502024,0.6633045077212024,0.3366954922787976,1,0.6647773279352227,0.11497975708502024,1,2,0.5497975708502024
4,0,1.0,0.5319148936170213,0.16815114709851553,0.5873144399460188,0.3783704960149809,0.621629503985019,0,0.5873144399460188,0.16815114709851553,1,2,0.4191632928475033
5,0,0.0,0.9523809523809523,0.2358974358974359,0.4863697705802969,0.42634885715523374,0.5736511428447663,0,0.4863697705802969,0.2358974358974359,1,2,0.250472334682861
6,1,1.0,0.6134969325153374,0.49527665317139,0.2261808367071525,0.5815304607934348,0.41846953920656516,1,0.49527665317139,0.2261808367071525,1,2,0.2690958164642375
7,1,1.0,0.36363636363636376,0.9592442645074224,0.007017543859649123,0.8242023483129883,0.17579765168701167,1,0.9592442645074224,0.007017543859649123,1,1,0.9522267206477733
8,1,1.0,0.5,0.6947368421052632,0.09797570850202429,0.674669783086711,0.325330216913289,1,0.6947368421052632,0.09797570850202429,1,1,0.5967611336032389
9,1,1.0,1.0,0.5020242914979757,0.2291497975708502,0.580683608943446,0.41931639105655405,1,0.5020242914979757,0.2291497975708502,1,2,0.2728744939271255
10,1,1.0,0.3003003003003002,0.9346828609986505,0.009986504723346829,0.8069984850592654,0.1930015149407346,1,0.9346828609986505,0.009986504723346829,1,1,0.9246963562753037
11,1,0.0,0.25,0.7519568151147098,0.07503373819163293,0.7008006962939706,0.29919930370602943,1,0.7519568151147098,0.07503373819163293,1,1,0.6769230769230768
