shift_pct,ending_bankroll,cumulative_return_pct,growth_multiple,geometric_mean_event_return_pct,increase_over_unshifted_pct,ending_bankroll_change_per_shift_point,pct_of_opening_ev
0.0,35842.486944289194,924.0710555511198,10.240710555511198,3.238132108929892,0.0,,30.837709343823438
1.0,36649.205047065356,947.1201442018673,10.471201442018673,3.269614302063406,2.250731384878679,806.7181027761617,31.137275992149515
2.0,37477.66640755642,970.7904687873263,10.707904687873263,3.3012415101056236,4.5621261320645035,828.4613604910628,31.438187925310753
3.0,38324.5742311896,994.9878351768458,10.949878351768458,3.3328680239491426,6.924986234237518,846.9078236331843,31.739146805605614
4.0,39189.11239087702,1019.6889254536292,11.196889254536291,3.36444974267478,9.337034709085778,864.538159687414,32.03972718597571
5.0,40072.410143439956,1044.9260040982845,11.449260040982844,3.396014854359075,11.801422166172305,883.2977525629394,32.34011711303888
6.0,40990.8354922666,1071.1667283504742,11.711667283504742,3.4281157242190385,14.363815089002063,918.4253488266404,32.645371837823085
7.000000000000001,41936.53471550445,1098.18670615727,11.9818670615727,3.460436930763122,17.00230171161776,945.6992232378535,32.95264436953765
8.0,42912.161897262384,1126.0617684932108,12.26061768493211,3.493036188586096,19.724286888802524,975.6271817579336,33.26254736550557
9.0,43914.06827546741,1154.6876650133547,12.546876650133546,3.5257613947509814,22.51959062919955,1001.9063782050289,33.573604912858585
10.0,44941.92393459641,1184.0549695598972,12.840549695598973,3.558577661651041,25.387292473456657,1027.8556591289962,33.88551483615302
11.0,45998.67598106738,1214.2478851733538,13.142478851733538,3.591553601368247,28.33561480419644,1056.7520464709742,34.19892744066731
12.0,47082.74349487127,1245.2212427106076,13.452212427106076,3.624614430722395,31.360146878348782,1084.067513803886,34.513145250907655
13.0,48199.00566274263,1277.1144475069325,13.771144475069324,3.6578816208894027,34.474501553587665,1116.2621678713622,34.82929215568662
14.000000000000002,50159.42012097725,1333.1262891707786,14.331262891707786,3.7145084063359812,39.944028434581554,1960.4144582346164,35.373581895375715
15.0,51384.16044520264,1368.1188698629326,14.681188698629326,3.7487876328641923,43.36103553603918,1224.7403242253881,35.699350827544365
16.0,52633.57419729534,1403.8164056370097,15.038164056370098,3.7829369016684877,46.846881130500016,1249.4137520927034,36.02394081025419
17.0,53908.68714870516,1440.2482042487188,15.40248204248719,3.816973941436319,50.40442710489559,1275.112951409821,36.34751757011498
18.0,55208.96344178897,1477.398955479685,15.773989554796849,3.850874557839745,54.03217842445347,1300.276293083807,36.6698504133501
19.0,56493.513381551085,1514.100382330031,16.14100382330031,3.8836005670883855,57.61605345455034,1284.549939762117,36.98024859385554
20.0,57836.47390992133,1552.4706831406097,16.524706831406096,3.9170390899752716,61.36289314917769,1342.9605283702476,37.298237878455055
21.0,59202.39070858206,1591.4968773880587,16.914968773880588,3.950272675599975,65.1737804929711,1365.916798660728,37.614343894427726
22.0,60598.574241216935,1631.387835463341,17.31387835463341,3.9834700674997725,69.06911156975993,1396.1835326348737,37.93012967222351
23.0,62028.210153494976,1672.2345758141423,17.722345758141422,4.016690141239132,73.05777428309273,1429.6359122780414,38.24614943689169
24.0,63494.88463551602,1714.1395610147433,18.141395610147434,4.049995149665309,77.14977404946144,1466.6744820210442,38.563071035481734
25.0,65003.774018584976,1757.2506862452851,18.57250686245285,4.083476104435002,81.35955275542639,1508.8893830689558,38.88167586391648
26.0,66544.0923372331,1801.259781063803,19.012597810638027,4.116872924026249,85.65701771940135,1540.3183186481256,39.19951570744974
27.0,68117.17613348881,1846.2050323853948,19.462050323853948,4.150202260447822,90.0458978735625,1573.0837962557125,39.51673731590124
28.000000000000004,69717.77039420027,1891.9362969771505,19.919362969771505,4.183344189148275,94.51153181017884,1600.59426071145,39.83223806010767
29.0,71345.18092132396,1938.433740609256,20.38433740609256,4.216280692648655,99.05198272714006,1627.410527123697,40.145844454314044
30.0,72999.45312687251,1985.6986607677861,20.85698660767786,4.249009956421279,103.66737732327907,1654.2722055485501,40.45753322360687
31.0,74677.74585094232,2033.6498814554948,21.336498814554947,4.281475273851809,108.34978880515646,1678.2927240698045,40.76672884926126
32.0,76385.95257124302,2082.4557877498005,21.824557877498005,4.313788506285365,113.1156598870259,1708.2067203007027,41.07452372043707
33.0,78133.74123961179,2132.3926068460514,22.323926068460512,4.346121041109163,117.99196400924097,1747.7886683687684,41.38252370125424
34.0,79901.34334089373,2182.895524025535,22.82895524025535,4.378102560899966,122.92354731156414,1767.6021012819401,41.68714891713365
35.0,82003.67798228648,2242.962228065328,23.42962228065328,4.415244085735703,128.7890293710553,2102.33464139275,42.042220166593786
36.0,83852.98788641622,2295.7996538976063,23.95799653897606,4.447147131423379,133.94857621557023,1849.3099041297392,42.346118000817306
37.0,85739.2257614348,2349.692164612423,24.496921646124232,4.478980188774728,139.21115154397984,1886.237875018589,42.64938515963971
38.0,87653.8140469198,2404.394687054851,25.043946870548513,4.510593001872043,144.55282409159315,1914.5882854849915,42.95060748347683
39.0,89604.0141292039,2460.1146894058256,25.601146894058257,4.542101244146335,149.99385301716782,1950.2000822841073,43.25086089109511
40.0,91582.80178312211,2516.6514795177745,26.166514795177743,4.573387472042323,155.51464083804058,1978.7876539182034,43.54903701541843
41.0,93597.3997262343,2574.2114207495515,26.742114207495515,4.604562295809966,161.13533882767373,2014.597943112196,43.84617700096866
42.0,95655.48362131204,2633.0138177517724,27.33013817751773,4.635733971786937,166.87736196986432,2058.0838950777397,44.14327735441657
43.0,97743.8444369136,2692.6812696261027,27.926812696261027,4.666695248520636,172.70385726537089,2088.3608156015543,44.438413723387455
44.0,99872.46776595483,2753.499079027281,28.534990790272808,4.697589135829094,178.64268436838358,2128.6233290412347,44.73293301732614
45.0,102032.80865873572,2815.2231045353064,29.152231045353066,4.728286329093256,184.67000299763706,2160.3408927808923,45.02562342007644
46.0,104215.33719202968,2877.5810626294196,29.775810626294195,4.758654608078339,190.7592248105272,2182.528533293953,45.31519912980718
47.0,106430.43012924597,2940.8694322641704,30.408694322641708,4.788841252322196,196.93930082104308,2215.0929372162936,45.60305514392608
48.0,108676.30863057963,3005.0373894451322,31.050373894451322,4.818821299730192,203.20526809285786,2245.87850133366,45.88898267462067
49.0,110956.1870917442,3070.1767740498344,31.701767740498344,4.848636577878307,209.56609474171245,2279.878461164568,46.17340072522669
50.0,113269.56659557272,3136.2733313020776,32.362733313020776,4.878278619115006,216.02038879620778,2313.379503828517,46.456211842283736
51.0,107138.4191062028,2961.0976887486513,30.610976887486512,4.798358953711723,198.9145794284044,-6131.14748936992,45.703442046461184
52.0,109342.52565095287,3024.072161455796,31.240721614557962,4.827597118567173,205.06400356902267,2204.106544750073,45.98239751646409
53.0,111572.68704566844,3087.79105844767,31.877910584476698,4.856595132365049,211.2861203495406,2230.161394715571,46.25906659868859
54.0,113827.40659839229,3152.2116170969225,32.52211617096923,4.885337022621461,217.5767540218871,2254.719552723851,46.53333558806431
55.00000000000001,116103.08786574556,3217.2310818784445,33.172310818784446,4.913782278212908,223.92587056307582,2275.681267353253,46.8048196409076
56.00000000000001,117446.9302342538,3255.6265781215375,33.55626578121537,4.930322720924352,227.6751705784375,1343.842368508238,46.960795868528486
57.00000000000001,119649.87885387534,3318.567967253581,34.18567967253581,4.9570376841111985,233.82136412534632,2202.948619621544,47.21583796520783
57.99999999999999,122377.77167216333,3396.5077620618094,34.965077620618096,4.98945420986221,241.43214409864453,2727.8928182880286,47.52507787860072
59.0,124696.97321131747,3462.770663180499,35.62770663180499,5.0164584244428045,247.90268154421554,2319.201539154119,47.78292325208705
60.0,127035.82906395209,3529.595116112917,36.29595116112917,5.043194393130435,254.42805422906844,2338.855852634617,48.03821152302983
61.0,129652.57281411494,3604.359223260427,37.04359223260427,5.072537473411054,261.7287299724401,2616.743750162859,48.3176676606709
62.0,132032.89497905868,3672.368427973105,37.72368427973105,5.098726453585667,268.36979304555643,2380.322164943733,48.567629625628804
63.0,134427.9568138771,3740.798766110774,38.40798766110774,5.124611746303942,275.0519795761426,2395.0618348184216,48.81469392595116
64.0,136813.34483904645,3808.952709687041,39.08952709687041,5.149944259284389,281.7071763231681,2385.388025169348,49.05661234703109
65.0,139233.41020371678,3878.097434391908,39.78097434391908,5.175203710884291,288.45912232633435,2420.0653646703286,49.2977366282126
66.0,141620.87351865903,3946.3106719616867,40.46310671961687,5.19970208082714,295.1201091006426,2387.463314942259,49.53150699495146
67.0,143973.8896520962,4013.539704345606,41.13539704345606,5.2234516182751545,301.68498875616007,2353.016133437166,49.75799823917209
68.0,146190.66906381852,4076.8762589662438,41.76876258966244,5.245478432786688,307.86977000520653,2216.779411722324,49.96835915382386
69.0,148559.73511458244,4144.563860416642,42.44563860416641,5.268657209596994,314.4794286888972,2369.0660507639113,50.189410042797505
70.0,150914.7872794998,4211.851065128566,43.11851065128566,5.2913403200793185,321.0499888416509,2355.052164917375,50.405762480263775
71.0,150993.9101073646,4214.111717353274,43.14111717353274,5.292096330070506,321.27074034248216,79.1228278647759,50.41950508426135
72.0,153294.63687132692,4279.846767752198,43.79846767752198,5.313910345011519,327.68973344287275,2300.7267639623315,50.62751618455212
73.0,155585.43065462622,4345.298018703606,44.45298018703606,5.3353116902542075,334.081013676468,2290.793783299305,50.831558960145486
74.0,157886.08474240554,4411.030992640159,45.110309926401584,5.356494610209439,340.4998040114,2300.654087779316,51.033493005498464
75.0,159894.565912336,4468.416168923885,45.684161689238856,5.374739958064323,346.1034362957677,2008.4811699304555,51.20892040531377
76.0,162173.62667610432,4533.532190745838,46.33532190745838,5.3951714965051245,352.4619815811736,2279.060763768328,51.403698414915134
