date,shift_pct,event_return_pct,bankroll_before_event,expected_event_profit,bankroll_after_event,cumulative_return_pct,pct_of_opening_ev_test_set,pct_of_opening_ev_event
2024-05-11,0.0,0.7068209146710193,3500.0,24.738732013485787,3524.738732013486,0.7068209146710247,30.837709343823438,10.276294261885438
2024-05-18,0.0,6.548759857948941,3524.738732013486,230.8266751796773,3755.565407193163,7.301868776947518,30.837709343823438,38.0579587946521
2024-06-01,0.0,5.156619176013804,3755.565407193163,193.6602059550637,3949.225613148227,12.835017518520765,30.837709343823438,36.86520340700738
2024-06-08,0.0,4.774260307551127,3949.225613148227,188.54631090417797,4137.771924052405,18.22205497292586,30.837709343823438,37.27144198002485
2024-06-15,0.0,0.8637470907181106,4137.771924052405,35.739884614553375,4173.511808666958,19.24319453334167,30.837709343823438,7.947524644214301
2024-06-22,0.0,0.0302349567877804,4173.511808666958,1.261859491883115,4174.773668158841,19.279247661681186,30.837709343823438,1.1116599739996345
2024-06-29,0.0,3.4258038537760185,4174.773668158841,143.01955721021295,4317.793225369054,23.365520724830112,30.837709343823438,35.914204567182416
2024-07-13,0.0,1.5893386330805503,4317.793225369054,68.62435582732451,4386.417581196379,25.32621660561083,30.837709343823438,21.950704786919427
2024-07-20,0.0,4.361943567791517,4386.417581196379,191.33305953947183,4577.7506407358505,30.792875449595726,30.837709343823438,37.23228646997
2024-07-27,0.0,1.722513219946495,4577.7506407358505,78.85235996286065,4656.603000698711,33.04580001996318,30.837709343823438,16.926575572219434
2024-08-03,0.0,3.8591178977117018,4656.603000698711,179.7037998253436,4836.306800524055,38.18019430068729,30.837709343823438,22.86197380509139
2024-08-10,0.0,0.7578074395169243,4836.306800524055,36.64989273223455,4872.956693256289,39.22733409303682,30.837709343823438,13.426882519647476
2024-08-17,0.0,6.357020715074138,4872.956693256289,309.7748664268938,5182.731559683183,48.078044562376654,30.837709343823438,40.323778908962886
2024-08-24,0.0,0.0,5182.731559683183,0.0,5182.731559683183,48.078044562376654,30.837709343823438,0.0
2024-09-07,0.0,4.408185088936438,5182.731559683183,228.46439981355616,5411.195959496739,54.60559884276399,30.837709343823438,50.94680583348478
2024-09-14,0.0,2.5055729729967613,5411.195959496739,135.58146347704314,5546.777422973782,58.479354942108074,30.837709343823438,22.57224963800969
2024-09-28,0.0,0.6834507650600616,5546.777422973782,37.90949273349361,5584.686915707276,59.56248330592218,30.837709343823438,16.169985898152923
2024-10-05,0.0,12.935514641962216,5584.686915707276,722.407993689063,6307.094909396339,80.20271169703825,30.837709343823438,58.555235775779735
2024-10-12,0.0,7.236931412366069,6307.094909396339,456.4401327058449,6763.535042102184,93.24385834577669,30.837709343823438,41.61235822296619
2024-10-19,0.0,4.88087048722344,6763.535042102184,330.11938576298144,7093.654427865165,102.67584079614758,30.837709343823438,42.86277925358911
2024-10-26,0.0,4.236449383134388,7093.654427865165,300.5190792509793,7394.173507116145,111.26210020331841,30.837709343823438,14.441487799309764
