,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5199999809265137,0.2840641438961029,0.5592840909957886,0.24705062806606293,9.999999747378752e-05
1,0.5376223921775818,0.2751355767250061,0.5950782895088196,0.2364904135465622,9.999999747378752e-05
2,0.5641958117485046,0.2632808983325958,0.6196867823600769,0.2307755947113037,9.999999747378752e-05
3,0.5695104598999023,0.2596416175365448,0.6353467702865601,0.22698156535625458,9.999999747378752e-05
4,0.5762237906455994,0.25410521030426025,0.6409395933151245,0.22429083287715912,9.999999747378752e-05
5,0.5868531465530396,0.2498701959848404,0.646532416343689,0.22164151072502136,9.999999747378752e-05
6,0.5739859938621521,0.2523624002933502,0.646532416343689,0.22130510210990906,9.999999747378752e-05
7,0.6039161086082458,0.24242401123046875,0.6565995812416077,0.21942952275276184,9.999999747378752e-05
8,0.6036363840103149,0.24257336556911469,0.6577181220054626,0.21721625328063965,9.999999747378752e-05
9,0.596643328666687,0.2445233315229416,0.6510066986083984,0.2170785367488861,9.999999747378752e-05
10,0.6165034770965576,0.23880915343761444,0.6554809808731079,0.21704836189746857,9.999999747378752e-05
11,0.6120279431343079,0.24099546670913696,0.6521252989768982,0.21708282828330994,9.999999747378752e-05
12,0.6061538457870483,0.23799532651901245,0.6554809808731079,0.216691792011261,9.999999747378752e-05
13,0.6151049137115479,0.235684335231781,0.6588366627693176,0.21573831140995026,9.999999747378752e-05
14,0.6232168078422546,0.23117901384830475,0.6610738039016724,0.21586184203624725,9.999999747378752e-05
15,0.6274126172065735,0.23073646426200867,0.6588366627693176,0.21552123129367828,9.999999747378752e-05
16,0.6209790110588074,0.2352173924446106,0.6543624401092529,0.2161310315132141,9.999999747378752e-05
17,0.6173426508903503,0.22979198396205902,0.6554809808731079,0.2149396687746048,9.999999747378752e-05
18,0.6318880915641785,0.22914734482765198,0.6498881578445435,0.215443417429924,9.999999747378752e-05
19,0.6313286423683167,0.23022882640361786,0.6577181220054626,0.21548086404800415,9.999999747378752e-05
20,0.622097909450531,0.23347227275371552,0.645413875579834,0.21566897630691528,9.999999747378752e-05
21,0.6363636255264282,0.23102423548698425,0.646532416343689,0.21577639877796173,9.999999747378752e-05
22,0.6125873923301697,0.23001880943775177,0.6476510167121887,0.2156641036272049,9.999999747378752e-05
23,0.6254545450210571,0.2284582406282425,0.6476510167121887,0.215070903301239,9.999999747378752e-05
24,0.6299300789833069,0.2285856008529663,0.6476510167121887,0.21488013863563538,9.999999747378752e-05
25,0.637202799320221,0.22585739195346832,0.6577181220054626,0.21511144936084747,9.999999747378752e-05
26,0.6352447271347046,0.22637437283992767,0.6543624401092529,0.21471577882766724,9.999999747378752e-05
27,0.6293706297874451,0.2285168468952179,0.6532438397407532,0.21447451412677765,9.999999747378752e-05
28,0.6363636255264282,0.2261948585510254,0.6565995812416077,0.2134670466184616,9.999999747378752e-05
29,0.640839159488678,0.223488450050354,0.6532438397407532,0.21460101008415222,9.999999747378752e-05
30,0.6433566212654114,0.2238151878118515,0.6532438397407532,0.2141033113002777,9.999999747378752e-05
