date,event_return,window_start,bankroll
2025-09-06,-0.05272366021376043,2025-09-01,473.6381698931198
2025-09-13,-0.03382232869831603,2025-09-01,457.61862402692583
2025-09-27,-0.15590969242820324,2025-09-01,386.2714451054702
2025-10-04,0.4366517007928891,2025-09-01,554.937528578501
2025-10-11,0.020249184578956775,2025-09-01,566.1745610244772
2025-10-18,-0.32057912650344067,2025-09-01,384.6708148027813
2025-10-25,-0.6058515562052249,2025-09-01,151.6174030277844
2025-11-01,0.14467303981714116,2025-09-01,173.55235361299458
2025-11-08,0.2348303800766747,2025-09-01,214.30771877513556
2025-11-15,0.2682410799699793,2025-09-01,271.79385270528053
2025-11-22,-0.10115838147330528,2025-09-01,244.2996264712204
