number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,0.21384755949078144,2026-09-14 10:14:30.299839,2026-09-14 10:14:30.377799,0 days 00:00:00.077960,0.7574350961345064,COMPLETE
1,0.21368936706304925,2026-09-14 10:14:30.377799,2026-09-14 10:14:30.427003,0 days 00:00:00.049204,5.874860728080803,COMPLETE
