stage,policy,switches,events,mean_event_return_pct,compounded_return_pct,profitable_events,max_drawdown_pct
close1,always_switch,27,27,1.4905762990280689,-7.0750793925870585,11,48.187337202443025
close1,keep_open,0,27,5.666686193488341,164.01347639203965,14,42.28172315461309
close1,learned,2,27,5.015567711949014,113.51759774800652,14,49.830396906615015
close1,positive_bankroll_ev_gain,18,27,2.097115665859814,-1.731027720447098,12,49.12633118630434
close1,positive_ev_gain,24,27,3.3663622644956503,34.69371082582848,11,48.18733720244302
close1,positive_expected_log_gain,18,27,2.097115665859814,-1.731027720447098,12,49.12633118630434
close2,always_switch,24,27,4.8856215484741,71.576680448692,12,52.510088004326306
close2,keep_open,0,27,8.746818677068644,357.4808891834973,16,47.73560601074155
close2,learned,7,27,4.17129055558085,37.641966885532405,12,69.06094222331495
close2,positive_bankroll_ev_gain,14,27,5.0658130928140945,67.13659174346986,12,54.438033157925815
close2,positive_ev_gain,21,27,6.86394095009943,154.39880328831163,12,52.510088004326306
close2,positive_expected_log_gain,13,27,4.556218962628732,52.2541994737042,12,54.438033157925815
