date,stage,policy,switched,event_return
2025-06-28,close1,positive_expected_log_gain,False,0.13196416174543332
2025-07-12,close1,learned,False,0.18503054200456195
2025-07-26,close1,learned,False,-0.148525940378941
2025-07-12,close1,keep_open,False,0.18503054200456195
2025-07-26,close1,keep_open,False,-0.148525940378941
2025-07-12,close1,always_switch,True,0.19376526254423038
2025-07-26,close1,always_switch,True,0.2847835348756033
2025-07-12,close1,positive_ev_gain,True,0.19376526254423038
2025-07-26,close1,positive_ev_gain,True,0.2847835348756033
2025-07-12,close1,positive_bankroll_ev_gain,False,0.18503054200456195
2025-07-26,close1,positive_bankroll_ev_gain,False,-0.148525940378941
2025-07-12,close1,positive_expected_log_gain,False,0.18503054200456195
2025-07-26,close1,positive_expected_log_gain,False,-0.148525940378941
2025-10-18,close1,learned,False,-0.08887213550874788
2025-10-25,close1,learned,False,0.13462005640246374
2025-11-08,close1,learned,False,-0.18773233381661536
2025-11-15,close1,learned,False,0.034717160858178754
2025-11-22,close1,learned,False,-0.11941198018030241
2025-12-06,close1,learned,True,-0.2299022252978194
2025-12-13,close1,learned,False,0.046528459883266766
2025-10-18,close1,keep_open,False,-0.08887213550874788
2025-10-25,close1,keep_open,False,0.13462005640246374
2025-11-08,close1,keep_open,False,-0.18773233381661536
2025-11-15,close1,keep_open,False,0.034717160858178754
2025-11-22,close1,keep_open,False,-0.11941198018030241
2025-12-06,close1,keep_open,False,-0.11403093073029394
2025-12-13,close1,keep_open,False,0.046528459883266766
2025-10-18,close1,always_switch,True,-0.1013868882550528
2025-10-25,close1,always_switch,True,-0.10750237312041168
2025-11-08,close1,always_switch,True,0.30398200461722946
2025-11-15,close1,always_switch,True,0.10264142692326651
2025-11-22,close1,always_switch,True,-0.1451475284223352
2025-12-06,close1,always_switch,True,-0.2299022252978194
2025-12-13,close1,always_switch,True,-0.10686789325214595
2025-10-18,close1,positive_ev_gain,True,-0.1013868882550528
2025-10-25,close1,positive_ev_gain,True,-0.10750237312041168
2025-11-08,close1,positive_ev_gain,True,0.30398200461722946
2025-11-15,close1,positive_ev_gain,True,0.10264142692326651
2025-11-22,close1,positive_ev_gain,True,-0.1451475284223352
2025-12-06,close1,positive_ev_gain,True,-0.2299022252978194
2025-12-13,close1,positive_ev_gain,True,-0.10686789325214595
2025-10-18,close1,positive_bankroll_ev_gain,True,-0.1013868882550528
2025-10-25,close1,positive_bankroll_ev_gain,True,-0.10750237312041168
2025-11-08,close1,positive_bankroll_ev_gain,True,0.30398200461722946
2025-11-15,close1,positive_bankroll_ev_gain,True,0.10264142692326651
2025-11-22,close1,positive_bankroll_ev_gain,True,-0.1451475284223352
2025-12-06,close1,positive_bankroll_ev_gain,True,-0.2299022252978194
2025-12-13,close1,positive_bankroll_ev_gain,True,-0.10686789325214595
2025-10-18,close1,positive_expected_log_gain,True,-0.1013868882550528
2025-10-25,close1,positive_expected_log_gain,True,-0.10750237312041168
2025-11-08,close1,positive_expected_log_gain,True,0.30398200461722946
2025-11-15,close1,positive_expected_log_gain,True,0.10264142692326651
2025-11-22,close1,positive_expected_log_gain,True,-0.1451475284223352
2025-12-06,close1,positive_expected_log_gain,True,-0.2299022252978194
2025-12-13,close1,positive_expected_log_gain,True,-0.10686789325214595
2026-01-24,close1,learned,False,0.05640780855700407
2026-01-31,close1,learned,False,0.0524031764720634
2026-01-24,close1,keep_open,False,0.05640780855700407
2026-01-31,close1,keep_open,False,0.0524031764720634
2026-01-24,close1,always_switch,True,-0.11878238373156927
2026-01-31,close1,always_switch,True,0.10064284102073019
2026-01-24,close1,positive_ev_gain,True,-0.11878238373156927
2026-01-31,close1,positive_ev_gain,True,0.10064284102073019
2026-01-24,close1,positive_bankroll_ev_gain,True,-0.11878238373156927
2026-01-31,close1,positive_bankroll_ev_gain,True,0.10064284102073019
2026-01-24,close1,positive_expected_log_gain,True,-0.11878238373156927
2026-01-31,close1,positive_expected_log_gain,True,0.10064284102073019
2024-10-12,close2,learned,False,-0.3001775326774781
2024-10-26,close2,learned,False,0.30245793903832197
2024-11-16,close2,learned,False,-0.10442159017918218
2024-12-07,close2,learned,False,-0.1674950476620024
2024-10-12,close2,keep_open,False,-0.3001775326774781
