stage,events,mean_event_return_pct,compounded_return_pct,profitable_events,max_drawdown_pct
open,39,10.829021298248435,2034.1973961407296,22,35.3850701263376
close1,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
close2,39,4.543514173112971,108.67071400213781,17,52.510088004326306
