stage,rule,threshold,log_growth,switches,events,mean_event_return_pct,compounded_return_pct,profitable_events,max_drawdown_pct
close1,keep,0.0,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,switch,0.0,-0.042839108700978956,39,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
close1,ev,-0.2,0.22983986864428704,38,39,2.526971802292432,25.839848473926974,17,48.187337202443025
close1,ev,-0.175,0.3836744112477905,37,39,3.0047709870032566,46.7667507848732,17,48.187337202443025
close1,ev,-0.15,0.3836744112477905,37,39,3.0047709870032566,46.7667507848732,17,48.187337202443025
close1,ev,-0.125,0.3836744112477905,37,39,3.0047709870032566,46.7667507848732,17,48.187337202443025
close1,ev,-0.1,0.209306832882463,36,39,2.562209536239661,23.282321120270645,16,48.18733720244302
close1,ev,-0.075,0.27416855375091975,35,39,2.756490860681784,31.543650531082502,16,48.187337202443025
close1,ev,-0.05,0.27416855375091975,35,39,2.756490860681784,31.543650531082502,16,48.187337202443025
close1,ev,-0.025,0.30783938582186954,34,39,2.8336794344086718,36.04824586161348,16,48.187337202443025
close1,ev,-0.0,0.30783938582186954,34,39,2.8336794344086718,36.04824586161348,16,48.187337202443025
close1,ev,0.025,0.9019297796320951,23,39,4.3021570405778276,146.43541859331268,19,48.187337202443025
close1,ev,0.05,1.2354944288665597,15,39,5.0134791609141836,244.00789746420352,19,32.35659921303892
close1,ev,0.075,0.3795447931923839,9,39,2.687810460930126,46.16190990138176,17,59.45048420699142
close1,ev,0.1,0.28232530497967506,6,39,2.5084864047403945,32.62100725631176,18,54.59852413025346
close1,ev,0.125,0.41262345543263346,2,39,2.8596881501733318,51.07760443052551,18,56.25352850433445
close1,ev,0.15,0.6526527225460271,1,39,3.480514892539678,92.06289730923683,19,56.25352850433445
close1,ev,0.175,0.6526527225460271,1,39,3.480514892539678,92.06289730923683,19,56.25352850433445
close1,ev,0.2,0.6526527225460271,1,39,3.480514892539678,92.06289730923683,19,56.25352850433445
close1,ev,0.225,0.6526527225460271,1,39,3.480514892539678,92.06289730923683,19,56.25352850433445
close1,ev,0.25,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.275,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.3,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.325,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.35,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.375,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.4,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.425,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.45,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.475,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,ev,0.5,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,-0.05,-0.042839108700978956,39,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
close1,expected_return,-0.045,-0.042839108700978956,39,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
close1,expected_return,-0.04,-0.042839108700978956,39,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
close1,expected_return,-0.035,-0.042839108700978956,39,39,1.4998206474454248,-4.1934477926156895,17,48.18733720244302
close1,expected_return,-0.03,0.22983986864428704,38,39,2.526971802292432,25.839848473926974,17,48.187337202443025
close1,expected_return,-0.025,0.22983986864428704,38,39,2.526971802292432,25.839848473926974,17,48.187337202443025
close1,expected_return,-0.02,0.22983986864428704,38,39,2.526971802292432,25.839848473926974,17,48.187337202443025
close1,expected_return,-0.015,0.6819079619425674,35,39,3.7594764704581287,97.7647410880956,18,48.18733720244302
close1,expected_return,-0.01,0.314330035040555,33,39,2.9384056618909598,36.934159268717124,17,48.187337202443025
close1,expected_return,-0.005,0.314330035040555,33,39,2.9384056618909598,36.934159268717124,17,48.187337202443025
close1,expected_return,-0.0,-0.007455672083484521,28,39,1.9549702507377087,-0.7427947504952903,17,49.613769932871634
close1,expected_return,0.005,-0.03426919382556761,19,39,1.8536241550371566,-3.3688655425199387,17,48.609638871604744
close1,expected_return,0.01,1.032291196817277,10,39,4.721608978688631,180.7490985656458,20,45.07073191663278
close1,expected_return,0.015,1.5417391019464002,5,39,6.029863600135158,367.2709527068212,22,32.90184797198003
close1,expected_return,0.02,1.6045619233019905,4,39,6.16407194497309,397.5679396025508,22,32.90184797198003
close1,expected_return,0.025,1.2033302469667377,2,39,5.056934398855777,233.11921634552385,21,49.830396906615036
close1,expected_return,0.03,1.343494799512489,1,39,5.354040282362252,283.2413646119603,21,42.281723154613104
close1,expected_return,0.035,1.343494799512489,1,39,5.354040282362252,283.2413646119603,21,42.281723154613104
close1,expected_return,0.04,1.343494799512489,1,39,5.354040282362252,283.2413646119603,21,42.281723154613104
close1,expected_return,0.045,1.343494799512489,1,39,5.354040282362252,283.2413646119603,21,42.281723154613104
close1,expected_return,0.05,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.055,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.06,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.065,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.07,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.075,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.08,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.085,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.09,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.095,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_return,0.1,1.080527089610412,0,39,4.629838821747103,194.62320701852875,20,42.28172315461309
close1,expected_log_growth,0.0,-0.03433962303278637,27,39,1.8721318632384982,-3.3756709570596177,17,49.61376993287161
close2,keep,0.0,1.9357690511990544,0,39,7.897883912569588,592.93710478638,22,47.73560601074155
close2,switch,0.0,0.7355872924321737,35,39,4.543514173112971,108.67071400213781,17,52.510088004326306
close2,ev,-0.2,1.20046872686224,32,39,6.186378812816612,232.1673515503933,17,52.510088004326306
close2,ev,-0.175,1.20046872686224,32,39,6.186378812816612,232.1673515503933,17,52.510088004326306
close2,ev,-0.15,1.3250610611747993,31,39,6.5937291336436745,276.24150854712343,17,52.510088004326306
close2,ev,-0.125,1.3250610611747993,31,39,6.5937291336436745,276.24150854712343,17,52.510088004326306
close2,ev,-0.1,0.9530812336378244,30,39,5.599376870143081,159.368912187692,16,52.510088004326306
close2,ev,-0.075,0.9530812336378244,30,39,5.599376870143081,159.368912187692,16,52.510088004326306
close2,ev,-0.05,0.9530812336378244,30,39,5.599376870143081,159.368912187692,16,52.510088004326306
close2,ev,-0.025,0.9530812336378244,30,39,5.599376870143081,159.368912187692,16,52.510088004326306
close2,ev,-0.0,0.9530812336378244,30,39,5.599376870143081,159.368912187692,16,52.510088004326306
close2,ev,0.025,0.9403402807833553,28,39,5.56050319495359,156.08526790399077,16,52.510088004326306
close2,ev,0.05,0.8998088503316897,18,39,5.313567070304911,145.91330037699444,17,58.669987608571184
close2,ev,0.075,1.199401057568013,14,39,6.067446243219274,231.8128959229639,18,58.669987608571184
close2,ev,0.1,1.6176892017145579,10,39,7.3740600179604,404.1427124955664,20,61.634908649598685
close2,ev,0.125,1.3762877311454536,6,39,6.489759055555592,296.0173079063354,20,62.158441503671355
close2,ev,0.15,1.3762877311454536,6,39,6.489759055555592,296.0173079063354,20,62.158441503671355
close2,ev,0.175,1.320605301018773,5,39,6.289778529564695,274.5687959947415,20,62.158441503671355
close2,ev,0.2,1.320605301018773,5,39,6.289778529564695,274.5687959947415,20,62.158441503671355
close2,ev,0.225,1.286929546123298,4,39,6.217066058219724,262.16493590636736,20,62.15844150367138
close2,ev,0.25,1.286929546123298,4,39,6.217066058219724,262.16493590636736,20,62.15844150367138
close2,ev,0.275,1.5771954542225362,2,39,6.891455250842197,384.1358940852122,21,54.365364193199724
close2,ev,0.3,1.5771954542225362,2,39,6.891455250842197,384.1358940852122,21,54.365364193199724
close2,ev,0.325,1.5771954542225362,2,39,6.891455250842197,384.1358940852122,21,54.365364193199724
close2,ev,0.35,1.5771954542225362,2,39,6.891455250842197,384.1358940852122,21,54.365364193199724
close2,ev,0.375,1.5771954542225362,2,39,6.891455250842197,384.1358940852122,21,54.365364193199724
close2,ev,0.4,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,ev,0.425,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,ev,0.45,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,ev,0.475,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,ev,0.5,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,-0.05,0.7355872924321737,35,39,4.543514173112971,108.67071400213781,17,52.510088004326306
close2,expected_return,-0.045,0.7355872924321737,35,39,4.543514173112971,108.67071400213781,17,52.510088004326306
close2,expected_return,-0.04,0.9311882167734568,34,39,5.224123394056908,153.75225138289608,17,52.510088004326306
close2,expected_return,-0.035,0.9311882167734568,34,39,5.224123394056908,153.75225138289608,17,52.510088004326306
close2,expected_return,-0.03,1.1393569377109043,33,39,6.052327733750271,212.4758304730073,17,52.51008800432631
close2,expected_return,-0.025,1.128861845381278,32,39,6.018392208342114,209.21351686710707,17,52.510088004326306
close2,expected_return,-0.02,1.2534541796938372,31,39,6.425742529169176,250.2420075489928,17,52.510088004326306
close2,expected_return,-0.015,1.5985192831760018,28,39,7.367518278210723,394.5703813092537,18,54.5571484563151
close2,expected_return,-0.01,1.1586297103347483,26,39,6.1224555740783035,218.55651370065226,17,54.5571484563151
close2,expected_return,-0.005,1.1586297103347483,26,39,6.1224555740783035,218.55651370065226,17,54.5571484563151
close2,expected_return,-0.0,0.488417196868444,21,39,4.225786476151691,62.97346283453506,16,55.31854065788717
close2,expected_return,0.005,0.3990277374660828,15,39,3.8794626380489325,49.03749572589129,17,60.542334353553606
close2,expected_return,0.01,0.4472061785117868,10,39,4.100739385568261,56.39367161922306,18,75.02797427860222
close2,expected_return,0.015,0.7531634603916142,6,39,4.799622313153068,112.3707666412618,19,69.06094222331495
close2,expected_return,0.02,1.5894237384834335,3,39,7.037885918329871,390.0923900587883,21,54.59849731369195
close2,expected_return,0.025,1.5894237384834335,3,39,7.037885918329871,390.0923900587883,21,54.59849731369195
close2,expected_return,0.03,1.9308334076119746,2,39,7.89097156538275,589.5254405141744,22,45.91395504917516
close2,expected_return,0.035,1.9308334076119746,2,39,7.89097156538275,589.5254405141744,22,45.91395504917516
close2,expected_return,0.04,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.045,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.05,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.055,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.06,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.065,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.07,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.075,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.08,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.085,1.9963874569361177,1,39,8.03133949431617,636.2410972882072,22,44.469426569937745
close2,expected_return,0.09,1.9357690511990544,0,39,7.897883912569588,592.93710478638,22,47.73560601074155
close2,expected_return,0.095,1.9357690511990544,0,39,7.897883912569588,592.93710478638,22,47.73560601074155
close2,expected_return,0.1,1.9357690511990544,0,39,7.897883912569588,592.93710478638,22,47.73560601074155
close2,expected_log_growth,0.0,0.3951572930897448,20,39,3.8729905398695155,48.461769266029656,16,55.42321921315907
