date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2
2026-10-17,jamey lyn horth,katlyn cerminara,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,cody chovancek,suyoung you,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,melissa croden,chelsea chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,tanner boser,jhonata diniz,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,chad anheliger,steven koslow,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,javad mahjoub,louie sutherland,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,erin blanchfield,jasmine jasudavicius,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,mandel nallo,nate landwehr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,marc andre barriault,kyle daukaus,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,kyle nelson,cristian perez,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,joaquin buckley,mike malott,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,louis jourdain,timmy cuamba,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-17,julien leblanc,gilbert urbina,,,,,,,,,,,,,,,,,,,,,,,,,,,
