win_pct_red,proba_fair_close2_diff,sub_att_pm_red,proba_fair_open_diff,elo_pred,elo_blue,age_red,adjusted_td_red,sig_str_defense_pct_diff,win_pct_blue,adjusted_sig_str_red,age_blue,elo_red,reach_diff,win_streak_diff,adjusted_sig_str_blue,lose_streak_diff,ratio_control_diff,sub_att_pm_blue,sig_str_absorbed_total_diff,proba_fair_close1_diff,ratio_td_diff,td_landed_pm_diff,adjusted_td_blue,sig_str_accuracy_pct_diff,fighter_red,fighter_blue,date,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2,open_red,open_blue
0.7692307692307693,-0.3048654536663554,0.08636305449388701,-0.16796527007262024,1,1500.0,32.0,1.7163247278631941,,0.0,2.24931251973022,28.0,1636.440165549963,-3.0,3.0,,0.0,,,,-0.30704902898834235,,,,,nathaniel wood,losene keita,2026-03-21,150.0,190.0,-225.0,-186.0,losene keita,0,,0.0,0.0,,,losene keita,0,,0.0,0.0,,,losene keita,0,,0.0,0.0,,,130.0,-150.0
1.0,0.44275636568931903,0.0,0.16796527007262024,1,1500.7769386302707,26.0,-3.538582874819237,-0.001366345982210193,0.5,-1.1442824290184983,25.0,1527.6061211231838,0.0,0.0,1.7962858223278926,0.0,0.22271882307919533,0.0,-138.0,0.4615498798819811,-0.12047189295845773,0.0,-4.3927357962271705,0.02954015775142038,luke riley,michael aswell jr,2026-03-21,-333.0,-265.0,200.0,250.0,luke riley,1,0.5352068002570984,0.0,0.0,-0.06479319974290165,-0.08352274854230712,luke riley,1,0.6555280558771895,0.0,0.0,-0.11352506190572043,-0.10296861585028774,luke riley,1,0.6493615004200134,0.0,0.0,-0.0766658968402606,-0.09983207717851655,-150.0,130.0
0.75,0.24430429243425017,0.0,0.18521627092038806,1,1579.5395140324074,38.0,-3.1001485218958975,0.010021882777472846,0.8,-0.7701768855575666,29.0,1583.8679529952217,1.0,-2.0,-1.3177792746941832,0.0,0.09452391695324147,0.14319183841111408,48.0,0.26769175636174725,-0.8955733487455378,-0.14319183841111408,-1.7980178550796502,0.05071193536167523,michael page,sam patterson,2026-03-21,-205.0,-166.0,140.0,163.0,michael page,1,0.5427934438388575,0.0,0.0,-0.0650496934160445,-0.08406008733351678,michael page,1,0.6113090570610893,0.0,0.0,-0.060822090479894286,-0.03555567985148794,michael page,1,0.6029131309743937,0.0,0.0,-0.021147019401546174,-0.03092332857760033,-155.0,135.0
1.0,0.6224100333332512,0.0,0.6087615604788202,1,1482.5367111208777,27.0,-3.075459417930883,0.0035066748684998705,0.16666666666666666,-0.33995720304977517,38.0,1526.627393153964,-7.0,1.0,-0.6207176620322773,-2.0,-0.867195855930813,0.0,-48.0,0.6422147981312794,-0.3616767884969081,-0.2658664168791701,0.5055806371877222,0.0014118939516564177,iwo baraniewski,austen lane,2026-03-21,-550.0,-435.0,330.0,420.0,iwo baraniewski,1,0.7759212784572382,0.0,0.0,-0.04226053972457988,-0.0353806337512208,iwo baraniewski,1,0.7699008503113024,0.0,0.0,-0.07625299584254375,-0.062362790558953246,iwo baraniewski,1,0.7681516858147727,0.0,0.0,-0.044932426334760134,-0.0530733044881381,-450.0,350.0
0.6923076923076923,-0.5993879936708671,0.10504140023862532,-0.3988597902453774,1,1599.6536770733928,37.0,-1.1192573791154188,0.10543402564607074,0.75,0.31879353241869146,30.0,1622.544053508812,-3.0,-3.0,0.3114569566529672,1.0,-0.18534218621081777,0.0,396.0,-0.603557411096745,0.11080139834772895,0.06000349795190364,-1.1298957977216781,-0.12871783155600697,roman dolidze,christian leroy duncan,2026-03-21,300.0,350.0,-480.0,-430.0,christian leroy duncan,0,0.7541633410024459,0.13956317472843896,69.78158736421948,0.03987762671673156,0.07825437011118352,christian leroy duncan,0,0.7964735045500075,0.0,0.0,-0.031112702346544285,-0.006616789597494316,christian leroy duncan,0,0.7971310826615183,0.0,0.0,-0.014189672055462843,-0.0032048685923081466,210.0,-250.0
0.0,0.31386781436005284,,0.06917245486583007,0,1521.0336668208745,23.0,,,0.6666666666666666,,29.0,1500.0,2.0,0.0,1.4700304406731386,-1.0,,0.05821130959783655,,0.3239971587675256,,,4.165194749154476,,kurtis campbell,danny silva,2026-03-21,-225.0,-205.0,163.0,175.0,danny silva,0,,0.0,0.0,,,danny silva,0,,0.0,0.0,,,danny silva,0,,0.0,0.0,,,-125.0,105.0
0.5,0.08072298170998715,0.0529969485658807,0.34297776634041754,0,1522.1562979522985,30.0,3.919207256101891,-0.01507552959422731,1.0,1.1127794136308005,28.0,1480.090453960307,0.0,1.0,-0.5572493837838064,0.0,-0.1845165965445945,0.0,305.0,0.07732321029199063,0.6289769847848221,0.3642196153666429,1.988391831810099,-0.010758408264505803,mason jones,axel sola,2026-03-21,-135.0,-120.0,100.0,115.0,mason jones,1,0.7388646075035341,0.1394970444016879,69.74852220084395,0.05136460750353411,0.10033781053117874,mason jones,1,0.659698557028375,0.11078140630549102,55.39070315274551,0.08523047192199196,0.22469942302565726,mason jones,1,0.6636558302980486,0.11302276419771057,56.511382098855286,0.11820128484350323,0.22817010747374133,-220.0,185.0
1.0,0.3460478183079189,0.04203671520165833,0.3988597902453774,1,1662.53697067656,32.0,5.484194494977195,-0.0353604838298458,0.9,0.36210524199649724,34.0,1708.4670733100502,-1.0,0.0,0.7330458043346755,0.0,0.850334952882009,0.10909576826034978,13.0,0.3600968817499588,1.1759999241526151,0.6527364072722138,1.938132190173105,-0.050554464469147686,movsar evloev,lerone murphy,2026-03-21,-245.0,-220.0,175.0,188.0,movsar evloev,1,0.7494342534364627,0.1230123784895929,61.50618924479645,0.03514853915074845,0.07149302405068436,movsar evloev,1,0.7389045581950824,0.09921466982053351,49.60733491026675,0.028759630658850455,0.08654694839734683,movsar evloev,1,0.7363275162182135,0.1479130422938459,73.95652114692294,0.04882751621821346,0.09405848173184717,-250.0,210.0
0.0,0.7004992515940149,,0.5647042644718702,1,1435.0782104651562,26.0,,,0.0,,35.0,1500.0,-5.0,0.0,-1.3846348490856841,-3.0,,0.0,,0.7035868301903012,,,-3.5771595415116173,,mantas kondratavicius,antonio trocoli,2026-03-21,-700.0,-590.0,390.0,525.0,antonio trocoli,0,,0.0,0.0,,,antonio trocoli,0,,0.0,0.0,,,antonio trocoli,0,,0.0,0.0,,,-400.0,300.0
0.0,-0.4158003329943736,0.0,0.22551388679589196,0,1526.125,32.0,-6.856987080090852,0.00858295622325711,1.0,-0.8414910189301853,31.0,1478.1347099678014,-3.0,-1.0,,1.0,-0.4140059857582159,0.0,2.0,-0.4400598821189452,-0.3465880164950832,0.0,,-0.01860452938074114,louie sutherland,brando pericic,2026-03-21,210.0,225.0,-295.0,-255.0,brando pericic,0,,0.0,0.0,,,brando pericic,0,,0.0,0.0,,,brando pericic,0,,0.0,0.0,,,-170.0,145.0
