,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,renato moicano,chris duncan,,,,,,,,,
1,dione barbosa,melissa gatto,,,,,,,,,
2,alice pereira,hailey cowan,,,,,,,,,
3,guilherme pat,thomas petersen,,,,,,,,,
4,ethyn ewing,rafael estevam,,,,,,,,,
5,virna jandiroba,tabatha ricci,,,,,,,,,
6,edmen shahbazyan,junyong park,,,,,,,,,
7,tofiq musayev,samuel sanches,,,,,,,,,
8,jose delano,robert ruchala,,,,,,,,,
9,alessandro costa,stewart nicoll,,,,,,,,,
