date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2
2026-05-16,jeremiah wells,nicolas dalby,,,,,,,nicolas dalby,0,,,,,,nicolas dalby,0,,,,,,nicolas dalby,0,,,,,
2026-05-16,dooho choi,daniel santos,,,,,,,daniel santos,0,,,,,,daniel santos,0,,,,,,daniel santos,0,,,,,
2026-05-16,malcolm wellmaker,juan diaz,-300.0,250.0,-280.0,-225.0,163.0,215.0,juan diaz,0,,,,,,juan diaz,0,,,,,,juan diaz,0,,,,,
2026-05-16,modestas bukauskas,rodolfo bellato,130.0,-150.0,-136.0,-118.0,-105.0,107.0,rodolfo bellato,0,0.6018726482222779,0.043000419628587014,47.30046159144572,0.017890013185967835,0.003121080370463103,rodolfo bellato,0,0.5123881368351657,0.08607174498601482,94.6789194846163,0.04592527560515053,0.00037683858294257355,rodolfo bellato,0,0.5208836794367404,0.09502206689385233,104.52427358323756,0.05031028060768855,0.07822921643405278
2026-05-16,timmy cuamba,benardo sopaj,170.0,-200.0,120.0,140.0,-172.0,-155.0,benardo sopaj,0,0.6173801984826333,0.0,0.0,-0.03344216705373704,-0.07392970227605011,benardo sopaj,0,0.581905618491459,0.0,0.0,-0.01110455716524894,-0.07977716145536701,benardo sopaj,0,0.5862067050870947,0.0,0.0,-0.010480640128820329,-0.035595420663166844
2026-05-16,nikolay veretennikov,khaos williams,130.0,-150.0,-102.0,108.0,-128.0,-124.0,khaos williams,0,0.5159319901183652,0.0,0.0,-0.06805064491794488,-0.14011334980272472,nikolay veretennikov,1,0.5257528244411365,0.10379255509154453,114.17181060069899,0.05492777247170305,0.04119676997166244,nikolay veretennikov,1,0.5215021998751552,0.1089282384020983,119.82106224230813,0.05849752522624868,0.08472457574032288
2026-05-16,arnold allen,melquizael costa,-150.0,130.0,-188.0,-163.0,120.0,155.0,melquizael costa,0,0.5573390073459863,0.08422015110527743,92.64216621580518,0.1413216423822965,0.2818797168957684,arnold allen,1,0.5006624715805545,0.0,0.0,-0.10435470099985555,-0.23302770311063986,melquizael costa,0,0.500935550511115,0.11539036625762081,126.92940288338289,0.11536536074278997,0.27738565380334324
2026-05-16,tuco tokkos,ivan erslan,250.0,-300.0,120.0,170.0,-205.0,-163.0,ivan erslan,0,,,,,,ivan erslan,0,,,,,,ivan erslan,0,,,,,
2026-05-16,ketlen vieira,jacqueline cavalcanti,140.0,-160.0,120.0,138.0,-175.0,-155.0,jacqueline cavalcanti,0,0.6724354278287779,0.11635570369455442,127.99127406400986,0.07155797960495536,0.09270757022176401,jacqueline cavalcanti,0,0.6173385527930382,0.05436571027460858,0.0,0.021999690153111318,-0.029896559896654296,jacqueline cavalcanti,0,0.6241779171207291,0.07185821908317132,79.04404099148844,0.029098659455218612,0.026873347521199464
2026-05-16,cody brundage,andre petroski,140.0,-160.0,150.0,180.0,-235.0,-200.0,andre petroski,0,0.5653093513040073,0.0,0.0,-0.03556809691981522,-0.08137230413098817,andre petroski,0,0.6001348533393789,0.0,0.0,-0.05914370767449262,-0.14448861332471524,andre petroski,0,0.596158752083197,0.0,0.0,-0.06035226882134315,-0.10576187187520447
2026-05-16,alice ardelean,polyana viana,-270.0,230.0,-205.0,-188.0,140.0,170.0,alice ardelean,1,0.736467766605042,0.06942081094706928,76.3628920417762,0.01966068182158398,0.009233606088390744,alice ardelean,1,0.6784678231046145,0.12185912641016604,134.04503905118264,0.04462194492374083,0.009427736814182575,alice ardelean,1,0.6900761206730979,0.13247159573310685,145.71875530641753,0.04732870919666021,0.05713788698857547
2026-05-16,daniel barez,luis gurule,-130.0,110.0,-120.0,-110.0,-113.0,-106.0,daniel barez,1,0.5133332849509955,0.0,0.0,-0.032069450493438234,-0.09179495739439258,luis gurule,0,0.5040518461343406,0.023265808111425805,0.0,0.011813484852765954,-0.04988457321580042,luis gurule,0,0.5095613891355583,0.028272807997819217,0.0,0.014269515964781654,-0.009720319227122631
2026-05-16,shauna bannon,nicolle caliari,190.0,-225.0,163.0,215.0,-255.0,-225.0,nicolle caliari,0,0.7209014796546761,0.1349166516691591,148.408316836075,0.043990089837271706,0.04130213727897658,nicolle caliari,0,0.7310264267251563,0.16376627297841231,180.14290027625356,0.05267906983023185,0.01770345681345281,nicolle caliari,0,0.7440825480493272,0.17901813239015169,196.91994562916685,0.05580789582026524,0.07478590273791702
