date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2
2026-06-14,mauricio ruffy,michael chandler,-700.0,500.0,-700.0,-600.0,420.0,450.0,mauricio ruffy,1,0.8657558473724664,0.023461140878147702,0.0,0.0032251875564832666,-0.0105647458600385,mauricio ruffy,1,0.8406758893761912,0.0,0.0,-0.014470334805538387,-0.03922755499863868,mauricio ruffy,1,0.8405417557307234,0.0,0.0,-0.004366475942433334,-0.01936795164748928
2026-06-14,diego lopes,steve garcia,-225.0,190.0,-200.0,-175.0,140.0,160.0,diego lopes,1,0.6141502112985,0.0,0.0,-0.06276117851890439,-0.11289413923550001,diego lopes,1,0.6056683566002999,0.0,0.0,-0.024879979391673412,-0.09149746509955009,diego lopes,1,0.5985536414516653,0.0,0.0,-0.028557415131730712,-0.05941570629024018
2026-06-14,josh hokit,derrick lewis,-400.0,330.0,-350.0,-315.0,240.0,270.0,josh hokit,1,0.8731437465204627,0.20267343785883735,222.94078164472108,0.08466439180382568,0.09142968315057834,josh hokit,1,0.8152383957322895,0.24527400872517974,269.8014095976977,0.06385017415853589,0.04816365165580069,josh hokit,1,0.8212549859492881,0.24728562729236672,272.0141900216034,0.07330253662321962,0.08197085450461772
2026-06-14,bo nickal,kyle daukaus,-300.0,250.0,-350.0,-330.0,240.0,285.0,bo nickal,1,0.7862949293155014,0.15790352928239412,173.69388221063355,0.049984551610004924,0.048393239087335116,bo nickal,1,0.7796029853560071,0.11348232118498476,124.83055330348324,0.028214763782253516,0.002346695457723369,bo nickal,1,0.7873549774566443,0.12386260059795229,136.2488606577475,0.030064463066647007,0.02594739486774858
2026-06-14,alex pereira,ciryl gane,160.0,-185.0,-115.0,-110.0,-115.0,-105.0,ciryl gane,0,0.6215921750482216,0.0,0.0,-0.012811804845297092,-0.042412054655442344,ciryl gane,0,0.5026389099224542,0.005277819844908382,0.0,0.002638909922454191,-0.06028377710149874,ciryl gane,0,0.5085795911127649,0.0286345275284424,0.0,0.014486402518009978,-0.007058893541744826
2026-06-14,sean omalley,aiemann zahabi,,,,,,,aiemann zahabi,0,,,,,,aiemann zahabi,0,,,,,,aiemann zahabi,0,,,,,
2026-06-14,ilia topuria,justin gaethje,-500.0,385.0,-900.0,-750.0,460.0,550.0,ilia topuria,1,0.8799486818177947,0.21366052471768934,235.02657718945827,0.05970876445162898,0.055938418181353644,ilia topuria,1,0.8749224770240323,0.0,0.0,-0.003960284619008769,-0.0278639144177419,ilia topuria,1,0.8787328445041994,0.05479422866978277,0.0,0.007029940410773872,-0.004102776228574023
