,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,julien leblanc,robert valentin,,,,,,,,,
1,gilbert burns,mike malott,,,,,,,,,
2,melissa croden,daria zhelezniakova,,,,,,,,,
3,jasmine jasudavicius,karine silva,,,,,,,,,
4,tanner boser,gokhan saricam,,,,,,,,,
5,donghun choi,andre lima,,,,,,,,,
6,john castaneda,mark vologdin,,,,,,,,,
7,mitch raposo,allan nascimento,,,,,,,,,
