,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,sean brady,joaquin buckley,,,,,,,,,
1,davey grant,juan adrian martinetti,,,,,,,,,
