date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2
2026-10-03,roberto soldic,khaos williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,damian pinas,andrey pulyaev,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,natalia silva,wang cong,-250.0,207.0,-225.0,-200.0,160.0,177.0,natalia silva,1.0,0.7499815281242448,0.17169456209840722,600.9309673444253,0.0518286775050133,0.04997413937394263,natalia silva,1.0,0.7236740253157538,0.1869581439080575,654.3535036782013,0.06354564586295208,0.04530692545608872,natalia silva,1.0,0.7198908488519303,0.18842736410857666,659.4957743800184,0.06503940173585498,0.0798362732778955
2026-10-03,deiveson figueiredo,payton talbott,207.0,-250.0,400.0,505.0,-715.0,-649.0,payton talbott,0.0,0.7403573673199062,0.13981228853073352,489.3430098575673,0.04220451670067471,0.03650031424786859,payton talbott,0.0,0.8329883609857486,0.0,0.0,-0.021775745243713396,-0.05050977034491602,payton talbott,0.0,0.8339465367064797,0.0,0.0,-0.02275118031898249,-0.03755630817695946
2026-10-03,king green,esteban ribovics,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,ateba gautier,roman kopylov,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,court mcgee,eric nolan,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,marcus mcghee,benardo sopaj,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,anthony wint,lucas armand,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,johnny walker,mick parkin,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,rafael dos anjos,alexander hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,marvin vettori,ismail naurdiev,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-03,imanol rodriguez,alden coria,,,,,,,,,,,,,,,,,,,,,,,,,,,
