elo_pred,td_landed_pm_diff,win_streak_diff,sig_str_defense_pct_diff,adjusted_td_blue,adjusted_sig_str_blue,age_red,ratio_control_diff,proba_fair_close1_diff,reach_diff,elo_blue,adjusted_td_red,sub_att_pm_blue,proba_fair_close2_diff,adjusted_sig_str_red,win_pct_blue,age_blue,sig_str_accuracy_pct_diff,elo_red,ratio_td_diff,win_pct_red,proba_fair_open_diff,sig_str_absorbed_total_diff,sub_att_pm_red,lose_streak_diff,fighter_red,fighter_blue,date,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2,open_red,open_blue
1,,0.0,,,,36.0,,-0.45860710504522256,2.0,1500.0,1.045824844375846,,-0.45860710504522256,0.34348649579446855,0.0,30.0,,1564.6514917302911,,0.5294117647058824,-0.5280039758003412,,0.09723487591710622,1.0,julian erosa,lerryan douglas,2026-03-28,246.0,246.0,-286.0,-286.0,lerryan douglas,0,,0.0,0.0,,,lerryan douglas,0,,0.0,0.0,,,lerryan douglas,0,,0.0,0.0,,,285.0,-350.0
1,-0.15222534446503935,-3.0,0.003550821299736606,-0.8261303763328225,-0.6617569086483933,36.0,-0.19841825197443103,-0.01101245012497093,5.0,1619.5100259094136,-2.892464347063852,0.20754678834199922,0.0023976138143420034,1.2267162737241284,0.8571428571428571,29.0,0.02617124797874476,1646.075581525034,-0.616974248837404,0.7222222222222222,0.0,816.0,0.019869288929935402,3.0,israel adesanya,joe pyfer,2026-03-28,-115.0,-106.0,-120.0,-105.0,joe pyfer,0,0.5499059431384574,0.05479913571279489,27.399567856397447,0.026096419328933584,0.09981188627691484,joe pyfer,0,0.5221263561166074,0.0,0.0,-0.02332818933793801,0.03287819265147052,joe pyfer,0,0.5177627047074402,0.011412848022771342,5.706424011385671,0.0055675827562207125,0.03801416652001155,-110.0,-110.0
0,-0.24879963451171339,-7.0,0.0518995450217814,2.989260866697479,0.3223316480458118,32.0,-0.5228514389557536,-0.14995386591060061,1.0,1675.13469025976,-0.9434194347757056,0.011965313016622743,-0.14995386591060061,0.652880516498576,0.8333333333333334,27.0,-0.11188942660145385,1643.9882806126827,-0.581406639590296,0.5714285714285714,-0.30164473107274065,434.0,0.15370962361759608,2.0,alexa grasso,maycee barber,2026-03-28,125.0,125.0,-145.0,-145.0,maycee barber,0,0.7701799763474968,0.15056940895468407,75.28470447734203,0.10351330968083017,0.18339506619868362,maycee barber,0,0.6981757860643694,0.12492242367786438,62.46121183893219,0.10633905137049182,0.2142674706545955,maycee barber,0,0.7015480399532458,0.1253239391569195,62.66196957845975,0.10971130525936823,0.22013249531139956,170.0,-200.0
1,0.2586199584798875,3.0,0.017383144792426752,-1.8430654205888024,-0.5453694066383679,38.0,0.4738438794937635,,-1.0,1521.606719114321,2.4690887623301645,0.0847979250372614,,-0.6868006523287689,0.5714285714285714,38.0,-0.009910937527690344,1644.1985062333476,0.6475887767679638,0.6666666666666666,,172.0,0.14811073853990125,-2.0,michael chiesa,carlston harris,2026-03-28,,,,,carlston harris,0,,0.0,0.0,,,carlston harris,0,,0.0,0.0,,,carlston harris,0,,0.0,0.0,,,,
1,0.0,0.0,-0.02110305540436974,-3.024264941224391,-2.2741389660088545,28.0,-0.11401343064794356,0.4253148894578271,6.0,1476.4000577467202,-3.760038338721588,0.0,0.4253148894578271,0.8775691011389366,0.0,36.0,0.015228139813087516,1572.0525809681767,-0.3494406005209851,0.6666666666666666,0.3074463295482279,429.0,0.07872905119815603,0.0,ignacio bahamondes,tofiq musayev,2026-03-28,-265.0,-265.0,225.0,225.0,ignacio bahamondes,1,0.7008201902696631,0.10245431711204062,51.227158556020306,0.034153523602996505,0.07204429647498106,ignacio bahamondes,1,0.7035933881758477,0.0,0.0,-0.022434009084426276,-0.012718672372129314,ignacio bahamondes,1,0.7056436011476067,0.0,0.0,-0.020383796112667274,-0.009841816195402087,-200.0,175.0
1,-0.8028889559580721,0.0,-0.037461665241128816,1.5591060341030236,5.493005922737455,28.0,-0.41099998726081466,0.11544610864810056,1.0,1530.3748846472533,-1.6547353748375848,0.0,0.11544610864810056,-0.32065849777064626,1.0,33.0,-0.10888025453851474,1633.0656454473287,-1.1700284574445179,0.75,0.0,40.0,0.16262662096335143,0.0,mansur abdul malik,yousri belgaroui,2026-03-28,-136.0,-136.0,116.0,116.0,yousri belgaroui,0,0.5044999364185454,0.0,0.0,-0.019309587390978433,0.008999872837090805,mansur abdul malik,1,0.5669472868264126,0.0,0.0,-0.009323899614265385,0.016539091276300155,mansur abdul malik,1,0.5651631540984097,0.0,0.0,-0.011108032342268315,0.013340133094151385,-110.0,-110.0
1,-0.47982305205547293,-4.0,0.03551687497633782,4.215719817689666,-1.2362330672052153,40.0,-0.984991927253841,,0.0,1576.1672340954065,-0.11702556198993949,0.35040143727910444,,0.18671566025651498,0.8,28.0,-0.027362377468156784,1603.5437854207405,-2.803993167587997,0.6086956521739131,,764.0,0.02396222718835791,1.0,marcin tybura,valter walker,2026-03-28,,,,,valter walker,0,,0.0,0.0,,,valter walker,0,,0.0,0.0,,,valter walker,0,,0.0,0.0,,,,
1,0.1299850653818452,-2.0,0.05903263892537358,-3.1078485059688643,-0.6929120642407676,28.0,1.3291553653866202,-0.11143450487321438,3.0,1530.4723889314043,0.22845492533232659,0.047299599549118325,-0.11143450487321438,1.7980063433883708,0.6,32.0,0.03790573676729486,1553.458410091579,1.3099176225011708,0.7142857142857143,-0.09080547088886748,110.0,0.1288071446948497,0.0,casey oneill,gabriella fernandes,2026-03-28,115.0,115.0,-135.0,-135.0,casey oneill,1,0.592288341098349,0.1022575182972902,51.1287591486451,0.11609786490787288,0.3028858448530163,casey oneill,1,0.534709876837637,0.09284138903988783,46.420694519943915,0.06959359776786961,0.20353509059304975,casey oneill,1,0.5354381031931023,0.0928499558371837,46.42497791859185,0.07032182412333482,0.20517419622895183,110.0,-130.0
1,0.12368984879922562,0.0,-0.04532461123490239,7.0,-0.37462406447520197,26.0,0.5304010370712396,0.5391508541425001,2.0,1478.7565324142283,2.3976030358944134,0.0,0.5391508541425001,-0.21058889021376423,0.0,31.0,0.03922767617322798,1576.064755105006,0.19173266121168986,0.6666666666666666,0.5280039758003412,278.0,0.27782285390309946,0.0,chase hooper,lance gibson jr,2026-03-28,-360.0,-360.0,295.0,295.0,chase hooper,1,0.7468510325477008,0.0,0.0,-0.030926745230077102,-0.022448836029351854,chase hooper,1,0.7393994902970153,0.0,0.0,-0.0432092053551586,-0.03921114904756551,chase hooper,1,0.7423165274315277,0.0,0.0,-0.040292168220646296,-0.035420699103479336,-350.0,285.0
1,-0.4310582597098253,3.0,-0.012289899560961715,1.3378995846576756,-0.7138039649550811,28.0,-0.5224085186961941,0.598645184334205,5.0,1500.6089625793265,1.826411745420018,0.0,0.598645184334205,2.7010595668370847,0.5,32.0,0.026966392658302807,1559.8654834048386,-0.544366219335027,1.0,0.598645184334205,63.0,0.0,-1.0,navajo stirling,bruno lopes,2026-03-28,-425.0,-425.0,355.0,355.0,navajo stirling,1,0.818986677725919,0.04967702583096885,24.838512915484426,0.009462868202109509,0.024600938033671388,navajo stirling,1,0.804469582422639,0.0,0.0,-0.005054227101170539,0.0064391902668258505,navajo stirling,1,0.8079561650095506,0.0,0.0,-0.001567644514258948,0.010801112000401347,-425.0,355.0
