,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,beneil dariush,manuel torres,manuel torres,0,,,,0.0,0.0,,
1,azamat murzakanov,paulo costa,paulo costa,0,,,,0.0,0.0,,
2,jiri prochazka,carlos ulberg,carlos ulberg,0,0.689682429214898,145.0,-170.0,0.08558403620582171,42.79201810291085,0.12553996596166506,0.060052799585268435
3,joshua van,tatsuro taira,tatsuro taira,0,,,,0.0,0.0,,
4,curtis blaydes,josh hokit,josh hokit,0,,,,0.0,0.0,,
5,dominick reyes,johnny walker,johnny walker,0,,,,0.0,0.0,,
6,christopher alvidrez,francisco prado,francisco prado,0,,,,0.0,0.0,,
7,patricio freire,aaron pico,aaron pico,0,,,,0.0,0.0,,
8,mateusz gamrot,esteban ribovics,esteban ribovics,0,,,,0.0,0.0,,
9,cub swanson,nate landwehr,nate landwehr,0,,,,0.0,0.0,,
10,kevin holland,randy brown,randy brown,0,,,,0.0,0.0,,
11,tatiana suarez,loopy godinez,loopy godinez,0,,,,0.0,0.0,,
