date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2
2026-11-14,adrian yanez,juan diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,ciryl gane,josh hokit,-150.0,130.0,-278.0,-265.0,200.0,224.0,ciryl gane,1.0,0.580408815847996,0.0,0.0,-0.00357381918831412,-0.03265197358667349,ciryl gane,1.0,0.6832474727567177,0.0,0.0,-0.025178547992912748,-0.07098005502863564,ciryl gane,1.0,0.686217507016429,0.0,0.0,-0.02606218258580717,-0.05483249033586196
2026-11-14,kayla harrison,amanda nunes,-210.0,177.0,-210.0,-200.0,150.0,169.0,kayla harrison,1.0,0.7231781131778167,0.18295831019728567,640.3540856904998,0.061992734283931816,0.06754864326249133,kayla harrison,1.0,0.7110119141137283,0.1873436833868531,655.7028918539858,0.06662614674279543,0.04958901607264665,kayla harrison,1.0,0.7152786964129615,0.18596898413386032,650.891444468511,0.06505071789400774,0.07291804461944223
2026-11-14,caio borralho,yousri belgaroui,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,uros medic,kevin holland,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,bilal hasan,luis gurule,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,stephen thompson,charles radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,drew dober,chris duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,jim miller,terrance mckinney,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,donte johnson,baisangur susurkaev,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,bia mesquita,macy chiasson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-14,nazim sadykhov,jefferson nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,
