,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,terrance mckinney,kyle nelson,kyle nelson,0,,,,0.0,0.0,,
1,michael chiesa,carlston harris,carlston harris,0,,,,0.0,0.0,,
2,israel adesanya,joe pyfer,joe pyfer,0,0.6301756910488482,-110.0,-110.0,0.07475170650901806,37.37585325450903,0.26035138209769637,0.10636616723932424
3,alexa grasso,maycee barber,maycee barber,0,,,,0.0,0.0,,
4,navajo stirling,bruno lopes,bruno lopes,0,,,,0.0,0.0,,
5,chase hooper,lance gibson jr,lance gibson jr,0,,,,0.0,0.0,,
6,alexia thainara,bruna brasil,bruna brasil,0,,,,0.0,0.0,,
7,mansur abdul malik,yousri belgaroui,yousri belgaroui,0,,,,0.0,0.0,,
8,casey oneill,gabriella fernandes,gabriella fernandes,0,,,,0.0,0.0,,
9,julian erosa,lerryan douglas,lerryan douglas,0,,,,0.0,0.0,,
10,zhu kangjie,marcio barbosa,marcio barbosa,0,,,,0.0,0.0,,
11,marcin tybura,valter walker,valter walker,0,,,,0.0,0.0,,
