date,fighter_red,fighter_blue,pred_winner_close,winner_close,close1_red,close1_blue,pred_winner_open,winner_open,open_red,open_blue,choice_fighter,close_american,same_choice_open_american,open_pick_american,close_decimal,same_choice_open_decimal,open_pick_decimal,close_win,open_win,odds_type,bin_low,close2_red,close2_blue
2024-05-11,alex caceres,sean woodson,0,0.0,175.0,-298.0,0,0.0,150.0,-180.0,sean woodson,-298.0,-180.0,-180.0,1.3355704697986577,1.5555555555555556,1.5555555555555556,True,True,close1,-300,,
2024-05-11,derrick lewis,rodrigo nascimento,1,1.0,-175.0,135.0,1,1.0,-162.0,136.0,derrick lewis,-175.0,-162.0,-162.0,1.5714285714285714,1.617283950617284,1.617283950617284,True,True,close1,-200,,
2024-05-11,jj aldrich,veronica hardy,0,0.0,-107.0,-125.0,0,0.0,124.0,-148.0,veronica hardy,-125.0,-148.0,-148.0,1.8,1.6756756756756757,1.6756756756756757,True,True,close1,-150,,
2024-05-11,joaquin buckley,nursulton ruziboev,1,1.0,-142.0,100.0,1,1.0,-148.0,124.0,joaquin buckley,-142.0,-148.0,-148.0,1.704225352112676,1.6756756756756757,1.6756756756756757,True,True,close1,-150,,
2024-05-18,abus magomedov,warlley alves,1,1.0,-360.0,205.0,1,1.0,-185.0,154.0,abus magomedov,-360.0,-185.0,-185.0,1.2777777777777777,1.5405405405405406,1.5405405405405406,True,True,close1,-400,,
2024-05-18,adrian yanez,vinicius salvador,1,1.0,-550.0,310.0,1,1.0,-250.0,205.0,adrian yanez,-550.0,-250.0,-250.0,1.1818181818181819,1.4,1.4,True,True,close1,-550,,
2024-05-18,edson barboza,lerone murphy,0,0.0,130.0,-175.0,0,0.0,120.0,-142.0,lerone murphy,-175.0,-142.0,-142.0,1.5714285714285714,1.704225352112676,1.704225352112676,True,True,close1,-200,,
2024-05-18,khaos williams,carlston harris,1,1.0,-140.0,102.0,1,1.0,105.0,-125.0,khaos williams,-140.0,105.0,105.0,1.7142857142857144,2.05,2.05,True,True,close1,-150,,
2024-05-18,luana pinheiro,angela hill,1,0.0,110.0,-152.0,1,0.0,120.0,-142.0,luana pinheiro,110.0,120.0,120.0,2.1,2.2,2.2,False,False,close1,100,,
2024-05-18,piera rodriguez,ariane carnelossi,1,0.0,-250.0,180.0,1,0.0,-120.0,100.0,piera rodriguez,-250.0,-120.0,-120.0,1.4,1.8333333333333335,1.8333333333333335,False,False,close1,-250,,
