odds_type,bin_low,bin_high_exclusive,n_bets,n_events,close_wins,open_wins,different_picks,mean_close_american,close_roi_pct,open_target_roi_pct,initial_gap_pp,same_close_picks_at_open_roi_pct,required_adjustment,status,matched_roi_pct,mean_decimal_increase,mean_raw_american_change,mean_adjusted_american,roi_at_limit_pct,roi_gain_pp_first_step,average_gap_closed_pp_per_point
close1,-3350,-3300,2,2,2,2,0,-3334.0,2.9994003898140886,8.554955675531561,5.555555285717473,8.554955675531561,2165.0860163398847,matched,8.55495567553155,0.05555555285717462,2165.086016339884,-1168.9139836601162,1866.0,0.00902346850760738,0.002565974397224751
close1,-2000,-1950,2,2,2,2,0,-2000.0,5.000000000000004,20.482227193636582,15.482227193636579,20.482227193636582,1511.771844660194,matched,20.48222719363657,0.15482227193636566,1511.7718446601937,-488.2281553398063,3200.0,0.02512562814069863,0.010241113596818289
close1,-1800,-1750,2,2,2,2,0,-1800.0,5.555555555555558,10.399377593360992,4.843822037805434,10.399377593360992,838.4039900249243,matched,10.399377593360848,0.0484382203780529,838.4039900249239,-961.5960099750761,3400.0,0.031036623215396908,0.005777431996311749
close1,-1700,-1650,1,1,1,1,0,-1667.0,5.998800239952007,12.5,6.501199760047993,12.5,867.0,matched,12.5,0.06501199760047993,867.0,-800.0,3533.0,0.036202777549498855,0.0074985002999400155
close1,-1600,-1550,1,1,1,1,0,-1600.0,6.25,9.090909090909083,2.840909090909083,9.090909090909083,499.9999999999981,matched,9.090909090909083,0.02840909090909083,499.9999999999991,-1100.000000000001,3600.0,0.039308176100627534,0.005681818181818187
close1,-1450,-1400,2,2,2,2,0,-1440.0,6.944779358572461,23.676323676323683,16.731544317751222,23.676323676323683,1017.4005001382991,matched,23.676323676323673,0.16731544317751212,1017.4005001382991,-422.59949986170096,3760.0,0.04856962421313504,0.016445386369946583
close1,-1400,-1350,1,1,1,1,0,-1400.0,7.14285714285714,14.28571428571428,7.14285714285714,14.28571428571428,699.9999999999978,matched,14.285714285714235,0.07142857142857095,699.9999999999975,-700.0000000000025,3800.0,0.05138746145940676,0.010204081632653088
close1,-1350,-1300,1,1,1,1,0,-1350.0,7.407407407407396,14.28571428571428,6.8783068783068835,14.28571428571428,649.9999999999994,matched,14.28571428571428,0.06878306878306883,649.9999999999997,-700.0000000000003,3850.0,0.05527915975678255,0.010582010582010599
close1,-1250,-1200,5,4,4,4,0,-1232.0,-13.480497925311202,-5.016339869281041,8.464158056030161,-5.016339869281041,692.6385531716102,matched,-5.016339869281055,0.10452493796474345,692.6385531716099,-539.3614468283901,3158.0,0.0535847116521353,0.012220165939756831
close1,-1200,-1150,2,2,2,2,0,-1200.0,8.333333333333325,9.126984126984128,0.7936507936508033,9.126984126984128,104.34782608695524,matched,9.126984126984116,0.007936507936507908,104.34782608695537,-1095.6521739130446,4000.0,0.07002801120448154,0.007605820105820292
close1,-1150,-1100,1,1,1,1,0,-1115.0,8.968609865470857,15.408320493066263,6.439710627595407,15.408320493066263,466.0000000000004,matched,15.408320493066263,0.06439710627595407,466.00000000000034,-648.9999999999997,4085.0,0.08116389018524117,0.013819121518445067
close1,-1100,-1050,1,1,1,1,0,-1100.0,9.090909090909083,15.408320493066263,6.31741140215718,15.408320493066263,451.0000000000003,matched,15.408320493066263,0.0631741140215718,451.00000000000034,-648.9999999999997,4100.0,0.08340283569641116,0.014007564084605713
close1,-1050,-1000,1,1,1,1,0,-1050.0,9.523809523809534,18.691588785046733,9.167779261237198,18.691588785046733,514.9999999999973,matched,18.69158878504664,0.09167779261237108,514.9999999999975,-535.0000000000025,4150.0,0.09157509157509125,0.017801513128616015
close1,-1000,-950,9,9,8,8,0,-1000.0,-2.2222222222222143,9.633270943743694,11.855493165965909,9.633270943743694,571.5037996608521,matched,9.63327094374369,0.13337429811711643,571.5037996608521,-428.49620033914795,3722.222222222222,0.08978675645341383,0.020744382054854793
close1,-950,-900,1,1,1,1,0,-910.0,10.989010989010994,28.57142857142856,17.582417582417563,28.57142857142856,559.9999999999999,matched,28.57142857142856,0.17582417582417564,559.9999999999998,-350.00000000000017,4290.0,0.12210012210012167,0.03139717425431708
close1,-900,-850,3,3,3,3,0,-900.0,11.111111111111116,26.943164362519195,15.832053251408079,26.943164362519195,528.8483466362599,matched,26.9431643625192,0.15832053251408085,528.84834663626,-371.15165336374,4300.0,0.12484394506866359,0.029936849291687984
close1,-850,-800,4,4,4,4,0,-842.5,11.872309899569588,21.301169590643276,9.428859691073688,21.301169590643276,372.671191305935,matched,21.30116959064428,0.09428859691074692,372.6711913059348,-469.8288086940652,4357.5,0.14268128208826347,0.025300747444503443
close1,-800,-750,5,5,3,3,0,-800.0,-32.5,-29.007092198581564,3.4929078014184363,-29.007092198581564,254.19354838709666,matched,-29.007092198581564,0.05821513002364065,254.19354838709668,-545.8064516129033,2600.0,0.09493670886075734,0.013741134751773042
close1,-750,-700,4,4,4,4,0,-742.5,13.472222222222218,23.61318745708674,10.140965234864524,23.61318745708674,318.59514217820885,matched,23.613187457086752,0.10140965234864535,318.59514217820896,-423.90485782179104,4457.5,0.18403967347629546,0.03183025693841901
close1,-700,-650,9,8,9,9,0,-683.7777777777778,14.631066872719833,24.155736725319755,9.524669852599922,24.155736725319755,269.3027916523478,matched,24.15573672531973,0.09524669852599892,269.30279165234776,-414.47498612543,4516.222222222222,0.21734463386705904,0.035367883838707634
close1,-650,-600,9,9,8,8,0,-647.1111111111111,2.6351125334176113,10.835699779406296,8.200587245988684,10.835699779406296,241.55529802231973,matched,10.835699779406305,0.09211532025918677,241.55529802231993,-405.5558130887912,4036.222222222222,0.21595578555978845,0.03394910943013533
close1,-600,-550,16,16,16,15,1,-590.25,16.95456518414527,20.763678779532153,3.809113595386883,39.51367877953215,108.09903883206384,matched,20.763678779532157,0.038091135953868885,108.09903883206383,-482.1509611679362,4609.75,0.29264750438444764,0.03523725683911485
close1,-550,-500,13,13,10,10,0,-546.0,-8.954895593882958,4.352216632937312,13.30711222682027,4.352216632937312,264.06234145769605,matched,4.352216632937314,0.17188815298477728,264.06234145769616,-281.93765854230384,3557.769230769231,0.26421233952807555,0.050393828038338924
close1,-500,-450,23,18,22,22,0,-485.0,15.42640175468694,24.616461298041315,9.190059543354375,24.616461298041315,153.1935958333319,matched,24.616461298041305,0.09574169585335453,153.1935958333319,-331.80640416666824,4506.304347826088,0.41797257506587115,0.05998984156852593
close1,-450,-400,24,21,17,17,0,-438.125,-12.974127764755986,-2.2905436444951355,10.68358412026085,-2.2905436444951355,173.5477009139471,matched,-2.290543644495138,0.15047381942050722,173.54770091394712,-264.57729908605285,3343.958333333333,0.3792851405418549,0.06155992884952282
close1,-400,-350,36,29,29,29,0,-384.8611111111111,1.5849640397007856,11.756308488957165,10.17134444925638,11.756308488957165,124.51424699264969,matched,11.756308488957165,0.12528334703541597,124.51424699264969,-260.3468641184613,3860.2777777777783,0.5648556114772312,0.08168819789639666
close1,-350,-300,46,35,38,38,0,-332.3478260869565,7.697346637390333,17.849531697112404,10.152185059722072,17.849531697112404,94.60837544372302,matched,17.849531697112404,0.1207249919927091,94.60837544372305,-237.73945064323362,4005.760869565217,0.7873659967382833,0.10730746630102546
