blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Diyar Nurgozhay,250,140,150,Rafael Tobias,-300,-190,-170,2026-03-07,Diyar Nurgozhay,Rafael Tobias
Punahele Soriano,-171,-142,-125,Ramiz Brahimaj,146,102,120,2026-02-21,Punahele Soriano,
Ernesta Kareckaite,-150,-167,-125,Regina Tarin,130,105,133,2026-02-28,Ernesta Kareckaite,Regina Tarin
Luis Gurule,170,250,350,Rei Tsuruya,-200,-450,-333,2026-05-30,Luis Gurule,Rei Tsuruya
Chris Duncan,-175,-150,-134,Renato Moicano,150,114,125,2026-04-04,Chris Duncan,Renato Moicano
Adrian Yanez,-110,124,165,Ricky Simon,-110,-195,-158,2026-03-28,Adrian Yanez,Ricky Simon
Alberto Montes,-225,-195,-175,Ricky Turcios,190,150,160,2026-03-08,Alberto Montes,Ricky Turcios
Boston Salmon,160,-170,-155,Ricky Turcios,-210,135,150,2017-07-11,Alberto Montes,Ricky Turcios
Tyrell Fortune,210,250,275,Rizvan Kuniev,-250,-350,-310,2026-07-25,Tyrell Fortune,Rizvan Kuniev
Raul Rosas Jr,-500,-350,-290,Rob Font,375,245,275,2026-03-08,Raul Rosas Jr.,Rob Font
Eric McConico,250,225,310,Rodolfo Vieira,-300,-400,-300,2026-04-25,Eric McConico,Rodolfo Vieira
Christian Leroy Duncan,-250,-470,-370,Roman Dolidze,210,290,340,2026-03-21,Christian Leroy Duncan,Roman Dolidze
Marco Tulio,190,-188,-165,Roman Kopylov,-225,140,154,2026-05-09,Marco Tulio,Roman Kopylov
Zachary Reese,140,110,115,Ryan Gandra,-160,-138,-132,2026-07-11,Zach Reese,Ryan Gandra
Jose Medina,420,450,650,Ryan Gandra,-550,-1000,-649,2026-03-01,Jose Daniel Medina,Ryan Gandra
Angel Pacheco,300,450,750,Santiago Luna,-400,-1200,-649,2026-03-01,Angel Pacheco,Santiago Luna
Sam Patterson,-450,-770,-500,Santiago Ponzinibbio,350,350,480,2026-07-25,Sam Patterson,Santiago Ponzinibbio
Joaquin Buckley,250,-167,-150,Sean Brady,-300,130,138,2026-05-09,Joaquin Buckley,Sean Brady
Anthony Hernandez,-245,-286,-250,Sean Strickland,186,200,225,2026-02-22,Anthony Hernandez,Sean Strickland
Tallison Teixeira,210,400,500,Sergei Pavlovich,-250,-700,-549,2026-05-30,Tallison Teixeira,Sergei Pavlovich
Ante Delija,-185,-130,-118,Serghei Spivac,160,-102,105,2026-02-22,Ante Delija,Serghei Spivac
Jailton Almeida,-230,-550,-435,Serghei Spivac,190,320,400,2025-01-19,Ante Delija,Serghei Spivac
Brando Pericic,135,-122,-105,Shamil Gaziev,-155,-120,104,2026-05-02,Brando Pericic,Shamil Gaziev
Otari Tanzilovi,145,170,185,Shane Collins,-170,-225,-200,2026-06-20,Otari Tanzilovi,Shane Collins
Ravena Oliveira,170,330,440,Shanelle Dyer,-200,-600,-450,2026-03-21,Ravena Oliveira,Shanelle Dyer
Michel Pereira,250,260,335,Shara Magomedov,-300,-435,-350,2026-06-27,Michel Pereira,Shara Magomedov
Nicolle Caliari,-225,-275,-240,Shauna Bannon,190,200,225,2026-05-16,Nicolle Caliari,Shauna Bannon
Abdul-Kareem Al-Selwady,-185,-118,130,Shem Rock,160,-155,-104,2026-03-21,Abdul-Kareem Al-Selwady,Shem Rock
Deiveson Figueiredo,250,400,460,Song Yadong,-300,-670,-549,2026-05-30,Deiveson Figueiredo,Song Yadong
Ramazan Temirov,130,-119,-104,Steve Erceg,-150,-115,-101,2026-07-25,Ramazan Temirov,Steve Erceg
Jesus Aguilar,185,130,163,Sumudaerji Sumudaerji,-215,-205,-155,2026-03-07,Jesus Aguilar,
Fatima Kline,-300,-500,-465,Tabatha Ricci,250,350,380,2026-07-18,Fatima Kline,Tabatha Ricci
Jefferson Nascimento,-200,-160,-120,Tahir Abdullayev,170,-105,140,2026-06-27,Jefferson Nascimento,Tahir Abdullayev
Louie Sutherland,130,175,215,Tai Tuivasa,-150,-265,-225,2026-05-02,Louie Sutherland,Tai Tuivasa
Julia Polastri,-200,-250,-230,Talita Alencar,170,190,205,2026-04-25,Julia Polastri,Talita Alencar
Gokhan Saricam,130,-163,-140,Tanner Boser,-150,120,135,2026-04-18,Gokhan Saricam,Tanner Boser
Kyle Nelson,150,118,165,Terrance McKinney,-175,-200,-150,2026-03-29,Kyle Nelson,Terrance McKinney
Gauge Young,130,-175,-138,Thiago Moises,-150,110,145,2026-04-19,Gauge Young,Thiago Moises
Steve Erceg,-250,-196,-180,Tim Elliott,210,150,160,2026-05-02,Steve Erceg,Tim Elliott
Benardo Sopaj,-200,-128,-115,Timmy Cuamba,170,-105,108,2026-05-17,Benardo Sopaj,Timmy Cuamba
Alberto Montes,-145,155,180,Tommy McMillen,125,-220,-195,2026-07-18,Alberto Montes,Tommy McMillen
Manolo Zecchini,385,500,650,Tommy McMillen,-500,-1000,-700,2026-04-04,Manolo Zecchini,Tommy McMillen
Wang Cong,-133,-124,-120,Tracy Cortez,113,-105,102,2026-07-11,Wang Cong,Tracy Cortez
Ivan Erslan,-300,-182,-167,Tuco Tokkos,250,135,145,2026-05-16,Ivan Erslan,Tuco Tokkos
Thomas Petersen,210,150,175,Valter Walker,-250,-210,-188,2026-07-25,Thomas Petersen,Valter Walker
Andre Fili,190,205,230,Vinicius Oliveira,-225,-305,-245,2026-06-20,Andre Fili,Vinicius Oliveira
Tabatha Ricci,135,105,118,Virna Jandiroba,-155,-140,-125,2026-04-04,Tabatha Ricci,Virna Jandiroba
Steven Asplund,205,163,188,Vitor Petrino,-240,-230,-200,2026-03-14,Steven Asplund,Vitor Petrino
Austen Lane,275,420,460,Vitor Petrino,-400,-670,-649,2025-07-13,Steven Asplund,Vitor Petrino
Michel Pereira,-150,-182,-163,Zach Reese,130,130,145,2026-02-22,Michel Pereira,Zach Reese
Alonzo Menifield,250,175,205,Zhang Mingyang,-300,-250,-222,2026-05-30,Alonzo Menifield,Zhang Mingyang
Rodrigo Vera,-137,-105,-105,Kangjie Zhu,112,-118,-118,2026-05-30,Rodrigo Vera,Zhu Kangjie
Rodrigo Vera,-250,-120,105,Zhu Kangjie,210,-125,-105,2026-05-30,Rodrigo Vera,Zhu Kangjie
Marcin Tybura,210,260,310,Aleksandar Rakic,-250,-420,-350,2026-08-01,Marcin Tybura,Aleksandar Rakic
Mark Vologdin,130,163,190,Borislav Nikolic,-150,-230,-200,2026-08-01,Mark Vologdin,Borislav Nikolic
Bogdan Grad,-400,-225,-195,Dennis Buzukia,300,155,188,2026-08-01,Bogdan Grad,Dennis Buzukja
Robert Valentin,-130,-175,-150,Dusko Todorovic,110,125,140,2026-08-01,Robert Valentin,Dusko Todorovic
Navajo Stirling,-200,-370,-330,Jan Blachowicz,170,250,290,2026-08-01,Navajo Stirling,Jan Blachowicz
Alexander Poppeck,250,225,280,Jovan Leka,-300,-360,-290,2026-08-01,Alexander Poppeck,Jovan Leka
Tofiq Musayev,125,200,225,Ludovit Klein,-145,-275,-250,2026-08-01,Tofiq Musayev,Ludovit Klein
Stephanie Luciano,-300,-425,-333,Marina Spasic,250,250,334,2026-08-01,Stephanie Luciano,Marina Spasic
Kyle Prepolec,385,450,709,Mateusz Rebecki,-500,-1100,-649,2026-08-01,Kyle Prepolec,Mateusz Rebecki
Noah Gugnon,375,-120,118,Milos Janicic,-500,-138,-105,2026-08-01,Noah Gugnon,Milos Janicic
Hailey Cowan,385,350,575,Nina Milosevic,-500,-910,-500,2026-08-01,Hailey Cowan,Nina Milosevic
Michael Oliveira,-275,-910,-350,Oban Elliott,235,275,575,2026-08-01,Michael Oliveira,Oban Elliott
Daniel Rodriguez,386,280,315,Uros Medic,-501,-435,-350,2026-08-01,Daniel Rodriguez,Uros Medic
Gilbert Urbina,300,230,275,Vlasto Cepo,-400,-350,-280,2026-08-01,Gilbert Urbina,Vlasto Cepo
Alexia Thainara,-300,-330,-275,Amanda Lemos,245,210,260,2026-08-08,Alexia Thainara,Amanda Lemos
Ty Miller,-175,-500,-400,Billy Ray Goff,153,300,380,2026-08-08,Ty Miller,Billy Ray Goff
Yadier Del Valle,-325,-2000,-800,Darren Elkins,263,500,950,2026-08-08,Yadier del Valle,Darren Elkins
Billy Quarantillo,177,143,154,Diego Ferreira,-205,-188,-175,2026-08-08,Billy Quarantillo,Diego Ferreira
Bruno Lopes,-220,130,141,Diyar Nurgozhay,186,-167,-160,2026-08-08,Bruno Lopes,
Carol Foro,-200,-225,-205,Gigi Canuto,174,160,188,2026-08-08,Carol Foro,Gigi Canuto
Ravena Oliveira,165,250,290,Juliana Miller,-190,-370,-333,2026-08-08,Ravena Oliveira,Juliana Miller
Jose Montanha,-110,163,205,Louie Sutherland,-110,-250,-205,2026-08-08,Jose Montanha,Louie Sutherland
Richie Miranda,383,250,290,Manoel Sousa,-500,-375,-333,2026-08-08,Richie Miranda,Manoel Sousa
Quillan Salkilld,111,-175,-150,Mateusz Gamrot,-131,120,141,2026-08-08,Quillan Salkilld,Mateusz Gamrot
Gianni Vazquez,135,163,180,Miles Johns,-175,-220,-200,2026-08-08,Gianni Vazquez,Miles Johns
Guilherme Pat,177,219,250,Steven Asplund,-204,-333,-265,2026-08-08,Guilherme Pat,Steven Asplund
