blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Edgar Chairez,-110,-120,100,Bruno Silva,-110,-125,100,2026-06-06,Edgar Chairez,Bruno Silva
Santiago Luna,210,-105,112,Bryce Mitchell,-250,-142,-115,2026-06-06,Santiago Luna,Bryce Mitchell
Reinier de Ridder,180,175,190,Caio Borralho,-235,-245,-210,2026-03-08,Reinier de Ridder,Caio Borralho
Nassourdine Imavov,-150,100,115,Caio Borralho,110,-141,-125,2025-09-06,Reinier de Ridder,Caio Borralho
Jared Cannonier,122,210,260,Caio Borralho,-145,-350,-270,2024-08-25,Reinier de Ridder,Caio Borralho
Robert Bryczek,250,130,185,Cam Rowston,-300,-225,-163,2026-05-02,Robert Bryczek,Cam Rowston
Gabriella Fernandes,-130,-113,110,Casey Oneill,110,-130,-113,2026-03-28,Gabriella Fernandes,Casey O'Neill
Bruno Silva,130,140,165,Charles Johnson,-150,-195,-175,2026-03-14,Bruno Silva,Charles Johnson
Francisco Prado,210,124,143,Charles Radtke,-250,-180,-147,2026-04-11,Francisco Prado,Charles Radtke
Mitch Ramirez,215,260,295,Chase Hooper,-255,-375,-350,2026-07-18,Mitch Ramirez,Chase Hooper
Lance Gibson Jr,285,210,320,Chase Hooper,-350,-420,-280,2026-03-28,Lance Gibson Jr.,Chase Hooper
Carlos Leal Miranda,-260,-145,-136,Chidi Njokuani,220,110,125,2026-02-22,Carlos Leal,Chidi Njokuani
Michar Oleksiejczuk,-125,-135,-110,Chidi Njokuani,100,-110,115,2023-08-26,Carlos Leal,Chidi Njokuani
Myktybek Orolbai,-250,-500,-450,Chris Curtis,210,333,380,2026-03-14,Myktybek Orolbai,Chris Curtis
Marquel Mederos,130,126,140,Chris Padilla,-150,-175,-160,2026-04-11,MarQuel Mederos,Chris Padilla
Jose Ochoa,-185,-190,-180,Clayton Carpenter,160,145,160,2026-05-09,Jose Ochoa,Clayton Carpenter
Andre Petroski,-160,-163,-150,Cody Brundage,140,120,130,2026-05-16,Andre Petroski,Cody Brundage
Nyamjargal Tumendemberel,-160,-220,-194,Cody Durden,140,155,180,2026-03-08,Nyamjargal Tumendemberel,Cody Durden
Adrian Yanez,-250,-450,-370,Cody Garbrandt,210,295,333,2026-07-11,Adrian Yanez,Cody Garbrandt
Long Xiao,-200,-178,-145,Cody Garbrandt,170,122,140,2026-03-08,Xiao Long,Cody Garbrandt
Abdul Hussein,-350,-650,-600,Cody Gibson,285,420,475,2026-07-25,Abdul Hussein,Cody Gibson
Vince Morales,-110,-128,122,Colby Thicknesse,-110,-145,102,2026-05-02,Vince Morales,Colby Thicknesse
Max Holloway,-270,-295,-250,Conor McGregor,230,200,240,2026-07-11,Max Holloway,Conor McGregor
